"gene","best_annot","dummy_name","GO"
"ABCB5","ABCB1","ABCB1_ah_7","GO:0042493;GO:0150104;GO:0070633;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:1990962;GO:0055085;GO:0000086;GO:0045332;GO:1901529;GO:0072089;GO:0047484;GO:0046865"
"LOC113987650","ABCB1","ABCB1_ah_1","GO:0042493;GO:0150104;GO:0070633;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:1990962;GO:0055085;GO:0000086;GO:0045332;GO:1901529;GO:0072089;GO:0047484;GO:0046865"
"LOC113991394","ABCB1","ABCB1_ah_3","GO:0042493;GO:0150104;GO:0070633;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:1990962;GO:0055085;GO:0000086;GO:0045332;GO:1901529;GO:0072089;GO:0047484;GO:0046865"
"LOC113991395","ABCB1","ABCB1_ah_4","GO:0042493;GO:0150104;GO:0070633;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:1990962;GO:0055085;GO:0000086;GO:0045332;GO:1901529;GO:0072089;GO:0047484;GO:0046865"
"LOC113987630","ABCB1","ABCB1_ah_2","GO:0042493;GO:0150104;GO:0070633;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:1990962;GO:0055085;GO:0000086;GO:0045332;GO:1901529;GO:0072089;GO:0047484;GO:0046865"
"ABCB10","ABCB10","ABCB10","GO:0055085;GO:0006839"
"ABCB6","ABCB6","ABCB6","GO:0006779;GO:0015886;GO:0043588;GO:0006879;GO:0055085;GO:0007420;GO:0035351"
"ABCB7","ABCB7","ABCB7","GO:0055085;GO:0015886;GO:0006879"
"ABCB8","ABCB8","ABCB8","GO:0055085;GO:0071805"
"ABCB9","ABCB9","ABCB9","GO:0002474;GO:0019885;GO:0015833;GO:0055085;GO:0015031"
"ABCC10","ABCC1","ABCC1_ah_3","GO:0034775;GO:0099039;GO:0009235;GO:0060326;GO:0150104;GO:0050729;GO:0045332;GO:0042493;GO:0055085;GO:0071716;GO:1905039;GO:1904646;GO:0015889;GO:0140115;GO:0070633;GO:0006691;GO:0042908"
"LOC114000059","ABCC1","ABCC1_ah_1","GO:0034775;GO:0099039;GO:0009235;GO:0060326;GO:0150104;GO:0050729;GO:0045332;GO:0042493;GO:0055085;GO:0071716;GO:1905039;GO:1904646;GO:0015889;GO:0140115;GO:0070633;GO:0006691;GO:0042908"
"LOC113982130","ABCC1","ABCC1_ah_2","GO:0034775;GO:0099039;GO:0009235;GO:0060326;GO:0150104;GO:0050729;GO:0045332;GO:0042493;GO:0055085;GO:0071716;GO:1905039;GO:1904646;GO:0015889;GO:0140115;GO:0070633;GO:0006691;GO:0042908"
"ABCC2","ABCC2","ABCC2","GO:1990962;GO:0015694;GO:0032355;GO:0030644;GO:0031427;GO:0070633;GO:0071356;GO:0055085;GO:0043627;GO:0070327;GO:0071354;GO:0071222;GO:0046685;GO:0046618;GO:0033762;GO:0071549;GO:0035690;GO:0015723;GO:0150104;GO:0015721;GO:1904486;GO:0038183;GO:0071347;GO:1990961;GO:0015732;GO:0120188;GO:0015722;GO:0042178;GO:0071716;GO:0010629;GO:0097327;GO:0007565;GO:0009408;GO:0006954;GO:0006855;GO:1901086;GO:0006979"
"ABCC3","ABCC3","ABCC3","GO:0015722;GO:0098656;GO:0055085;GO:0015721;GO:0150104;GO:0015779;GO:0006855;GO:0071716;GO:0042908"
"ABCC4","ABCC4","ABCC4","GO:0048661;GO:0042493;GO:0032310;GO:0002576;GO:0055085;GO:0098656;GO:0070730;GO:0038183;GO:0071716;GO:0042908;GO:0150104;GO:0060271;GO:0010243;GO:0014070;GO:0140115"
"ABCC5","ABCC5","ABCC5","GO:0055085;GO:0150104;GO:0015865;GO:0034775;GO:0030213;GO:0042908;GO:0140115"
"LOC114000060","ABCC6","ABCC6_ah_1","GO:0030505;GO:0015867;GO:0042493;GO:0071716;GO:0007601;GO:0055085;GO:0006855;GO:0098656;GO:0042908"
"LOC114000062","ABCC6","ABCC6_ah_2","GO:0030505;GO:0015867;GO:0042493;GO:0071716;GO:0007601;GO:0055085;GO:0006855;GO:0098656;GO:0042908"
"ABCC8","ABCC8","ABCC8","GO:0071805;GO:0098662;GO:0055085;GO:0006813;GO:0050796"
"ABCC9","ABCC9","ABCC9","GO:0055085;GO:0071805;GO:1990573;GO:0061337;GO:0098662;GO:0033198;GO:1903779;GO:0051607;GO:0098655;GO:0150104"
"ABCD2","ABCD2","ABCD2","GO:0006635;GO:0042760;GO:0000038;GO:1900016;GO:1990535;GO:1903427;GO:0043217;GO:0032000;GO:0055085;GO:0015910;GO:2001280;GO:0007031"
"ABCD3","ABCD3","ABCD3","GO:0006635;GO:0007031;GO:0055085;GO:0042760;GO:0014070;GO:0015910;GO:0042493;GO:0006633"
"ABCD4","ABCD4","ABCD4","GO:0009235;GO:1990830;GO:0007031;GO:0055085;GO:0015910;GO:0042760;GO:0006635"
"ABCE1","ABCE1","ABCE1","GO:0051607;GO:0060702;GO:0006415;GO:0016032;GO:0060338;GO:0006413;GO:0000054"
"LOC113995601","ABCF1","ABCF1_ah_2","GO:0006412;GO:0055085;GO:0006954"
"LOC113995592","ABCF1","ABCF1_ah_1","GO:0006412;GO:0055085;GO:0006954"
"ABCF3","ABCF3","ABCF3","GO:0051607"
"ABCG1","ABCG1","ABCG1","GO:0045542;GO:0010887;GO:0032367;GO:0033344;GO:0010872;GO:0010745;GO:0120009;GO:0043691;GO:0034204;GO:0008203;GO:0010033;GO:1902004;GO:0042632;GO:0034374;GO:0055091;GO:0034375;GO:0042987;GO:0033700;GO:0034436;GO:0050714;GO:0055085;GO:1901998;GO:0033993"
"ABCG2","ABCG2","ABCG2","GO:0055085;GO:0046415;GO:0032218;GO:0006879;GO:0150104;GO:1990962;GO:1990748;GO:0140115;GO:0097744;GO:0070633;GO:0015878;GO:0015747;GO:0015711"
"LOC113986708","ABCG2","ABCG2_pp_1","GO:0055085;GO:0046415;GO:0032218;GO:0006879;GO:0150104;GO:1990962;GO:1990748;GO:0140115;GO:0097744;GO:0070633;GO:0015878;GO:0015747;GO:0015711"
"ABCG4","ABCG4","ABCG4","GO:1990830;GO:0055085;GO:0033344"
