"gene","best_annot","dummy_name","GO"
"EPHB3","EPHB3","EPHB3","GO:0048013;GO:0007169;GO:0048546;GO:0060997;GO:0033674;GO:0046777;GO:0060021;GO:0001525;GO:0001655;GO:0007413;GO:0007275;GO:0051965;GO:0022038;GO:0007411;GO:0060996;GO:0048538;GO:0034446;GO:0016477;GO:0050770;GO:0031290;GO:0018108;GO:0043087;GO:0021952;GO:0022407"
"LOC113988477","EPHB6","EPHB6","GO:0007169;GO:0007411;GO:0033674;GO:0007275;GO:0021952;GO:0048013;GO:0018108"
"LOC113995251","EPHX1","EPHX1_pp_1","GO:0019439;GO:0019369;GO:0097176;GO:0009636;GO:0006805"
"EPHX1","EPHX1","EPHX1","GO:0019439;GO:0019369;GO:0097176;GO:0009636;GO:0006805"
"LOC113982250","EPHX2","EPHX2_ah_2","GO:0097176;GO:0090181;GO:0010628;GO:0046272;GO:0006625;GO:0009636;GO:0016311;GO:0042759;GO:0046839;GO:0019373;GO:0042632"
"LOC113987927","EPHX2","EPHX2_ah_1","GO:0097176;GO:0090181;GO:0010628;GO:0046272;GO:0006625;GO:0009636;GO:0016311;GO:0042759;GO:0046839;GO:0019373;GO:0042632"
"EPM2A","EPM2A","EPM2A","GO:0032007;GO:0016239"
"EPN2","EPN2","EPN2","GO:0061024;GO:1903671;GO:0006897;GO:0030948;GO:0045747"
"EPN3","EPN3","EPN3","GO:0006897"
"EPO","EPO","EPO","GO:0006953;GO:0042104;GO:0007568;GO:0048678;GO:0010523;GO:0007165;GO:0051602;GO:0007566;GO:0018105;GO:0014068;GO:0000122;GO:0006915;GO:0071474;GO:1902219;GO:0030218;GO:0071548;GO:0070555;GO:1901215;GO:0042531;GO:1902251;GO:0008015;GO:0008284;GO:0033189;GO:0043249;GO:0046579;GO:0055093;GO:0061418;GO:0045666;GO:2001258;GO:0009651;GO:0038162;GO:0032496;GO:0033574;GO:0032147;GO:0070374;GO:0043627;GO:0010976;GO:0042541;GO:0045893"
"EPOP","EPOP","EPOP","GO:0048863;GO:0035616;GO:0048663;GO:0006357"
"EPPK1","EPPK1","EPPK1","GO:0045109;GO:0061045;GO:0051548;GO:0050680;GO:0042060;GO:1905041;GO:0030336;GO:0045104;GO:0045110;GO:0010839"
"EPRS","EPRS","EPRS","unknown"
"EPS15L1","EPS15","EPS15_pp_1","GO:0016050;GO:0042059;GO:0006895;GO:0016197;GO:0098884;GO:0032456;GO:0061024;GO:0042127;GO:0019065;GO:0046718;GO:0006897;GO:0048268;GO:0001921"
"EPS15","EPS15","EPS15","GO:0016050;GO:0042059;GO:0006895;GO:0016197;GO:0098884;GO:0032456;GO:0061024;GO:0042127;GO:0019065;GO:0046718;GO:0006897;GO:0048268;GO:0001921"
"EPS8","EPS8","EPS8","GO:0051764;GO:0051017;GO:0070358;GO:0010458;GO:0008360;GO:0030832;GO:0007266;GO:0016601;GO:0051016;GO:1900029;GO:0036336;GO:0050790;GO:0035023"
"EPS8L2","EPS8L2","EPS8L2","GO:0050790;GO:1900029;GO:0035023;GO:0007266;GO:0007605"
"EPS8L3","EPS8L3","EPS8L3","GO:1900029;GO:0042634;GO:0007266;GO:0050790;GO:0035023"
"EPSTI1","EPSTI1","EPSTI1","unknown"
"LOC113984137","EPT1L","EPT1L","unknown"
"EPYC","EPYC","EPYC","GO:0007605;GO:0060348;GO:0007565;GO:0061975"
"LOC113996259","EPYC","EPYC_pp_1","GO:0007605;GO:0060348;GO:0007565;GO:0061975"
"ERAL1","ERAL1","ERAL1","GO:0000028;GO:0070126;GO:0070125"
"ERBB2","ERBB2","ERBB2","GO:0070372;GO:0000165;GO:0033674;GO:0001934;GO:0046777;GO:0045727;GO:0043410;GO:0051897;GO:0007166;GO:0050679;GO:0038128;GO:0071363;GO:0045943;GO:0048709;GO:0045765;GO:0006357;GO:0007275;GO:0007169;GO:0007167;GO:0090314;GO:0043547;GO:0014065;GO:0045785;GO:0035556;GO:1901185;GO:0032886;GO:0043406;GO:0042552;GO:0071364;GO:0006468;GO:2000145;GO:0008045;GO:0007422;GO:0033088;GO:0042060;GO:0018108;GO:0008284;GO:0007165;GO:0030182;GO:0007507;GO:0007528;GO:0030307"
"ERBB3","ERBB3","ERBB3","GO:0014037;GO:2000145;GO:0061098;GO:0008284;GO:0010628;GO:0007275;GO:0007399;GO:0007169;GO:0014068;GO:0018108;GO:0051897;GO:0033674;GO:0042127;GO:0007507;GO:0097192;GO:0055025;GO:0043524;GO:0009968;GO:0051402;GO:0003197;GO:0051048;GO:0070886;GO:0000165;GO:0042060;GO:0007422;GO:0038128;GO:0021545;GO:0007165;GO:0014065;GO:0007162"
"ERBB4","ERBB4","ERBB4","GO:0030334;GO:0016477;GO:0021889;GO:0038128;GO:0033674;GO:0007165;GO:0007169;GO:0043653;GO:0021551;GO:0007507;GO:0061026;GO:0018108;GO:0008284;GO:0007595;GO:0007399;GO:0060045;GO:2000010;GO:0007275;GO:0014068;GO:0008285;GO:0060749;GO:0070374;GO:0046427;GO:0001934;GO:0007416;GO:0001755;GO:0009880;GO:0060644;GO:0046777;GO:2001223;GO:0000165;GO:2000145;GO:0051897;GO:0045165;GO:0042531;GO:0071364;GO:0045893"
"ERBIN","ERBIN","ERBIN","GO:0070433;GO:0071638;GO:0007165;GO:0045175;GO:0032088;GO:0038128;GO:0032496;GO:0099072;GO:0007173;GO:0045197;GO:0046579;GO:0032495;GO:0007155;GO:0006605;GO:0007229;GO:0071356;GO:0045104"
"ERC1","ERC1","ERC1","GO:0007252;GO:0042147;GO:0006355;GO:0015031;GO:0051092;GO:0048790;GO:0007275;GO:0048167;GO:0007274;GO:0043066"
"ERC2","ERC2","ERC2","GO:0007274;GO:0048790;GO:0016082;GO:0048167"
"ERCC3","ERCC3","ERCC3","GO:0006366;GO:0009411;GO:0033683;GO:0006361;GO:0006289;GO:0006979;GO:0006363;GO:0006368;GO:0006370;GO:0006281;GO:0070911;GO:1901990;GO:0048568;GO:0006294;GO:0008104;GO:0006367;GO:0016032;GO:0043065;GO:0006915;GO:0006265;GO:0006293;GO:0035315;GO:0000717;GO:0006283;GO:0006295;GO:0006362;GO:0006296"
"ERCC4","ERCC4","ERCC4","GO:0033683;GO:0009411;GO:0036297;GO:1901255;GO:0006296;GO:1905765;GO:0006303;GO:0000723;GO:0006283;GO:1905768;GO:0051974;GO:0070911;GO:0006289;GO:0000724;GO:1904357;GO:0000712;GO:0006295;GO:0006293;GO:0006281;GO:0061819;GO:0034644;GO:0032205;GO:0010506;GO:0009650"
"LOC113992976","ERCC5","ERCC5","GO:0009650;GO:0033683;GO:0010225;GO:0006296;GO:0006295;GO:0006293;GO:0006283;GO:0009411;GO:0006294;GO:0043066;GO:0006289"
"ERCC6","ERCC6","ERCC6","GO:2001033;GO:0008630;GO:0022008;GO:0006283;GO:1905168;GO:0009411;GO:0043044;GO:0000077;GO:0032508;GO:0045494;GO:0045739;GO:0061098;GO:0006284;GO:0009636;GO:0010224;GO:0032784;GO:0006979;GO:0031175;GO:0000012;GO:0060261;GO:0032786;GO:0030182;GO:0035264;GO:0000303;GO:0097680;GO:0006366;GO:0010332;GO:0007256;GO:0010165;GO:0045815;GO:0006362;GO:0007257;GO:0006290"
"LOC113994854","ERCC6L","ERCC6L","GO:0007049;GO:0051301;GO:0032508"
"ERCC6L2","ERCC6L2","ERCC6L2","GO:0036297;GO:0034614"
"LOC113989070","ERCC6L2","ERCC6L2_pp_1","GO:0036297;GO:0034614"
"ERCC8","ERCC8","ERCC8","GO:0006283;GO:0006289;GO:0032508;GO:0006974;GO:0043161;GO:0009411;GO:0006979;GO:0051865;GO:0097680;GO:0014070;GO:0043687;GO:0045739;GO:0000209;GO:0010165;GO:0010996;GO:0000012"
"LOC114002779","ERD2L","ERD2L","unknown"
"EREG","EREG","EREG","GO:0008284;GO:0001819;GO:0045740;GO:0001556;GO:0001525;GO:0045840;GO:0009299;GO:0045741;GO:0045860;GO:0042700;GO:0009887;GO:0045089;GO:0051151;GO:0001550;GO:0043616;GO:0009653;GO:0032755;GO:0043434;GO:0007173;GO:0042059;GO:0042327;GO:0051781;GO:0048160;GO:0051897;GO:0008285;GO:0007165;GO:2000145;GO:0048146;GO:0030216;GO:0007143;GO:0007267;GO:0045892;GO:0061024;GO:0050680;GO:0000165;GO:0030728;GO:0038128;GO:0042060;GO:0048661;GO:0019221"
"ERFE","ERFE","ERFE","GO:0006879;GO:0007165;GO:2000193;GO:0019217;GO:0045721;GO:0046326;GO:0046628"
"ERG","ERG","ERG","GO:0030154;GO:0006357;GO:0045944;GO:0007275;GO:0006468;GO:0007165"
"ERG28","ERG28","ERG28","GO:0008150;GO:0016126"
"ERGIC1","ERGIC1","ERGIC1","GO:0006890;GO:0006888"
"ERGIC2","ERGIC2","ERGIC2","GO:0006890;GO:0006888"
"ERGIC3","ERGIC3","ERGIC3","GO:0006888;GO:0006890"
"ERH","ERH","ERH","GO:0006139;GO:0007049;GO:0006213"
"ERI1","ERI1","ERI1","GO:0000738;GO:0006364;GO:0071044;GO:0031125;GO:0000467;GO:0031047"
"ERI2","ERI2","ERI2","GO:0000467;GO:0000738"
"ERI3","ERI3","ERI3","GO:0000738;GO:0000467"
"ERICH3","ERICH3","ERICH3","unknown"
"ERICH6","ERICH6","ERICH6","unknown"
"ERLEC1","ERLEC1","ERLEC1","GO:1904153;GO:0055085;GO:0036503"
"ERLIN1","ERLIN1","ERLIN1","GO:0008203;GO:0055085;GO:0032933;GO:0045541;GO:0030433;GO:0045717"
"ERLIN2","ERLIN2","ERLIN2","GO:0045541;GO:0045717;GO:0008203;GO:0055085;GO:0030433;GO:0032933"
"ERMAP","ERMAP","ERMAP","GO:0001817;GO:0050852"
"ERMARD","ERMARD","ERMARD","GO:0008150;GO:0007275"
"ERMN","ERMN","ERMN","GO:0008360;GO:0031344;GO:0001763;GO:0007015"
"ERMP1","ERMP1","ERMP1","GO:0030968;GO:0006508;GO:0034599"
"LOC114003079","ERN1","ERN1_pp_1","GO:0046777;GO:0016241;GO:0070054;GO:0070059;GO:0035924;GO:1990579;GO:1901142;GO:0034620;GO:0036498;GO:0036289;GO:0071333;GO:1900103;GO:0090502;GO:0033120;GO:0007050;GO:0070301;GO:0007257;GO:0098787;GO:1904707;GO:0006468;GO:0006402;GO:0001935;GO:0034976;GO:0006379"
"ERN1","ERN1","ERN1","GO:0046777;GO:0016241;GO:0070054;GO:0070059;GO:0035924;GO:1990579;GO:1901142;GO:0034620;GO:0036498;GO:0036289;GO:0071333;GO:1900103;GO:0090502;GO:0033120;GO:0007050;GO:0070301;GO:0007257;GO:0098787;GO:1904707;GO:0006468;GO:0006402;GO:0001935;GO:0034976;GO:0006379"
"ERN2","ERN2","ERN2","GO:0090502;GO:0036498;GO:0006468;GO:0007257;GO:0016075;GO:0045892;GO:0070059;GO:0034976;GO:0007050;GO:0006397;GO:0030263"
"ERO1A","ERO1A","ERO1A","GO:0006464;GO:0051085;GO:0051209;GO:0071456;GO:0045454;GO:0070059;GO:0030968;GO:0018401;GO:0034975;GO:0010260;GO:0006457;GO:0034599;GO:0018215;GO:0022417;GO:0030198;GO:0034976;GO:0050873;GO:0009266"
"ERO1B","ERO1B","ERO1B","GO:0006457;GO:0034975;GO:0018215"
"ERP27","ERP27","ERP27","GO:0034976;GO:0006457;GO:0018215;GO:0006986"
"ERP29","ERP29","ERP29","GO:0006886;GO:0009306;GO:0006457;GO:0018215;GO:0000187;GO:0010628;GO:0010629;GO:0001934;GO:0043335;GO:1902235;GO:0050709"
"ERP44","ERP44","ERP44","GO:0045454;GO:0009100;GO:0043312;GO:0034976;GO:0018215;GO:0006457;GO:0006986"
"ERRFI1","ERRFI1","ERRFI1","GO:0045616;GO:0071549;GO:0032966;GO:0032691;GO:0061469;GO:0060426;GO:1903243;GO:0070373;GO:0032869;GO:0071474;GO:0036120;GO:0043589;GO:0007175;GO:0042059;GO:0071364;GO:0031953;GO:0048286;GO:0060428;GO:0043547"
"ERV3-1","ERV3-1","ERV3-1","GO:0008150"
"LOC114002128","ES1ML2","ES1ML2","unknown"
"ESAM","ESAM","ESAM","GO:0098609;GO:0070830;GO:0030833;GO:2000249;GO:0007156;GO:0050900;GO:0034613;GO:0035633"
"ESCO1","ESCO1","ESCO1","GO:0018394;GO:0034421;GO:0006275;GO:0018215;GO:0007062"
"LOC113984024","ESCO2","ESCO2","GO:0034421;GO:0006275;GO:0007062;GO:0002244;GO:0006302;GO:0071168"
"LOC113987500","ESD","ESD_ah_1","GO:0008150;GO:1901687;GO:0046294"
"LOC113988145","ESD","ESD_ah_2","GO:0008150;GO:1901687;GO:0046294"
"ESF1","ESF1","ESF1","GO:0006364"
"ESM1","ESM1","ESM1","GO:1902204;GO:0002040;GO:0001525;GO:0008284"
"ESPL1","ESPL1","ESPL1","GO:0006915;GO:0000070;GO:0006508;GO:0051307;GO:0045875;GO:0000212;GO:0045842;GO:0045143;GO:0000281;GO:0040001"
"ESPN","ESPN","ESPN","GO:0051017;GO:0030034;GO:0007605"
"ESPNL","ESPNL","ESPNL","GO:0051017;GO:0007605"
"LOC113989970","ESPNL","ESPNL_pp_1","GO:0051017;GO:0007605"
"ESR1","ESR1","ESR1","GO:0008584;GO:0045893;GO:0043124;GO:0008209;GO:0016579;GO:0010863;GO:0030518;GO:0006357;GO:0030111;GO:0045944;GO:0030520;GO:0010629;GO:0033146;GO:0000122;GO:0034121;GO:0032355;GO:0071392;GO:0042981;GO:0051091;GO:0060068;GO:0048146;GO:0045899;GO:0060065;GO:0043627;GO:0060523;GO:0060527;GO:0051897;GO:0071391;GO:0050727;GO:0001547;GO:0048863;GO:0002064;GO:0043433;GO:0007165;GO:0007200;GO:0060745;GO:0060749;GO:0007204;GO:0060687;GO:0060750;GO:1903799;GO:0006367;GO:0071168;GO:0006338;GO:0006355"
"ESR2","ESR2","ESR2","GO:0030520;GO:0007267;GO:0051091;GO:0045893;GO:2000272;GO:0006367;GO:0007165;GO:0030518;GO:0006355;GO:0030308;GO:0006357;GO:0071392;GO:0000122"
"ESRP1","ESRP1","ESRP1","GO:0006397;GO:0008380;GO:0043484;GO:0008543;GO:0042669"
"ESRP2","ESRP2","ESRP2","GO:0008543;GO:0000380;GO:0050679;GO:0043484;GO:0060445;GO:0060441"
"ESRRB","ESRRB","ESRRB","GO:0045944;GO:0045821;GO:0001892;GO:0006355;GO:0043697;GO:2000035;GO:0090282;GO:0071931;GO:0017145;GO:0045494;GO:1902459;GO:0048839;GO:0045893;GO:0019827;GO:2000737;GO:0030522;GO:0043401;GO:0045725;GO:0006357;GO:0006367"
"ESRRG","ESRRG","ESRRG","GO:0120162;GO:0048384;GO:0006367;GO:0043401;GO:0045893;GO:0006357;GO:0045944;GO:0006355"
"ESS2","ESS2","ESS2","GO:0000398;GO:0007399"
"LOC113985615","ESX1","ESX1","GO:0000122;GO:0006357;GO:0051726;GO:0045892"
"ESYT1","ESYT1","ESYT1","GO:0006869;GO:0061817;GO:0006687"
"ESYT2","ESYT2","ESYT2","GO:0006897;GO:0006869;GO:0006687;GO:0061817"
"ESYT3","ESYT3","ESYT3","GO:0061817;GO:0006869;GO:0006687"
"ETAA1","ETAA1","ETAA1","GO:0031297;GO:0006974;GO:2000001;GO:0071902;GO:0006281"
"ETF1","ETF1","ETF1","GO:0002184;GO:0006449;GO:0006415;GO:0006479;GO:0000184"
"ETFA","ETFA","ETFA","GO:0033539;GO:0022904"
"ETFB","ETFB","ETFB","GO:0033539;GO:0022904"
"ETFBKMT","ETFBKMT","ETFBKMT","GO:1904736;GO:1904733;GO:0018022;GO:0018023;GO:0006479"
"ETFDH","ETFDH","ETFDH","GO:0022900;GO:0006979;GO:0022904;GO:0033539"
"ETFRF1","ETFRF1","ETFRF1","GO:0022904"
"ETNK1","ETNK1","ETNK1","GO:0006646;GO:0016310"
"ETNK2","ETNK2","ETNK2","GO:0008150;GO:0001701;GO:0006646;GO:0001890;GO:0009791;GO:0016310;GO:0035264"
"ETNPPL","ETNPPL","ETNPPL","GO:0006646"
"ETS1","ETS1","ETS1","GO:1904996;GO:0045766;GO:0045944;GO:0021983;GO:0010715;GO:0070555;GO:0045648;GO:1902895;GO:0070301;GO:0030578;GO:0021854;GO:0048870;GO:0009612;GO:0010628;GO:0034616;GO:0030154;GO:0045893;GO:0045765;GO:0051272;GO:0006955;GO:0032355;GO:0008285;GO:0060055;GO:0001666;GO:0008284;GO:0044849;GO:0050729;GO:0007565;GO:0043536;GO:0006357;GO:0010595"
"ETS2","ETS2","ETS2","GO:0030154;GO:0006357;GO:0001501;GO:0045893;GO:0000122"
"ETV1","ETV1","ETV1","GO:0006357;GO:0030154;GO:0006366;GO:0045944;GO:0048935"
"LOC113993287","ETV3","ETV3_ah_2","GO:0000122;GO:0008285;GO:0008150;GO:0097011;GO:0006357;GO:0030154"
"LOC113987977","ETV3","ETV3_ah_1","GO:0000122;GO:0008285;GO:0008150;GO:0097011;GO:0006357;GO:0030154"
"LOC113984498","ETV3","ETV3_ah_3","GO:0000122;GO:0008285;GO:0008150;GO:0097011;GO:0006357;GO:0030154"
"LOC113992306","ETV3L","ETV3L","GO:0006357;GO:0030154"
"ETV4","ETV4","ETV4","GO:0006357;GO:0045618;GO:0030154;GO:0045944"
"ETV5","ETV5","ETV5","GO:0045666;GO:0060252;GO:0030154;GO:0034599;GO:0048133;GO:0000122;GO:0045944;GO:0006357"
"ETV6","ETV6","ETV6","GO:0045944;GO:0071425;GO:0007296;GO:0030154;GO:0022008;GO:0000122;GO:0097152;GO:0006357"
"ETV7","ETV7","ETV7","GO:0030154;GO:0009887;GO:0006357;GO:0006366;GO:0000122"
"EVA1A","EVA1A","EVA1A","GO:0006915;GO:0044267;GO:0006914;GO:0043687"
"LOC113986830","EVA1C","EVA1C_pp_1","GO:0008150"
"EVA1C","EVA1C","EVA1C","GO:0008150"
"EVC","EVC","EVC","GO:0045880;GO:0003416;GO:0007517;GO:0007224;GO:0051216;GO:0001501"
"EVC2","EVC2","EVC2","GO:0007224"
"EVI5","EVI5","EVI5","GO:1902017;GO:0090630;GO:0051301;GO:0006886;GO:0043547;GO:0007049;GO:0042147"
"LOC114001597","EVI5L","EVI5L_ah_1","GO:0090630;GO:0043547;GO:1902018;GO:0006886"
"LOC114004070","EVI5L","EVI5L_ah_2","GO:0090630;GO:0043547;GO:1902018;GO:0006886"
"EVL","EVL","EVL","GO:0007399;GO:0010633;GO:0007166;GO:1900028;GO:0045010;GO:0009887;GO:0007411;GO:0051496;GO:0030838;GO:0051289;GO:0007015;GO:0008154"
"EVPL","EVPL","EVPL","GO:0045104;GO:0008544;GO:0070268;GO:0030216;GO:0018149;GO:0042060"
"EVX1","EVX1","EVX1","GO:1904936;GO:0006357;GO:0097377;GO:0009792;GO:0045944"
"EVX2","EVX2","EVX2","GO:0006357;GO:0008150;GO:0035108"
"EWSR1","EWSR1","EWSR1","GO:0006355"
"EXD1","EXD1","EXD1","GO:0051321;GO:0031047;GO:0090305;GO:0034587"
"LOC113999086","EXD2","EXD2_pp_1","GO:0090305;GO:0000729;GO:0000724;GO:0090503;GO:0006302;GO:0031297"
"EXD2","EXD2","EXD2","GO:0090305;GO:0000729;GO:0000724;GO:0090503;GO:0006302;GO:0031297"
"EXD3","EXD3","EXD3","GO:0090305"
"LOC113987575","EXFABP","EXFABP","unknown"
"EXO1","EXO1","EXO1","GO:1901796;GO:0006310;GO:0090656;GO:0051321;GO:0006298;GO:0090502;GO:0016446;GO:0006260;GO:0002455;GO:0006281;GO:0045190"
"EXOC1","EXOC1","EXOC1","GO:0048015;GO:0006887;GO:0016241;GO:0016032;GO:0051607;GO:0050714;GO:0015031;GO:0006893"
"EXOC1L","EXOC1L","EXOC1L","GO:0006893;GO:0006887"
"EXOC2","EXOC2","EXOC2","GO:0006893;GO:0015031;GO:2000535;GO:0006887"
"EXOC3L1","EXOC3","EXOC3_pp_1","GO:0051601;GO:0006887;GO:0015031"
"EXOC3","EXOC3","EXOC3","GO:0051601;GO:0006887;GO:0015031"
"EXOC3L4","EXOC3L4","EXOC3L4","GO:0006887;GO:0051601"
"LOC113987184","EXOC4","EXOC4_ah_1","GO:0006887;GO:0048341;GO:0090522;GO:0016241;GO:0007268;GO:0006904;GO:0006893;GO:0006612"
"LOC113995133","EXOC4","EXOC4_ah_2","GO:0006887;GO:0048341;GO:0090522;GO:0016241;GO:0007268;GO:0006904;GO:0006893;GO:0006612"
"EXOC5","EXOC5","EXOC5","GO:0006892;GO:0006887;GO:0015031;GO:0006893"
"LOC114001550","EXOC6","EXOC6_pp_3","GO:0006904;GO:0015031;GO:0006893;GO:0006887"
"LOC113997864","EXOC6","EXOC6_pp_2","GO:0006904;GO:0015031;GO:0006893;GO:0006887"
"EXOC6","EXOC6","EXOC6","GO:0006904;GO:0015031;GO:0006893;GO:0006887"
"LOC113992886","EXOC6","EXOC6_pp_1","GO:0006904;GO:0015031;GO:0006893;GO:0006887"
"LOC113982219","EXOC6","EXOC6_pp_4","GO:0006904;GO:0015031;GO:0006893;GO:0006887"
"EXOC7","EXOC7","EXOC7","GO:0015031;GO:0006887;GO:0016241;GO:2000535"
"EXOC8","EXOC8","EXOC8","GO:0034613;GO:0016241;GO:0006887;GO:0007032;GO:0015031;GO:0022617;GO:0008104;GO:0006893"
"EXOG","EXOG","EXOG","GO:0008150;GO:0006309;GO:0090502"
"EXOSC1","EXOSC1","EXOSC1","GO:0043928;GO:0043488;GO:0006364;GO:0090503"
"EXOSC10","EXOSC10","EXOSC10","GO:0000460;GO:0071028;GO:0000184;GO:0000956;GO:0071036;GO:0071051;GO:0071039;GO:0071044;GO:0071048;GO:0071035;GO:0009048;GO:0071040;GO:0071038;GO:0006364;GO:0071037;GO:0071034;GO:1904872;GO:0032211;GO:0000467"
"EXOSC2","EXOSC2","EXOSC2","GO:0030307;GO:0043488;GO:0071049;GO:0043928;GO:0006364;GO:0071038;GO:0034427;GO:0071051;GO:0071035;GO:0000467;GO:0071034;GO:0034475"
"EXOSC3","EXOSC3","EXOSC3","GO:0000467;GO:0043928;GO:0071038;GO:0043488;GO:0071034;GO:0045190;GO:0034475;GO:0006364;GO:0034427;GO:0071049;GO:0045006;GO:0071051;GO:0071035;GO:0045830"
"EXOSC4","EXOSC4","EXOSC4","GO:0071044;GO:0034475;GO:0043928;GO:0030307;GO:0045006;GO:0000956;GO:0006364;GO:0034427;GO:0071028;GO:0000460;GO:0043488;GO:0051607;GO:0090503;GO:0016075;GO:0071051"
"EXOSC5","EXOSC5","EXOSC5","GO:0043488;GO:0043928;GO:0016075;GO:0006364;GO:0071028;GO:0034427;GO:0045006;GO:0051607;GO:0034475;GO:0071051;GO:0090503"
"EXOSC6","EXOSC6","EXOSC6","GO:0043928;GO:0034475;GO:0071028;GO:0043488;GO:0034427;GO:0006364;GO:0045830;GO:0071051;GO:0016075;GO:0090503;GO:0045006;GO:0045190"
"EXOSC7","EXOSC7","EXOSC7","GO:0034476;GO:0034475;GO:0071035;GO:0043488;GO:0043928;GO:0000467;GO:0006364;GO:0034427;GO:0071028;GO:0034473;GO:0016075;GO:0071042;GO:0006401;GO:0071038"
"LOC113988657","EXOSC8","EXOSC8_pp_3","GO:0034476;GO:0071028;GO:0071042;GO:0043488;GO:0016075;GO:0043928;GO:0034475;GO:0034427;GO:0071038;GO:0071035;GO:0006364;GO:0034473;GO:0008150;GO:0000467"
"EXOSC8","EXOSC8","EXOSC8","GO:0034476;GO:0071028;GO:0071042;GO:0043488;GO:0016075;GO:0043928;GO:0034475;GO:0034427;GO:0071038;GO:0071035;GO:0006364;GO:0034473;GO:0008150;GO:0000467"
"LOC113997303","EXOSC8","EXOSC8_pp_2","GO:0034476;GO:0071028;GO:0071042;GO:0043488;GO:0016075;GO:0043928;GO:0034475;GO:0034427;GO:0071038;GO:0071035;GO:0006364;GO:0034473;GO:0008150;GO:0000467"
"LOC113990767","EXOSC8","EXOSC8_pp_1","GO:0034476;GO:0071028;GO:0071042;GO:0043488;GO:0016075;GO:0043928;GO:0034475;GO:0034427;GO:0071038;GO:0071035;GO:0006364;GO:0034473;GO:0008150;GO:0000467"
"EXOSC9","EXOSC9","EXOSC9","GO:0043928;GO:0016075;GO:0034427;GO:0043488;GO:0071035;GO:0045944;GO:0034475;GO:0071042;GO:0030307;GO:0006364;GO:0034473;GO:0071028;GO:0000467;GO:0071038;GO:0000956;GO:0006955;GO:0034476"
"EXT1","EXT1","EXT1","GO:0062094;GO:0060218;GO:0055078;GO:0060047;GO:0050891;GO:0015014;GO:0042060;GO:0072498;GO:0061744;GO:0019882;GO:0030199;GO:0042596;GO:0003416;GO:0035176;GO:0015012;GO:0017145;GO:0060441;GO:0021772;GO:0007498;GO:0033692;GO:0010467;GO:0030163;GO:0060560;GO:1904888;GO:0060351;GO:0070593;GO:0071503;GO:0007165;GO:0007369;GO:0007411;GO:0060070;GO:0051923;GO:0033627;GO:0060506;GO:0035249;GO:0061974;GO:0008543;GO:0003128;GO:0006486;GO:0008217;GO:0021554;GO:0050901;GO:0032836;GO:0030210;GO:0009642;GO:0001974;GO:0120193;GO:0007033;GO:0065003;GO:1990823;GO:0030509;GO:0042311;GO:0007492;GO:0006024;GO:0001501;GO:0009615;GO:0045165;GO:0035988;GO:0036339;GO:0002067;GO:1901706;GO:0042044;GO:0071625;GO:0014033;GO:0001958;GO:0097021;GO:0002062;GO:0036336;GO:0002524;GO:0001503;GO:0071711;GO:0072112;GO:0036022"
"EXTL1","EXT1","EXT1_pp_1","GO:0062094;GO:0060218;GO:0055078;GO:0060047;GO:0050891;GO:0015014;GO:0042060;GO:0072498;GO:0061744;GO:0019882;GO:0030199;GO:0042596;GO:0003416;GO:0035176;GO:0015012;GO:0017145;GO:0060441;GO:0021772;GO:0007498;GO:0033692;GO:0010467;GO:0030163;GO:0060560;GO:1904888;GO:0060351;GO:0070593;GO:0071503;GO:0007165;GO:0007369;GO:0007411;GO:0060070;GO:0051923;GO:0033627;GO:0060506;GO:0035249;GO:0061974;GO:0008543;GO:0003128;GO:0006486;GO:0008217;GO:0021554;GO:0050901;GO:0032836;GO:0030210;GO:0009642;GO:0001974;GO:0120193;GO:0007033;GO:0065003;GO:1990823;GO:0030509;GO:0042311;GO:0007492;GO:0006024;GO:0001501;GO:0009615;GO:0045165;GO:0035988;GO:0036339;GO:0002067;GO:1901706;GO:0042044;GO:0071625;GO:0014033;GO:0001958;GO:0097021;GO:0002062;GO:0036336;GO:0002524;GO:0001503;GO:0071711;GO:0072112;GO:0036022"
"EXT2","EXT2","EXT2","GO:0060350;GO:0050891;GO:0051923;GO:0001707;GO:0015012;GO:0055078;GO:0030210;GO:0008217;GO:0060047;GO:0042044;GO:0033692;GO:0006024;GO:0007165;GO:0030154;GO:0044344;GO:0001503;GO:0010467;GO:0042311;GO:0006487;GO:0015014"
"EXTL2","EXTL2","EXTL2","GO:0006486;GO:0015012;GO:0006044;GO:0036498;GO:0019276"
"EXTL3","EXTL3","EXTL3","GO:0015012;GO:0036498;GO:0030307;GO:0006486"
"EYA2","EYA2","EYA2","GO:2001240;GO:0048856;GO:0014706;GO:0016576;GO:0030154;GO:0007501;GO:0006281;GO:0097192;GO:0035335;GO:0097345;GO:0045739"
"EYA3","EYA3","EYA3","GO:0016576;GO:0010212;GO:0048856;GO:0007275;GO:0030154;GO:0009653;GO:0007601;GO:0045739;GO:2001240;GO:0006302;GO:0035335"
"EYA1","EYA4","EYA4_pp_1","GO:0016576;GO:0048856;GO:0006281;GO:0007601;GO:0035335;GO:0045739;GO:2001240;GO:0009653;GO:0030154;GO:0007605;GO:0007275"
"EYA4","EYA4","EYA4","GO:0016576;GO:0048856;GO:0006281;GO:0007601;GO:0035335;GO:0045739;GO:2001240;GO:0009653;GO:0030154;GO:0007605;GO:0007275"
