"pfil_name","best_annot","dummy_name","GO"
"E2F4","E2F4","E2F4","GO:0005654;GO:0006977;GO:0005515;GO:0005737;GO:0000785;GO:0002064;GO:0000978;GO:0008134;GO:0044458;GO:0045944;GO:0000981;GO:0001216;GO:0001228;GO:0006357;GO:1903251;GO:1990837;GO:0003700;GO:0006884;GO:0046983;GO:1990841;GO:0090575;GO:0042127;GO:0019904;GO:0003677;GO:0000083;GO:0009887;GO:0098534;GO:0008015"
"E2F5","E2F5","E2F5","GO:0005654;GO:0046983;GO:0000978;GO:0008134;GO:0003700;GO:0000981;GO:0045944;GO:0001650;GO:0005515;GO:0006357;GO:0000785;GO:0043231;GO:0090575;GO:0051726;GO:0005730;GO:0001216;GO:0030030"
"E2F6","E2F6","E2F6","GO:0000981;GO:0005515;GO:0005654;GO:0090575;GO:0006357;GO:0001227;GO:0000785;GO:0000083;GO:0000978;GO:0070317;GO:0071339;GO:0000122;GO:0005634;GO:0000977;GO:0046983"
"E2F7","E2F7","E2F7","GO:0001890;GO:0070365;GO:0016607;GO:0071930;GO:0000978;GO:0000981;GO:0032877;GO:0032466;GO:0000987;GO:0008285;GO:0001227;GO:0042802;GO:0045944;GO:0030330;GO:1990837;GO:0006977;GO:0000785;GO:0006357;GO:0000122;GO:0003700;GO:0090575;GO:0005654;GO:0060707;GO:0005515;GO:0002040;GO:0001217;GO:2000134;GO:0060718"
"E2F8","E2F8","E2F8","GO:0005515;GO:0000978;GO:0060707;GO:0001217;GO:0005829;GO:0006977;GO:0008283;GO:0005654;GO:0070365;GO:0060718;GO:0001227;GO:1990837;GO:0090575;GO:0032877;GO:0000785;GO:0003700;GO:0006357;GO:0000987;GO:0042802;GO:0005730;GO:0032466;GO:0000981;GO:0001890;GO:0045944;GO:0002040;GO:0000122;GO:0033301"
"E4F1","E4F1","E4F1","GO:0005515;GO:0051301;GO:0005654;GO:0000122;GO:0005737;GO:0046872;GO:0016567;GO:0001228;GO:0040008;GO:0000977;GO:0071850;GO:0016032;GO:0006260;GO:0010564;GO:0005819;GO:0006357;GO:0016740;GO:0009794;GO:0003700;GO:0001227;GO:0045944;GO:0035497;GO:0000978"
"LOC113999029","EAAT5L","EAAT5L","unknown"
"EAF1","EAF1","EAF1","GO:0005654;GO:0005515;GO:0006366;GO:0006368;GO:0003711;GO:0043231;GO:0016607;GO:0045171;GO:0032783;GO:0016604;GO:0015030;GO:0008023;GO:0034243"
"EAF2","EAF2","EAF2","GO:0005515;GO:0005654;GO:0045944;GO:0006915;GO:0034243;GO:0008023;GO:0003711;GO:0006368;GO:0016607;GO:0006366;GO:0032783"
"EAPP","EAPP","EAPP","GO:0008284;GO:0005634;GO:0032968;GO:0005515;GO:0005737;GO:0034244"
"EARS2","EARS2","EARS2","GO:0004818;GO:0006424;GO:0008270;GO:0050561;GO:0000049;GO:0070127;GO:0005759;GO:0005739;GO:0005524"
"EBAG9","EBAG9","EBAG9","GO:0005515;GO:0016505;GO:0006915;GO:0030141;GO:0016021;GO:0001558;GO:0000139"
"EBF1","EBF1","EBF1","GO:0006357;GO:0000981;GO:0046872;GO:0005515;GO:0005634;GO:0070742;GO:0000785;GO:0046983;GO:0000978;GO:0007275"
"LOC113988498","EBF2","EBF2_pp_2","GO:0000785;GO:0046983;GO:0005634;GO:0046872;GO:0005515;GO:0120162;GO:0060612;GO:0000981;GO:0001228;GO:0006357;GO:0001709;GO:0000978;GO:0045944;GO:0035563;GO:0003682;GO:0050873"
"LOC113999702","EBF2","EBF2_pp_3","GO:0000785;GO:0046983;GO:0005634;GO:0046872;GO:0005515;GO:0120162;GO:0060612;GO:0000981;GO:0001228;GO:0006357;GO:0001709;GO:0000978;GO:0045944;GO:0035563;GO:0003682;GO:0050873"
"LOC113999701","EBF2","EBF2_pp_1","GO:0000785;GO:0046983;GO:0005634;GO:0046872;GO:0005515;GO:0120162;GO:0060612;GO:0000981;GO:0001228;GO:0006357;GO:0001709;GO:0000978;GO:0045944;GO:0035563;GO:0003682;GO:0050873"
"EBF2","EBF2","EBF2","GO:0000785;GO:0046983;GO:0005634;GO:0046872;GO:0005515;GO:0120162;GO:0060612;GO:0000981;GO:0001228;GO:0006357;GO:0001709;GO:0000978;GO:0045944;GO:0035563;GO:0003682;GO:0050873"
"EBF3","EBF3","EBF3","GO:0046872;GO:0007275;GO:0046983;GO:0000785;GO:0045893;GO:0005634;GO:0000981;GO:0000978;GO:0006357"
"LOC113985481","EBF4","EBF4","GO:0000978;GO:0000981;GO:0007275;GO:0005634;GO:0046872;GO:0000785;GO:0046983;GO:0006357"
"EBI3","EBI3","EBI3","GO:0005576;GO:0033210;GO:0032729;GO:0005788;GO:0006959;GO:0005615;GO:0042088;GO:0005886;GO:0019221;GO:0070106;GO:0009897;GO:0005515;GO:0043235;GO:0017046;GO:0004896;GO:0046641;GO:0019955;GO:0005125;GO:0070757"
"EBNA1BP2","EBNA1BP2","EBNA1BP2","GO:0005515;GO:0005730;GO:0030687;GO:0005694;GO:0003723;GO:0042273;GO:0006364;GO:0034399"
"ECD","ECD","ECD","GO:0005829;GO:0008380;GO:0005515;GO:0045944;GO:0006397;GO:0035035;GO:0005634;GO:0005654;GO:0005737"
"ECE1","ECE1","ECE1","GO:0005765;GO:0007507;GO:0070062;GO:0010814;GO:0005515;GO:0042803;GO:0004222;GO:0010815;GO:0019229;GO:0016486;GO:0016020;GO:0004175;GO:0033093;GO:0010816;GO:0005768;GO:0005886;GO:0016021;GO:0017046;GO:0048471;GO:0009897;GO:0043583;GO:0016485;GO:0001921;GO:0003100;GO:0031982;GO:0008270;GO:0034959;GO:0042733;GO:0031302;GO:0042447"
"ECE2","ECE2","ECE2","GO:0004222;GO:0007267;GO:0000139;GO:0016486;GO:0005886;GO:0032259;GO:0030658;GO:0030659;GO:0016021;GO:0016485;GO:0008168;GO:0046872"
"ECEL1","ECEL1","ECEL1","GO:0005887;GO:0046872;GO:0003016;GO:0005886;GO:0007218;GO:0016485;GO:0004222;GO:0008237"
"ECH1","ECH1","ECH1","GO:0005739;GO:0006635;GO:0005777;GO:0005829;GO:0070062;GO:0005515;GO:0005782;GO:0051750;GO:0006625;GO:0016020"
"ECHDC1","ECHDC1","ECHDC1","GO:0004300;GO:0005515;GO:0006635;GO:0005829;GO:0016831"
"ECHDC2","ECHDC2","ECHDC2","GO:0006635;GO:0005739;GO:0004300"
"ECHDC3","ECHDC3","ECHDC3","GO:0004300;GO:1900078;GO:0006631;GO:0005739"
"ECHS1","ECHS1","ECHS1","GO:0006635;GO:0005515;GO:0004300;GO:0005739;GO:0005759"
"ECI1","ECI1","ECI1","GO:0006635;GO:0005759;GO:0005739;GO:0004165;GO:0016863;GO:0004300"
"ECI2","ECI2","ECI2","GO:0005782;GO:0005777;GO:0005739;GO:0006625;GO:0004165;GO:0005515;GO:0006635;GO:0043231;GO:0005829;GO:0000062;GO:0033540;GO:0016020"
"ECM2","ECM2","ECM2","GO:0008201;GO:0010811;GO:0005178;GO:0070052;GO:0030198;GO:0031012;GO:0007160"
"ECSCR","ECSCR","ECSCR","GO:0016021;GO:0005515;GO:2000353;GO:0005829;GO:0016525;GO:1901800;GO:0043231;GO:0006935;GO:0005886;GO:0030154;GO:0006915;GO:0001525;GO:0005654"
"ECSIT","ECSIT","ECSIT","GO:0061635;GO:0051341;GO:0005515;GO:0005743;GO:0045087;GO:0032981;GO:0005634;GO:0005739;GO:0005654;GO:0005737;GO:0005829"
"ECT2","ECT2","ECT2","GO:0005634;GO:0005515;GO:0005654;GO:0007186;GO:0005829;GO:0005911;GO:0005737;GO:0015031;GO:0005085;GO:0030496;GO:0000281;GO:0007399;GO:0030154;GO:0051056;GO:0000902;GO:0032467;GO:0035556;GO:0005923;GO:0071277;GO:0043547;GO:0045859;GO:0043065;GO:0032154;GO:0005096;GO:0045666;GO:0097149;GO:0072686;GO:0090630;GO:0051260;GO:0070830;GO:0031267;GO:0043123;GO:0042803;GO:0042307;GO:0070301;GO:2000431;GO:0016604;GO:0032147;GO:0005938;GO:0051988;GO:0071479"
"EDA","EDA","EDA","GO:0005515;GO:0005102;GO:0048018;GO:0005581;GO:0038177;GO:0005576;GO:0051092;GO:0005615;GO:0010467;GO:0090263;GO:0005811;GO:0061153;GO:0005789;GO:0060789;GO:0060662;GO:0045177;GO:0016020;GO:0005123;GO:0005886;GO:0048513;GO:0005164;GO:0007160;GO:0030154;GO:0033209;GO:0010628;GO:0043123;GO:0005856;GO:0043231;GO:0042475;GO:0016021;GO:0005887;GO:0043473;GO:0006955"
"EDA2R","EDA2R","EDA2R","GO:0043123;GO:0005515;GO:0038023;GO:0005031;GO:0005886;GO:0008544;GO:0051092;GO:0072332;GO:0005887;GO:0033209;GO:0046330;GO:0010668;GO:0007275;GO:0016021"
"EDAR","EDAR","EDAR","GO:0005515;GO:0006915;GO:0005886;GO:0045177;GO:0043123;GO:0033209;GO:0004888;GO:0046330;GO:0001942;GO:0010628;GO:0043473;GO:0042475;GO:0008544;GO:1901224;GO:0030154;GO:0038023;GO:0060662;GO:0016021"
"EDARADD","EDARADD","EDARADD","GO:0030154;GO:0033209;GO:0005515;GO:1901224;GO:0007275;GO:0005829"
"EDC3","EDC3","EDC3","GO:0005515;GO:0090502;GO:0043928;GO:0003729;GO:0042802;GO:1990174;GO:0016020;GO:0036464;GO:0033962;GO:0000932;GO:0031087;GO:0005829"
"EDC4","EDC4","EDC4","GO:0005515;GO:0000932;GO:0005737;GO:0036464;GO:0031087;GO:0005634;GO:0005829;GO:0043928;GO:0005654;GO:0016020;GO:0008150"
"LOC113991156","EDCRP","EDCRP","unknown"
"EDEM1","EDEM1","EDEM1","GO:0005515;GO:0005509;GO:0004571;GO:1904382;GO:1904154;GO:0036510;GO:0005783;GO:0045047;GO:0030176;GO:0051787;GO:0030433;GO:0036498;GO:0005975;GO:0016235;GO:0044322;GO:0097466"
"LOC113988192","EDEM2","EDEM2","GO:0036509;GO:1904154;GO:0004571;GO:1904382;GO:0036510;GO:0097466;GO:0044322;GO:0006986;GO:0016020;GO:0005509;GO:0005783;GO:0036511;GO:0005788;GO:0005975;GO:0036512"
"EDEM3","EDEM3","EDEM3","GO:0006486;GO:0044322;GO:0006986;GO:0005975;GO:0005788;GO:1904382;GO:0005509;GO:0016020;GO:0004571"
"EDF1","EDF1","EDF1","GO:0005515;GO:0005730;GO:0043388;GO:0005634;GO:0005622;GO:0003723;GO:0045893;GO:0005737;GO:0001094;GO:0003713;GO:0005516;GO:0006355;GO:0007275;GO:0045446;GO:0005654;GO:0019216;GO:0003677;GO:0005829"
"EDIL3","EDIL3","EDIL3","GO:0007275;GO:0005201;GO:0005178;GO:0062023;GO:0010811;GO:0070062;GO:0005509;GO:1903561;GO:0007155"
"EDN1","EDN1","EDN1","GO:1901224;GO:0086100;GO:1904707;GO:0019233;GO:0035094;GO:0030593;GO:0019722;GO:0034696;GO:0005576;GO:0071548;GO:0005615;GO:1902074;GO:0010827;GO:0032308;GO:0034392;GO:0019229;GO:0031708;GO:0001516;GO:0005737;GO:0000122;GO:0032269;GO:0001821;GO:0007193;GO:0030072;GO:0090023;GO:2000273;GO:0001701;GO:0014824;GO:0010595;GO:0032496;GO:0001569;GO:0071456;GO:0010460;GO:0035690;GO:0071560;GO:0035810;GO:0035994;GO:0031707;GO:0014032;GO:0033093;GO:0005179;GO:0005515;GO:0008284;GO:0043179;GO:0010613;GO:0014826;GO:0007205;GO:0030195;GO:0030335;GO:0030133;GO:0035815;GO:0010259;GO:0007267;GO:0043406;GO:0045840;GO:0007166;GO:0007186;GO:0030185;GO:0014065;GO:0033574;GO:0046887;GO:0043507;GO:0006874;GO:0048016;GO:0014823;GO:0007204;GO:0060585;GO:0045429;GO:0043200;GO:0071277;GO:0045178;GO:0010193;GO:0006885;GO:0003100;GO:0061051;GO:0009953;GO:0007507;GO:0007585;GO:0042313;GO:0007589;GO:0031583;GO:0045321;GO:0042554;GO:0045944;GO:0070101;GO:0005125;GO:0071346;GO:0071356;GO:0071398;GO:0042474;GO:0071385;GO:0045793;GO:0042482;GO:0051091;GO:0051482;GO:0051930;GO:0071389;GO:0042045;GO:0048237;GO:0060137;GO:0042310;GO:0046888;GO:0071347;GO:0071375;GO:0045987;GO:0060298;GO:0048661;GO:0051899;GO:0051771;GO:0044321;GO:0051216"
"LOC113984281","EDN2","EDN2","GO:0003099;GO:0003100;GO:0005179;GO:0008284;GO:0010460;GO:0005576;GO:0001516;GO:0014826;GO:0097009;GO:0005615;GO:0006874;GO:0060585;GO:0048246;GO:0003058;GO:0014824;GO:0019229;GO:0001659;GO:0030593;GO:0007204;GO:0019221;GO:0042116;GO:0031708;GO:0048286;GO:0007166;GO:0007186;GO:0002690;GO:0048016;GO:0042310;GO:0019722;GO:0045987"
"EDN3","EDN3","EDN3","GO:0007166;GO:0005615;GO:0008015;GO:0007267;GO:0014826;GO:0002690;GO:0014824;GO:0031708;GO:0005102;GO:0005576;GO:0001755;GO:0003100;GO:0048016;GO:0007186;GO:0048070;GO:0008284;GO:0006874;GO:0005179;GO:0030318;GO:0010961;GO:0010468;GO:0007165;GO:0045840;GO:0046887;GO:1901381;GO:0043406;GO:0019229;GO:0060585;GO:0030593;GO:0045597;GO:0030182;GO:0030072;GO:0042310;GO:0010460;GO:0007275"
"EDNRA","EDNRA","EDNRA","GO:0008283;GO:0007585;GO:0086100;GO:0004435;GO:0008217;GO:0007193;GO:0014032;GO:0042310;GO:0007507;GO:0007190;GO:0014824;GO:0001666;GO:0005886;GO:0007204;GO:0001569;GO:0005887;GO:0004962;GO:0007202;GO:0005515;GO:0007186;GO:0060322;GO:0006939;GO:0010827;GO:0001701;GO:0007165;GO:0048484"
"LOC114000846","EDNRB","EDNRB_pp_1","GO:0032269;GO:0019233;GO:0035810;GO:0004962;GO:0007200;GO:0086100;GO:0017046;GO:0005886;GO:0000122;GO:0048246;GO:0005515;GO:0007204;GO:0014826;GO:0007497;GO:0007568;GO:0001934;GO:0035645;GO:0035815;GO:0008284;GO:0008217;GO:0014043;GO:0042045;GO:0031702;GO:1990839;GO:0043066;GO:0007194;GO:0042311;GO:0007399;GO:0007422;GO:0014070;GO:0051930;GO:0005887;GO:0071222;GO:0060406;GO:0001755;GO:0019722;GO:0048265;GO:0030318;GO:0006885;GO:0031965;GO:0007186;GO:0007166;GO:0045121;GO:0048484;GO:0019934;GO:0042310;GO:0031620;GO:0050678"
"EDNRB","EDNRB","EDNRB","GO:0032269;GO:0019233;GO:0035810;GO:0004962;GO:0007200;GO:0086100;GO:0017046;GO:0005886;GO:0000122;GO:0048246;GO:0005515;GO:0007204;GO:0014826;GO:0007497;GO:0007568;GO:0001934;GO:0035645;GO:0035815;GO:0008284;GO:0008217;GO:0014043;GO:0042045;GO:0031702;GO:1990839;GO:0043066;GO:0007194;GO:0042311;GO:0007399;GO:0007422;GO:0014070;GO:0051930;GO:0005887;GO:0071222;GO:0060406;GO:0001755;GO:0019722;GO:0048265;GO:0030318;GO:0006885;GO:0031965;GO:0007186;GO:0007166;GO:0045121;GO:0048484;GO:0019934;GO:0042310;GO:0031620;GO:0050678"
"EDRF1","EDRF1","EDRF1","GO:0005515;GO:0045893;GO:0005634;GO:0005575"
"EEA1","EEA1","EEA1","GO:0016189;GO:0019897;GO:0005769;GO:0006897;GO:0070062;GO:0005515;GO:0008270;GO:0030742;GO:0039694;GO:0042803;GO:0005545;GO:0055037;GO:0031901;GO:0005516;GO:0016020;GO:0005829;GO:0005737;GO:0005969;GO:0044308;GO:0006906;GO:0045022"
"EED","EED","EED","GO:0005654;GO:0005515;GO:0035098;GO:0045892;GO:0000122;GO:0016032;GO:0042802;GO:0006342;GO:0042054;GO:0070317;GO:0031491;GO:0005829;GO:0001226;GO:0046976;GO:0005634;GO:0070734;GO:0045814;GO:0005694"
"EEF1A1","EEF1A1","EEF1A1","GO:1904714;GO:0003924;GO:0005515;GO:0005516;GO:0005737;GO:0005576;GO:0003723;GO:0000049;GO:0003746;GO:0070062;GO:0006412;GO:0005829;GO:1904813;GO:0005615;GO:0030864;GO:0005634;GO:0005886;GO:0071364;GO:0006414;GO:0034774;GO:0043312;GO:0019900;GO:0032587;GO:0019901;GO:1900022;GO:0098574;GO:0005525;GO:0005853;GO:0016020;GO:0005730"
"EEF1A2","EEF1A2","EEF1A2","GO:0010035;GO:0005634;GO:0005515;GO:0005853;GO:0006414;GO:0005737;GO:0005525;GO:0008135;GO:0043025;GO:0003924;GO:0019901;GO:0098574;GO:0043065;GO:0006412;GO:0090218;GO:1904714;GO:0051602;GO:0003746;GO:0045202"
"EEF1AKMT1","EEF1AKMT1","EEF1AKMT1","GO:0003676;GO:0018022;GO:0006479;GO:0016279;GO:0005829;GO:0008168"
"EEF1AKMT2","EEF1AKMT2","EEF1AKMT2","GO:0006479;GO:0005737;GO:0005829;GO:0005654;GO:0018027;GO:0018022;GO:0016279;GO:0005634;GO:0016604;GO:0043231;GO:0018026;GO:0008168"
"EEF1AKMT3","EEF1AKMT3","EEF1AKMT3","GO:0005654;GO:0031072;GO:0005829;GO:0005515;GO:0005694;GO:0005737;GO:0005813;GO:0018022;GO:0008168;GO:0032991;GO:0016279"
"EEF1AKMT4","EEF1AKMT4","EEF1AKMT4","GO:0008168;GO:0016279;GO:0018022"
"EEF1AKNMT","EEF1AKNMT","EEF1AKNMT","GO:0005515;GO:0032259;GO:0008168"
"EEF1B2","EEF1B2","EEF1B2","GO:0005515;GO:0005737;GO:0003746;GO:0005085;GO:0006414;GO:0005634;GO:0005853;GO:0005829;GO:0050790;GO:0005783"
"LOC113991380","EEF1D","EEF1D","GO:0005654;GO:0005515;GO:0003677;GO:0005085;GO:0005634;GO:0006414;GO:0005783;GO:0071479;GO:0003746;GO:0050790;GO:0008135;GO:0001650;GO:0045296;GO:0005829;GO:0005737;GO:0005853;GO:0043123"
"EEF1E1","EEF1E1","EEF1E1","GO:0005515;GO:0005737;GO:0005829;GO:0043517;GO:0005654;GO:2000774;GO:0017101;GO:0043065;GO:0006418;GO:0005634;GO:0008285;GO:0005730"
"EEF1G","EEF1G","EEF1G","GO:0005515;GO:0005737;GO:0070062;GO:0005634;GO:0005829;GO:0003746;GO:0009615;GO:0006414;GO:0005783;GO:0045296;GO:0006749;GO:0016020"
"EEF2","EEF2","EEF2","GO:0051593;GO:0070062;GO:0005829;GO:0016235;GO:0035914;GO:1990904;GO:0051015;GO:0014009;GO:0019901;GO:0016020;GO:0034774;GO:0032355;GO:0005525;GO:0045296;GO:0005634;GO:0006414;GO:0003723;GO:0034976;GO:0045202;GO:0005576;GO:0003746;GO:0045471;GO:0002039;GO:0007568;GO:0005515;GO:2000767;GO:0005737;GO:0042542;GO:0045727;GO:0045121;GO:1990416;GO:0043312;GO:0008097;GO:0005886;GO:0003924;GO:1904813;GO:0042493;GO:0003009;GO:0043022;GO:0002931;GO:0002244;GO:0042788"
"EEF2K","EEF2K","EEF2K","GO:0002931;GO:0046777;GO:0061003;GO:0008135;GO:0005737;GO:0045807;GO:0071454;GO:1990637;GO:0071277;GO:0005524;GO:0071320;GO:0004672;GO:0043066;GO:0032869;GO:0043197;GO:0005829;GO:1990416;GO:0051965;GO:0031952;GO:0014069;GO:0006414;GO:0004686;GO:0005509;GO:0005516"
"EEF2KMT","EEF2KMT","EEF2KMT","GO:0005515;GO:0006479;GO:0005829;GO:0016279;GO:0032991;GO:0018023;GO:0005737"
"EEFSEC","EEFSEC","EEFSEC","GO:0005525;GO:1990904;GO:0003924;GO:0001514;GO:0006414;GO:0000049;GO:0005634;GO:0005737;GO:0043021;GO:0003746;GO:0035368"
"EEPD1","EEPD1","EEPD1","GO:0010875;GO:0003677;GO:0006281;GO:0046658;GO:0005515"
"EFCAB1","EFCAB1","EFCAB1","GO:0005509"
"EFCAB10","EFCAB10","EFCAB10","GO:0005509"
"EFCAB11","EFCAB11","EFCAB11","GO:0005515;GO:0005509"
"EFCAB14","EFCAB14","EFCAB14","GO:0005509"
"EFCAB2","EFCAB2","EFCAB2","GO:0031514;GO:0005737;GO:0005856;GO:0005509"
"EFCAB5","EFCAB5","EFCAB5","GO:0005509"
"EFCAB7","EFCAB7","EFCAB7","GO:0060170;GO:0019898;GO:0042307;GO:0098797;GO:0005929;GO:0045944;GO:1903569;GO:0005509"
"EFCC1","EFCC1","EFCC1","GO:0005509;GO:0005829"
"EFEMP1","EFEMP1","EFEMP1","GO:0005515;GO:0005576;GO:0005615;GO:0005509;GO:0005201;GO:0007601;GO:0070062;GO:0062023;GO:0048050;GO:0031012;GO:0032331;GO:0006355;GO:0008083;GO:0043010;GO:0007173;GO:0018108;GO:0048048;GO:0005154;GO:0005006"
"EFHB","EFHB","EFHB","GO:0006816;GO:2001256;GO:0032091;GO:0070884;GO:0061891;GO:0005737;GO:0005515"
"EFHC1","EFHC1","EFHC1","GO:0005515;GO:0000922;GO:0043014;GO:0060285;GO:0021795;GO:0005509;GO:0043025;GO:0007052;GO:0072686;GO:0008022;GO:0000281;GO:0051302;GO:0005813;GO:0005930"
"EFHC2","EFHC2","EFHC2","GO:0005515;GO:0005930;GO:0072686;GO:0000281;GO:0010975;GO:0060285;GO:1990830;GO:0005509;GO:0036064;GO:0043014;GO:0007052;GO:0005874"
"EFHD1","EFHD1","EFHD1","GO:0005509;GO:0005743;GO:1900069;GO:0031175;GO:0061891;GO:0005739"
"EFHD2","EFHD2","EFHD2","GO:0005509;GO:0045121;GO:0045296"
"EFL1","EFL1","EFL1","GO:0042256;GO:0003746;GO:0043022;GO:0046039;GO:0003924;GO:0005829;GO:0006414;GO:1990904;GO:0005525"
"EFNA1","EFNA1","EFNA1","GO:0046875;GO:0003199;GO:0033628;GO:0005886;GO:0003183;GO:0005515;GO:0001934;GO:1902961;GO:0043409;GO:0050730;GO:0043535;GO:0045765;GO:0048013;GO:0046658;GO:0003180;GO:0061002;GO:0005576;GO:0007267;GO:0007411;GO:0014028;GO:0010719;GO:1902004;GO:1903051;GO:0050731;GO:0050770;GO:0034446;GO:0016477;GO:0000122;GO:0001525;GO:0005102;GO:0043410;GO:0070244;GO:0061098;GO:0050821"
"EFNA2","EFNA2","EFNA2","GO:0005886;GO:0048013;GO:0007411;GO:0005515;GO:0031225;GO:0031594;GO:0030316;GO:0046875;GO:0021772;GO:0043204;GO:0007267;GO:0046849"
"EFNA3","EFNA3","EFNA3","GO:0007411;GO:1902961;GO:0005515;GO:0048013;GO:0005886;GO:0046875;GO:0005005;GO:0031226;GO:0016525;GO:0045664;GO:0031225;GO:0007267"
"EFNA4","EFNA4","EFNA4","GO:0005515;GO:0005886;GO:0005005;GO:0007411;GO:0046875;GO:0048013;GO:0031226;GO:0005576;GO:0031225;GO:0007267"
"LOC114004198","EFNA5","EFNA5_pp_1","GO:0005886;GO:0046875;GO:0005170;GO:0005515;GO:0007399;GO:0005169;GO:0007411;GO:0005901;GO:0048013;GO:0022407;GO:0032956;GO:1900025;GO:0001934;GO:0043087;GO:0005168;GO:0030297;GO:0022604;GO:0007171;GO:0051893;GO:0031362;GO:0061178;GO:0070507;GO:0050731;GO:0006915"
"EFNA5","EFNA5","EFNA5","GO:0005886;GO:0046875;GO:0005170;GO:0005515;GO:0007399;GO:0005169;GO:0007411;GO:0005901;GO:0048013;GO:0022407;GO:0032956;GO:1900025;GO:0001934;GO:0043087;GO:0005168;GO:0030297;GO:0022604;GO:0007171;GO:0051893;GO:0031362;GO:0061178;GO:0070507;GO:0050731;GO:0006915"
"EFNB1","EFNB1","EFNB1","GO:0070062;GO:0009880;GO:0005886;GO:0042102;GO:0045121;GO:0031295;GO:0007267;GO:0048013;GO:0045202;GO:0046875;GO:0005737;GO:0007155;GO:0005887;GO:0005515;GO:0005634;GO:0001755;GO:0007411"
"EFNB2","EFNB2","EFNB2","GO:0005886;GO:0005515;GO:0009653;GO:0048013;GO:0001618;GO:0046718;GO:0002042;GO:0048514;GO:0005912;GO:0008284;GO:0098978;GO:0007411;GO:0007267;GO:0005887;GO:0010977;GO:0050920;GO:0005925;GO:0099054;GO:0046875;GO:1901216;GO:0007155;GO:0099056;GO:2000727"
"EFR3A","EFR3A","EFR3A","GO:0005886;GO:0005829;GO:0072659;GO:0046854"
"LOC113983741","EFR3B","EFR3B","GO:0072659;GO:0005886;GO:0005829;GO:0046854;GO:0005515;GO:0015629"
"EFTUD2","EFTUD2","EFTUD2","GO:0005654;GO:0030623;GO:0005515;GO:0000398;GO:0005634;GO:0005525;GO:0071007;GO:0046540;GO:0016607;GO:0005829;GO:1990904;GO:0003924;GO:0035690;GO:0016020;GO:0015030;GO:0003723;GO:0042220;GO:0071005;GO:0071013;GO:0043231"
"EGF","EGF","EGF","GO:0030335;GO:0038128;GO:0005576;GO:0043410;GO:0005515;GO:0030665;GO:0045746;GO:0018108;GO:0030297;GO:0043406;GO:0021940;GO:0002092;GO:0045840;GO:0045893;GO:0042059;GO:0038029;GO:0045741;GO:0005154;GO:0042327;GO:0010800;GO:0043388;GO:0007173;GO:0046425;GO:2000008;GO:0045740;GO:0031093;GO:0005765;GO:0005509;GO:0048754;GO:1905278;GO:1901185;GO:0008083;GO:0007171;GO:0090370;GO:0000186;GO:0051897;GO:0008284;GO:0090263;GO:0061024;GO:0010595;GO:0007165;GO:0016021;GO:2000145;GO:0010628;GO:0001525;GO:0090279;GO:0070062;GO:0001938;GO:0002576;GO:0014068;GO:2000060;GO:0070371;GO:0005886;GO:0005085;GO:0000165;GO:0000187;GO:0005615;GO:1900127;GO:1902966;GO:0051048;GO:0060749"
"EGFL6","EGFL6","EGFL6","GO:0016020;GO:0005509;GO:0030154;GO:0007155;GO:0005604;GO:0005178;GO:0010811;GO:0007275;GO:0030198;GO:0005515;GO:0005615"
"EGFL7","EGFL7","EGFL7","GO:0001568;GO:0005515;GO:0005576;GO:0007155;GO:0062023;GO:0005509;GO:0048856;GO:0005615;GO:0001525;GO:0005102;GO:0009986;GO:0045746;GO:0001570;GO:0001938"
"EGFLAM","EGFLAM","EGFLAM","GO:0005509;GO:0019800;GO:0030198;GO:0009887;GO:0043083;GO:0005604;GO:0005614;GO:0048786;GO:0009888;GO:0010811;GO:0005539;GO:0042995"
