"pfil_name","best_annot","dummy_name","GO"
"ABAT","ABAT","ABAT","GO:0051536;GO:0009450;GO:0005739;GO:0047298;GO:0030170;GO:0032144;GO:0034386;GO:0042135;GO:0009448;GO:0042802;GO:0005759;GO:0048148;GO:0046872;GO:0003867;GO:0032145"
"ABCA7","ABCA1","ABCA1_pp_1","GO:0010875;GO:0008203;GO:0046623;GO:0005515;GO:0007040;GO:0120009;GO:0034186;GO:0005886;GO:0033700;GO:0030139;GO:0005524;GO:0032367;GO:0090554;GO:0009306;GO:0023061;GO:0005789;GO:0005887;GO:0034185;GO:0019216;GO:0033344;GO:0034380;GO:0008320;GO:0045332;GO:0032489;GO:0071806;GO:0140115;GO:0005548;GO:0007186;GO:0034616;GO:0007189;GO:0090556;GO:0010887;GO:0140328;GO:0015485;GO:0010745;GO:0071404;GO:0031210;GO:0090107;GO:0005768;GO:0090108;GO:0005319;GO:0016197;GO:0055091;GO:0038027;GO:0045335;GO:0042632;GO:0120020;GO:0097708;GO:0031267;GO:0016887;GO:0042626;GO:0043231;GO:0006869;GO:0043691;GO:0005102;GO:0048471;GO:0051117;GO:0045121;GO:0019905;GO:0060155;GO:0099039;GO:0034188"
"ABCA1","ABCA1","ABCA1","GO:0010875;GO:0008203;GO:0046623;GO:0005515;GO:0007040;GO:0120009;GO:0034186;GO:0005886;GO:0033700;GO:0030139;GO:0005524;GO:0032367;GO:0090554;GO:0009306;GO:0023061;GO:0005789;GO:0005887;GO:0034185;GO:0019216;GO:0033344;GO:0034380;GO:0008320;GO:0045332;GO:0032489;GO:0071806;GO:0140115;GO:0005548;GO:0007186;GO:0034616;GO:0007189;GO:0090556;GO:0010887;GO:0140328;GO:0015485;GO:0010745;GO:0071404;GO:0031210;GO:0090107;GO:0005768;GO:0090108;GO:0005319;GO:0016197;GO:0055091;GO:0038027;GO:0045335;GO:0042632;GO:0120020;GO:0097708;GO:0031267;GO:0016887;GO:0042626;GO:0043231;GO:0006869;GO:0043691;GO:0005102;GO:0048471;GO:0051117;GO:0045121;GO:0019905;GO:0060155;GO:0099039;GO:0034188"
"ABCA12","ABCA12","ABCA12","GO:0061436;GO:0035627;GO:0016887;GO:0005319;GO:0005737;GO:0005886;GO:0034040;GO:0072659;GO:0043231;GO:0019725;GO:0098656;GO:0055088;GO:0048286;GO:0033700;GO:0032940;GO:0097209;GO:0005524;GO:0043129;GO:0045055;GO:0016021;GO:0010875;GO:0031424;GO:0006869;GO:2000010;GO:0005102;GO:0055085;GO:0005515;GO:0034191;GO:0005829;GO:0042626"
"ABCA13","ABCA13","ABCA13","GO:0042626;GO:0043312;GO:0043231;GO:0055085;GO:0016021;GO:0005886;GO:0005319;GO:0035577;GO:0005524;GO:0030667;GO:0006869"
"ABCA2","ABCA2","ABCA2","GO:0090155;GO:0005524;GO:0150104;GO:0090370;GO:0150110;GO:1902993;GO:0052548;GO:0007626;GO:1901873;GO:0001573;GO:0042632;GO:0005765;GO:0032383;GO:0005768;GO:0042626;GO:0005886;GO:0031410;GO:1904375;GO:0016021;GO:0000166;GO:0061135;GO:0006629;GO:0006684;GO:0042986;GO:2000008;GO:0099040;GO:1902004;GO:0048545;GO:1905598;GO:0060049;GO:0046512;GO:0032289;GO:0071072;GO:0055085;GO:0032805;GO:0005764;GO:0099038;GO:1905601;GO:0032384;GO:0042493;GO:0010008;GO:0005815;GO:0016020;GO:0043190;GO:0090156;GO:0043231;GO:0010872;GO:0006357;GO:0070723;GO:0016887;GO:0005319;GO:0045540;GO:0006687;GO:0006869"
"ABCA3","ABCA3","ABCA3","GO:0043129;GO:0008559;GO:0150172;GO:0046470;GO:0030659;GO:1902995;GO:0005524;GO:0042493;GO:0046471;GO:0005886;GO:0006855;GO:0120019;GO:0042626;GO:0016021;GO:0046890;GO:0097233;GO:0097232;GO:0055085;GO:0005319;GO:0006869;GO:0015914;GO:0120009;GO:0042908;GO:0044267;GO:0016887;GO:0010875;GO:0030324;GO:0070925;GO:0032464;GO:0005615;GO:0043231;GO:0140345;GO:0046618;GO:0097208;GO:0055091;GO:0051384"
"ABCA4","ABCA4","ABCA4","GO:0006869;GO:0045332;GO:0140327;GO:0045494;GO:0016887;GO:0097381;GO:0007601;GO:0140347;GO:0005783;GO:0005548;GO:0055085;GO:0006649;GO:0016020;GO:0043231;GO:0090555;GO:0005887;GO:0005524;GO:0007603;GO:0005319;GO:0042626;GO:0005215;GO:0140326;GO:0001523"
"ABCA5","ABCA5","ABCA5","GO:0034375;GO:0055085;GO:0031902;GO:0016887;GO:0005794;GO:0010745;GO:0043691;GO:0033344;GO:0043231;GO:0016021;GO:0000139;GO:0005764;GO:0005770;GO:0005319;GO:0006869;GO:0005524;GO:0005765;GO:0042626"
"LOC113995970","ABCA8","ABCA8","GO:0010875;GO:0055085;GO:0016323;GO:0010874;GO:0030301;GO:0033344;GO:0005783;GO:0005886;GO:0042908;GO:0042626;GO:0006869;GO:0008559;GO:0006686;GO:0005524;GO:0016021;GO:0140359;GO:0005319;GO:0043231"
"LOC113995974","ABCA9","ABCA9","GO:0043231;GO:0005524;GO:0016021;GO:0006869;GO:0042626;GO:0005319;GO:0055085"
"LOC114001861","ABCB1","ABCB1_ah_5","GO:0042493;GO:0090555;GO:0031625;GO:0140328;GO:0099038;GO:0150104;GO:0042910;GO:0070633;GO:0005515;GO:1905039;GO:2001225;GO:0099040;GO:0140115;GO:0070062;GO:1990962;GO:0016324;GO:0005886;GO:0055085;GO:0016020;GO:0000086;GO:0045332;GO:1901529;GO:0022857;GO:0072089;GO:0047484;GO:0015562;GO:0042626;GO:0016021;GO:0090554;GO:0008559;GO:0009986;GO:0005524;GO:0098591;GO:0046943;GO:0005654;GO:0046865;GO:0016887"
