gene,moduleColor,Module Membership,MM.black,MM.blue,MM.brown,MM.grey,MM.grey60,MM.lightcyan,MM.lightgreen,MM.magenta,MM.midnightblue,MM.pink,MM.turquoise
HTR1B,brown,0.917043027,-0.016046594,0.54410542,0.917043027,-0.035772623,0.279648181,0.664480084,0.093554915,0.736371154,-0.474846604,-0.737785353,-0.943373074
HTR1F,brown,0.908618408,-0.280175512,0.713272186,0.908618408,-0.13725405,0.360632521,0.563655879,0.182340578,0.508870899,-0.212732181,-0.838186314,-0.846076819
HTR2A,brown,0.902031582,-0.414144014,0.788554838,0.902031582,0.031214233,0.493760092,0.617447841,0.300194599,0.40511147,-0.098556538,-0.893720442,-0.810820047
INSR,brown,0.939173515,-0.004128383,0.544555301,0.939173515,-0.084140825,0.207443233,0.664446582,0.194570974,0.769980675,-0.506614948,-0.752099351,-0.973949214
NPY1R,brown,0.886381732,-0.519484618,0.855004943,0.886381732,0.125315175,0.377240502,0.596703839,0.401179884,0.303589771,-0.001955072,-0.918168441,-0.752388695
PGR,brown,0.756280206,-0.044399622,0.463915044,0.756280206,-0.040985108,-0.149602222,0.504195659,0.474872098,0.595624066,-0.391628815,-0.623809974,-0.773351993
SSTR1,brown,0.99286293,-0.262635376,0.747597803,0.99286293,-0.006966228,0.392429364,0.670617825,0.25883513,0.599808239,-0.28670711,-0.90254264,-0.949160778
VIPR1,brown,0.680778967,0.156836981,0.292342145,0.680778967,-0.340051229,0.156533335,0.439570027,-0.091199317,0.67891577,-0.494975071,-0.47523269,-0.745090262
DRD2,magenta,0.849923232,0.359654108,0.134342377,0.657877381,-0.140160652,-0.11003843,0.561393339,0.198992664,0.849923232,-0.716219438,-0.380752723,-0.803970761
ESR1,magenta,0.836392577,0.571113437,-0.144765139,0.427975149,-0.142013141,-0.253537266,0.451334918,-0.08810878,0.836392577,-0.799279045,-0.110599071,-0.635373073
GHSR,magenta,0.807748625,0.130259647,0.392987596,0.839052548,-0.098626542,-0.020237325,0.634394574,0.263190194,0.807748625,-0.599207634,-0.616846917,-0.916324236
NPY,magenta,0.932989226,0.566824462,-0.069998535,0.545413591,0.047008305,-0.105855761,0.62059746,-0.0337001,0.932989226,-0.874929134,-0.20203156,-0.759986066
TRHR,magenta,0.948811756,0.653249521,-0.173816993,0.478132254,-0.071053249,-0.111825486,0.658550619,-0.21889468,0.948811756,-0.915171376,-0.107381376,-0.709818632
GHR,midnightblue,0.560170146,-0.56280644,0.314027193,-0.107925342,0.399349128,-0.049308288,-0.161273793,0.482294463,-0.544883699,0.560170146,-0.145762222,0.288334833
HTRA2,pink,0.837887934,0.651669316,-0.836969319,-0.716635806,-0.187676353,-0.449671947,-0.491097081,-0.435990473,-0.058871519,-0.206412776,0.837887934,0.534336177
AVPR1A,turquoise,0.630818777,-0.293640765,-0.094522016,-0.506665808,0.061018402,-0.111091639,-0.427551282,0.079287091,-0.66099662,0.54882408,0.291105383,0.630818777
GABRR3,turquoise,0.965627191,-0.079356728,-0.462355548,-0.898758712,0.008619384,-0.245198548,-0.719041151,-0.163282782,-0.812499455,0.575679989,0.68592065,0.965627191
