"gene","moduleColor","best_anno","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"ABR","blue","ABR","ABR",0.0500355043934405,0.680817950818522,0.0224625498576287,0.853562768917073,-0.0383536998398986,0.752588366109923
"ABRACL","black","ABRACL","ABRACL",-0.20932369071358,0.0820142233060329,-0.0732797177947037,0.546592385867675,0.0412474248075881,0.73458616951502
"ABRAXAS1","black","ABRAXAS1","ABRAXAS1",0.00985142088781723,0.935489066021041,0.0461007453590438,0.704715197725656,0.0265427911132653,0.827341268182356
"ABRAXAS2","magenta","ABRAXAS2","ABRAXAS2",-0.0808209612316077,0.505979748386884,-0.00723297037826572,0.952612399422108,0.138026575165423,0.254501355660519
"ABTB1","blue","ABTB1","ABTB1",0.052612278277434,0.665334561961167,0.138950349665357,0.251305219413601,0.0924272828874542,0.446651453440091
"ABTB2","blue","ABTB2","ABTB2",-0.0596569825116721,0.62372613386092,-0.0281208092993983,0.817248811612849,-0.0194500036868115,0.873026482203575
"ACAA1","magenta","ACAA1","ACAA1",-0.114147511712748,0.34675055734665,-0.118381607813004,0.329036974247297,-0.0683994625416715,0.573689304769193
"ACAA2","black","ACAA2","ACAA2",-0.16990506749225,0.15967085018777,-0.0956743169179517,0.430775372133098,0.00780166320735123,0.94889135064768
"ACACA","blue","ACACA","ACACA",0.097259293122109,0.423143584552697,-0.118008417484039,0.330574780510488,-0.114923616042365,0.343460036258364
"ACACB","turquoise","ACACB","ACACB",0.0259249847562122,0.831300246428987,-0.0182636132272922,0.880712952254696,-0.0107206098834432,0.929811073433183
"ACAD10","turquoise","ACAD10","ACAD10",0.082503439786808,0.497135697016727,0.00813573745544026,0.946705951971353,-0.129149407862258,0.286624495575788
"ACAD11","black","ACAD11","ACAD11",-0.0635428971237972,0.601256728958315,0.1500480719877,0.215041561477553,0.0342705662953515,0.778213336876719
"ACAD8","brown","ACAD8","ACAD8",0.145271761954579,0.230168967365097,0.0407999023794696,0.737361231845537,0.00342510396598005,0.977550037369599
"ACAD9","black","ACAD9","ACAD9",-0.291098958496859,0.0144910312904619,-0.237845184501694,0.0474035317608911,-0.0185722263411797,0.878712400722041
"ACADL","magenta","ACADL","ACADL",-0.0430967359163293,0.723154943040985,-0.0442143368809013,0.716275649705028,0.116924921744617,0.335065261760987
"ACADM","black","ACADM","ACADM",-0.00582106569527794,0.961854918089467,-0.0190186840863405,0.875819628855361,-0.0425627989410904,0.726449321673969
"ACADS","turquoise","ACADS","ACADS",-0.0274559965374078,0.821497213462494,-0.094160936756756,0.438134732685345,-0.0191580862969464,0.874916718583399
"ACADSB","blue","ACADSB","ACADSB",0.171457898640581,0.155833702224138,-0.090477201152517,0.456340500293696,-0.439566838625186,0.000140549101872683
"ACAN","blue","ACAN","ACAN",-0.0698101251034889,0.565793166862989,-0.011363881975449,0.925611119429161,-0.0145209542098978,0.905029962092747
"ACAP2","pink","ACAP2","ACAP2",0.000817004151889192,0.994644266243843,-0.0103999324753098,0.931905512811594,-0.0037373029235766,0.97550432094934
"ACAP3","blue","ACAP3","ACAP3",0.00627443692377094,0.958886483941433,-0.0325377772811894,0.78916145420127,-0.0563804139855021,0.642943006254247
"ACAT1","brown","ACAT1","ACAT1",0.0424900160239025,0.726898775464017,-0.0517445693841975,0.670533308372539,-0.0738499277963503,0.543467301822858
"ACAT2","black","ACAT2","ACAT2",0.193714642334903,0.108095783727196,-0.181464256202886,0.132732202344728,-0.00426402559025377,0.972053279337676
"ACBD3","magenta","ACBD3","ACBD3",0.0168527007474192,0.889868338221439,0.0132288246451496,0.913446678550795,0.0775086154900401,0.52362489555602
"ACBD4","black","ACBD5","ACBD4",0.0453402593245871,0.709367829480134,0.0274280972676348,0.821675613090919,-0.0339552654588036,0.780202340226524
"ACBD5","blue","ACBD5","ACBD5",0.0524547729962217,0.666277072159771,0.0429944965708559,0.723785371371197,0.0542474867353414,0.65558025546197
"ACBD6","turquoise","ACBD6","ACBD6",-0.0129436881165382,0.915305322268217,-0.00799187311972362,0.947647015787138,0.0484206550996946,0.690589278402303
"ACBD7","brown","ACBD7","ACBD7",-0.0179218180737465,0.882929471285785,0.0044817245273224,0.970627080420854,-0.00614827431505723,0.959712475490979
"ACCS","brown","ACCS","ACCS",-0.0190179985719652,0.875824069334043,-0.0433406729138422,0.721651521070414,-0.0854151244900204,0.482022639368552
"ACE","blue","ACE","ACE",0.0289644725031088,0.811865052130481,0.0163115854815398,0.893383505922551,-0.00226169748266749,0.985174546644911
"ACER2","turquoise","ACER2","ACER2",0.127716254401352,0.29205097024754,0.0586541921544361,0.62958167431686,0.183755878450477,0.127826660044056
"ACER3","midnightblue","ACER3","ACER3",-0.0119623354609372,0.92170560513103,0.018380928263871,0.879952381673448,0.0600105215301391,0.621667237858376
"ACKR2","turquoise","ACKR2","ACKR2",0.0171139968985387,0.888171671724784,-0.00516925154613703,0.966123547020614,-0.0118015581748504,0.92275466207584
"ACKR3","black","ACKR3","ACKR3",-0.0773874597188078,0.524276101954759,0.0114163744043494,0.925268481746981,0.0313764014731864,0.796522259787197
"ACLY","midnightblue","ACLY","ACLY",0.176976147739692,0.142750662310625,0.0797113267406605,0.511856589722062,0.0353789167203418,0.77123290774893
"ACMSD","brown","ACMSD","ACMSD",-0.0955731048525525,0.431265353602286,-0.068973656728561,0.570469113879243,-0.104174289820619,0.390765695234612
"ACO1","turquoise","ACO1","ACO1",0.0215174051139283,0.85966043003792,0.00714826682747985,0.953166716771668,-0.00114755007917282,0.992477481563918
"ACO2","blue","ACO2","ACO2",0.0344284671645707,0.777217788030584,0.0441044211466914,0.716951239210504,0.0234580537141762,0.847149456672436
"ACOT11","brown","ACOT11","ACOT11",0.00323144391015073,0.978819088596426,0.0238457268916353,0.844654609723997,0.05585338083865,0.646056387145011
"ACOT12","pink","ACOT12","ACOT12",-0.208291146649097,0.0835687805337229,-0.114248452099634,0.346321484577543,0.0291687411605662,0.810562827008308
"ACOT13","blue","ACOT13","ACOT13",0.107708180648726,0.374803789511293,0.0910152067228766,0.453655922427128,0.101531711480862,0.402961317655773
"ACOT7","turquoise","ACOT7","ACOT7",0.0430128137981824,0.723672410183378,-0.0358375213125621,0.768349854201903,-0.0399774200732912,0.74247011684343
"ACOT8","pink","ACOT8","ACOT8",0.0670326037668472,0.581388605769959,-0.0114694019256321,0.924922365078711,0.0249801963458732,0.837362636142641
"ACOT9","blue","ACOT9","ACOT9",-0.107190409271204,0.377117497563027,0.0144137059744123,0.905728175287608,-0.00775310717376003,0.949209019172093
"ACOX1","brown","ACOX1","ACOX1",-0.008181242733475,0.946408302092867,-0.0652478559118682,0.591512322060611,-0.0886710073038637,0.465416735530288
"ACOX2","black","ACOX2","ACOX2",0.0106761354799226,0.930101520905364,-0.0201492663065899,0.868501486754283,-0.0474814691830267,0.696295618497232
"ACOX3","turquoise","ACOX3","ACOX3",0.0210799480729886,0.862485506906696,-0.000184252400352882,0.998792155859898,-0.000285304710889711,0.998129720738147
"ACP1","turquoise","ACP1","ACP1",-0.0114875963659369,0.924803611093975,0.0224107565255937,0.853896698811932,0.0926888932954656,0.445360400316733
"ACP2","pink","ACP2","ACP2",0.1153511878343,0.341655580630572,-0.000596691422428354,0.996088476008047,-0.0392771419684043,0.746828694944547
"ACP5","turquoise","ACP5","ACP5",0.268732481257749,0.0244841155181137,0.376145946124018,0.00133137412511953,0.283161387917754,0.0175357988889745
"ACP6","pink","ACP6","ACP6",0.0135838926960572,0.911132838819589,-0.0279741759862922,0.818185406699112,-0.0375929024581571,0.757343748455524
"ACRBP","turquoise","ACRBP","ACRBP",-0.00786344463792971,0.948487168992362,-0.0139650919573021,0.908649532616659,0.00107639764202357,0.992943893824078
"ACSBG1","blue","ACSBG1","ACSBG1",0.0496501369123423,0.683145099525563,0.0764853350191286,0.529137703600754,0.0534274609651143,0.660464802832879
"ACSBG2","turquoise","ACSBG2","ACSBG2",0.0621538079031247,0.609247802914072,0.00313149027929609,0.979474103836399,0.0167464698750044,0.890558265448446
"ACSF2","turquoise","ACSF2","ACSF2",-0.0277335816428564,0.819722710978945,-0.017595268218183,0.885047963285971,0.00639072231430791,0.958125197126178
"ACSF3","brown","ACSF3","ACSF3",0.147049723302861,0.224453705492434,0.113107229146567,0.3511918021366,0.119472455531004,0.324567955939485
"ACSL1","turquoise","ACSL1","ACSL1",0.0171025644378211,0.888245895358293,0.0134564972869218,0.911962941177992,0.0190686914594532,0.875495712087392
"ACSL3","midnightblue","ACSL3","ACSL3",-0.0799902233514134,0.510376229584131,-0.0241933905985445,0.842418535549294,-0.0435339729678878,0.72046092841837
"ACSL4","black","ACSL4","ACSL4",0.00613303074680644,0.959812278611097,-0.0324101156994171,0.789969687085644,-0.0214070951456386,0.860372642446716
"ACSL5","turquoise","ACSL5","ACSL5",-0.0325877578683409,0.788845084570436,-0.0697921738350625,0.565893327108966,-0.0613750908818197,0.613747664529982
"ACSL6","blue","ACSL6","ACSL6",0.0118777831498638,0.922257284663254,0.0290574234290358,0.811272421002055,0.0304356631495023,0.802497698478693
"ACSS1","turquoise","ACSS1","ACSS1",-0.0202542108452496,0.867822740228395,-0.0201951710392948,0.868204578454342,-0.000521161486087643,0.996583598367321
"ACSS2","midnightblue","ACSS2","ACSS2",0.00861219665116776,0.943589802186011,-0.00748087456040269,0.950990193549056,0.0118700290304253,0.922307879899065
"ACSS3","pink","ACSS3","ACSS3",0.213880891546809,0.0754251020574758,0.129266349099767,0.286184667970994,0.175119748531301,0.147056559677624
"ACTA1","turquoise","ACTA1","ACTA1",-0.0611527102956803,0.615035329225867,-0.105321750095176,0.385539130536952,0.106283245303144,0.381191943279252
"ACTA2","turquoise","ACTA2","ACTA2",-0.12342061199886,0.308717751781028,0.0270634108645595,0.824008396906798,0.0889004395084694,0.464258414227352
"ACTB","pink","ACTB","ACTB",0.025908354760143,0.831406871805421,-0.0442726388952577,0.715917388463165,-0.0444201688139422,0.715011102137823
"ACTG1","midnightblue","ACTG1","ACTG1",0.151873650550743,0.209448968355254,0.138100146261166,0.254245800887149,0.169502761768935,0.160676273859978
"ACTG2","turquoise","ACTG2","ACTG2",-0.0743116983984234,0.540942917851529,-0.102521343468566,0.398368231537185,-0.0369370858184244,0.761450173205883
"ACTL10","turquoise","ACTL10","ACTL10",-0.00699732159912929,0.954154587944276,-0.0141153045512484,0.907671217477368,0.00257847851900027,0.983098328313063
"ACTL6A","turquoise","ACTL6A","ACTL6A",-0.0152880773657809,0.900037920024788,-0.022559780709584,0.852935956618462,0.0253925520463574,0.83471550502789
"ACTL6B","brown","ACTL6B","ACTL6B",0.0541805187991995,0.655978619022416,0.0437326021510019,0.719238202061718,0.0200753265762985,0.868979761383226
"ACTN1","magenta","ACTN4","ACTN1",-0.00757670986821786,0.950363130727931,0.0706145035838164,0.561313651463125,0.0343103773852518,0.777962298395707
"ACTN2","grey","ACTN2","ACTN2",0.00989572824405629,0.935199547395664,0.012157903582711,0.920429720886546,0.12034136608332,0.321035956846178
"ACTR10","black","ACTR10","ACTR10",-0.0911919939954987,0.452775682313402,-0.00523840053315479,0.965670654012696,-0.245272048493257,0.0407053636367333
"ACTR1A","blue","ACTR1A","ACTR1A",0.0818417191695275,0.500604435397525,0.0327329092517913,0.787926491224824,0.00328315737442305,0.978480205838482
"ACTR2","blue","ACTR2","ACTR2",-0.0829981172146481,0.494550800876108,-0.063061456971205,0.604021091921698,0.0385196394214385,0.751552368268107
"ACTR3","magenta","ACTR3","ACTR3",0.00573923684406676,0.962390746229747,-0.0182560034976011,0.880762290971234,0.00747721011356742,0.951014171090329
"ACTR3B","turquoise","ACTR3","ACTR3B",-0.0246232725098117,0.839655376021236,-0.0638938622747484,0.599245061841216,-0.0948494949334402,0.434777640051945
"ACTR5","pink","ACTR5","ACTR5",-0.0439301061821767,0.718023098129919,-0.0541323669107617,0.65626511311954,0.0123260469156254,0.91933291562507
"ACTR6","lightcyan","ACTR6","ACTR6",0.069317438334989,0.568545160068334,-0.0642106343742076,0.597431947518719,-0.0126759789842563,0.917050779031228
"ACTR8","black","ACTR8","ACTR8",0.175725014543273,0.145642114532977,0.162219217158457,0.179696040335797,0.0390456508034788,0.748271262162979
"ACVR1","pink","ACVR1","ACVR1",-0.0207804574519435,0.864420597522949,-0.0444249035411291,0.714982022883925,-0.0269666590387539,0.824627543921498
"ACVR1B","blue","ACVR1B","ACVR1B",-0.0122051018518545,0.920121829778128,-0.0336824263123349,0.781924620123216,-0.0172010599467857,0.887606458700567
"ACVR1C","brown","ACVR1C","ACVR1C",0.0330086231249312,0.78618242557546,0.0706711661196611,0.560998736205435,0.012236486282979,0.919917104441525
"ACVR2A","blue","ACVR2A","ACVR2A",-0.112232817973806,0.354952031200626,0.0120590682851484,0.92107449643864,0.0107674424414451,0.92950523552323
"ACVR2B","brown","ACVR2B","ACVR2B",-0.0289501160337429,0.811956594681199,-0.0139010989234061,0.909066352182759,0.00318093875465897,0.97915005681164
"ACVRL1","turquoise","ACVRL1","ACVRL1",-0.234112392059702,0.0510977533338712,-0.0287072778595219,0.813505407173808,0.118285767793566,0.32943146914873
"ACYP1","brown","ACYP1","ACYP1",-0.0438461809635742,0.718539346204564,-0.0693466608329139,0.568381758011152,-0.109777134279418,0.365644423593487
"ACYP2","magenta","ACYP2","ACYP2",-0.00934525544693822,0.938797097818091,0.0136026307436006,0.911010750581169,0.010464762899404,0.93148204841644
"ADA","blue","ADA","ADA",-0.16813495723861,0.16412961407212,0.0506814541689495,0.67692386806988,0.0505013270031395,0.678008914175561
"ADA2","turquoise","ADA2","ADA2",-0.0415724363198852,0.73257291044459,-0.044573035680502,0.714072444832872,-0.0759485202030019,0.53204123277768
"ADAD1","turquoise","ADAD1","ADAD1",0.0274999341992627,0.821216275934076,0.0138199283342441,0.909595093208352,0.0190405579572678,0.875677940971322
"ADAL","turquoise","ADAL","ADAL",-0.0108389487227518,0.929038286627241,-0.0712173233707378,0.557967634820798,-0.034031903849328,0.77971875448967
"ADAM10","blue","ADAM10","ADAM10",-0.102669717501623,0.397682265140159,0.00382164044622499,0.974951716962024,0.136019842725685,0.261539321904554
"ADAM11","blue","ADAM11","ADAM11",0.0485275300459268,0.689941004709304,0.0652548773258104,0.591472339420679,0.0347673157745979,0.77508259107215
"ADAM12","black","ADAM12","ADAM12",0.0376138247835604,0.757212851881331,0.0220762442203237,0.856054031713491,-0.0312976640091189,0.797021947328086
"ADAM15","brown","ADAM15","ADAM15",0.0351089780352608,0.772931346721612,0.0397168813330264,0.744090792913036,-0.0106193145690185,0.930472612532314
"ADAM17","magenta","ADAM17","ADAM17",0.0349991617032229,0.773622609791865,0.0142322814814588,0.906909456662739,-0.10120547028571,0.404482243135637
"ADAM19","blue","ADAM19","ADAM19",0.0108090287887823,0.929233666287415,0.0137596597943251,0.909987704706622,-0.0221544999820291,0.855549250701066
"ADAM22","brown","ADAM22","ADAM22",-0.0158755174769082,0.896217764525752,0.0252015814920074,0.835941221078872,0.0263306429447691,0.82870026112144
"ADAM23","blue","ADAM23","ADAM23",0.00128822634589823,0.991555340296776,0.0167593617823911,0.890474533311701,0.0179604449384564,0.882678933367209
"ADAM28","turquoise","ADAM28","ADAM28",-0.027226457494908,0.822965249891958,-0.01972004449224,0.871278532639768,0.0103752809115834,0.932066538760511
"ADAM9","brown","ADAM9","ADAM9",0.0764001802638984,0.529597762920898,0.0545531953607893,0.653762943945546,0.00321271289121227,0.978941835492089
"ADAMTS1","brown","ADAMTS1","ADAMTS1",-0.0111146475905331,0.927238148365667,-0.176001698059618,0.14499893536482,-0.0941178678687912,0.438345199911053
"ADAMTS10","pink","ADAMTS10","ADAMTS10",-0.0574762041881339,0.636489406061622,-0.0519996091240059,0.669003661531515,-0.00464156792783374,0.969579965476502
"ADAMTS12","turquoise","ADAMTS12","ADAMTS12",0.0678849991942487,0.576581647551377,-0.00875389254795895,0.942663240003797,-0.0334871422849811,0.783157981022725
"ADAMTS13","blue","ADAMTS13","ADAMTS13",-0.0044747750038814,0.97067260705119,0.0479085279208392,0.693698772377533,0.0153170558686886,0.899849417392965
