,PFT1_GON_run1,PFT10_GON_run1,PFT11_GON_run1,PFT12_GON_run1,PFT2_GON_run1,PFT3_GON_run1,PFT4_GON_run1,PFT5_GON_run1,PFT6_GON_run1,PFT7_GON_run1,PFT8_GON_run1,PFT9_GON_run1
LOC113982808,145.978389774576,144.522950789169,148.746275822243,174.018881224431,123.145338777391,127.313099776339,144.282319200216,175.209972279047,104.157307226362,108.962693317748,134.436964190719,78.6743641981701
ST3GAL1,314.896240799442,266.171765482211,253.894505282793,206.720415951169,256.624552137501,314.887733446811,220.963831502429,259.65802198111,224.338815564472,212.067177317337,219.166143302516,258.362726873003
ZFAT,393.098949607251,350.390175654317,352.203825510138,441.470718810972,383.214515775798,347.989139388659,409.640710456558,433.289526041427,252.953460406879,485.059731543523,412.348671677414,339.950956411846
KHDRBS3,2380.49045610969,2750.09499882988,2696.23996519168,2515.68235004982,2568.82899002069,2625.1961173881,2900.78089301134,2206.69856978475,2404.77475255589,3463.3733488953,2495.55675543947,2793.42557325848
METTL4,831.034118930979,972.15078408542,789.039152781206,927.322091893946,777.624062349541,751.147288680398,994.841725394499,645.593501460632,597.47378430946,842.410499951191,673.31454334175,892.614082692818
NDC80,3521.20730191959,3581.88176596179,3774.22303307587,3743.15781425705,3409.31745608176,3448.48749594176,3968.26826163952,2684.97444005999,1658.50481506592,3912.11218266624,2892.08931368269,3271.29948912885
SMCHD1,1984.26339815013,2132.49332423444,2244.0170921459,1917.71142933232,2124.47238296381,1915.63777463464,2115.8043591808,1903.63267178856,877.89730376505,2087.86580099169,1740.9022001504,2310.69521515366
EMILIN2,59.4340586939345,44.7085387333402,72.6634106028196,54.8918618627399,37.02971725474,61.9590418911514,202.80242069401,48.1432806712696,48.0726033352439,73.813437408797,54.2266746315504,127.238786542719
LPIN2,1446.22876155241,1107.31613374436,1189.97020657794,1414.34137693145,998.080053447528,936.175660355343,1108.85502658068,965.233315753488,715.366121060177,967.776179359782,1366.96408967033,895.527948033491
LOC113982801,57.3486531257263,54.0661398635742,61.550183098859,67.7388933625301,76.6429031551596,24.6138659567588,72.6456432336754,86.8157520301584,45.7834317478514,48.0373164088996,51.9672298552358,53.4208645790044
MYOM1,25.0248668184987,23.9138695550424,13.6778184664131,12.8470314997902,10.3338745827182,11.033801980616,16.1434762741501,22.0985550622221,12.5904437306591,25.7761209998974,12.4269462697303,29.1386534067296
LOC113982800,18.7686501138741,3.11920037674466,7.69377288735737,8.17538368168466,4.30578107613256,11.8825559791249,5.0448363356719,5.52463876555553,3.43375738108885,7.02985118179019,13.5566686578876,7.77030757512791
LOC113982797,730.934651656984,725.733954322592,669.358241200091,745.127826987831,814.653779604281,549.992591033783,664.909429041557,707.153761991108,881.331061146138,692.440341406333,533.228967210245,656.590990098308
LOC113982798,113.654603467348,34.3112041441913,76.0828652194229,29.1977988631595,28.4181551024749,162.112013715204,58.5201014937941,47.3540465619046,97.2897924641841,90.2164234996407,177.366414940696,136.951671011629
TGIF1,60.4767614780386,109.172013186063,74.3731379111213,64.2351574989509,56.8363102049498,104.396741816598,60.5380360280628,94.7080931238091,121.326094131806,73.813437408797,67.783343289438,86.444671773298
DLGAP1,234.608126423426,290.085635037254,189.779731221482,241.757774586961,229.067553250252,219.827285613811,253.250784050729,243.873339793809,201.447099690546,256.589568135342,246.279480618291,180.659651121724
USP48,12983.7350676644,13453.1112248997,12832.3583124579,14915.4035712564,12549.629524496,13408.615668444,14939.7783244588,11981.3630142712,16328.6609328712,14354.9561132156,12873.1866130524,13634.9472174557
