"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
16.8500464296765,0.151917630127924,0.567111495578882,0.267879652082971,0.788791956752242,0.997047509569893,"A1CF"
693.717515382748,-0.27991006387114,0.115186396118832,-2.43006182416169,0.0150962475023505,0.885974016880973,"A2M"
11.8414128309022,0.599770318659754,0.427606739087907,1.40262129623839,0.16072979784784,0.997047509569893,"A2ML1"
12.73610863935,0.553948345000953,0.410493364706107,1.34946966901049,0.177186156274493,0.997047509569893,"A4GNT"
481.893930998297,-0.109854254876426,0.220783307627019,-0.497565943988885,0.618790012559281,0.997047509569893,"AAAS"
2215.80121265239,0.0645142305078735,0.062855596469511,1.02638800888903,0.304708727906229,0.997047509569893,"AACS"
790.503313931051,0.0913185562696753,0.0808471422066136,1.12952114047892,0.258678056639032,0.997047509569893,"AADAT"
2186.53615950708,-0.0120139065171056,0.074784708593876,-0.160646564558378,0.872371777949994,0.997047509569893,"AAGAB"
7885.2835407012,-0.0422583952625492,0.0571563270429307,-0.739347635666101,0.459695930558861,0.997047509569893,"AAK1"
303.807025424996,0.033772064899459,0.163984194453917,0.205947073203751,0.836832254418236,0.997047509569893,"AAMDC"
1250.99404275669,0.0642809778457038,0.0603367164242707,1.06537083313746,0.286708150212876,0.997047509569893,"AAMP"
821.18381804421,-0.053993157838703,0.0662827043345114,-0.814588939615585,0.415307643605922,0.997047509569893,"AAR2"
2961.33344190682,0.0845531886543267,0.0463157531256268,1.8255816422759,0.0679133031044312,0.997047509569893,"AARS"
381.80418913238,0.0679956834754394,0.0700220882436242,0.971060492210195,0.331518156048362,0.997047509569893,"AARS2"
637.706959840805,-0.122969148804109,0.137275454231803,-0.89578395126971,0.370368162891575,0.997047509569893,"AASDH"
329.194698877088,0.000762915174724809,0.134147242659905,0.00568714764163272,0.99546233716251,0.999664338607212,"AASDHPPT"
259.161687514131,-0.0387337940120932,0.145164909105198,-0.266826151380865,0.789603018117227,0.997047509569893,"AASS"
300.828034970289,0.0601781609894525,0.118913848229107,0.5060652050677,0.612810875890295,0.997047509569893,"AATF"
3891.72796972902,-0.0595570941998433,0.112779102706256,-0.528086256857047,0.597439469065321,0.997047509569893,"AATK"
12526.0566214882,-0.000910388009518302,0.057464913557862,-0.015842502026939,0.987360040970176,0.998781437535048,"ABAT"
1389.74903221631,-0.115402695086735,0.112223924207167,-1.02832525151856,0.303796856708763,0.997047509569893,"ABCA1"
320.665219150159,0.113349953036034,0.170782593306093,0.66370905161791,0.506876544928209,0.997047509569893,"ABCA12"
14.5852680589995,-0.228379049256119,0.477854824770249,-0.477925590404833,0.632703166755615,0.997047509569893,"ABCA13"
6817.73890692557,-0.0469254472472382,0.0839602705374678,-0.558900619862789,0.57622954635836,0.997047509569893,"ABCA2"
4033.72445517754,-0.0861505033585619,0.0430655200113505,-2.00045194707636,0.045451483828419,0.980614546697117,"ABCA3"
31.2724777367802,-0.0312358509474936,0.314846037862258,-0.0992099222832174,0.92097159688478,0.997047509569893,"ABCA4"
3885.36372374386,0.0213696282216925,0.0766796037550716,0.278687254174538,0.78048484483844,0.997047509569893,"ABCA5"
301.835991754032,0.0389951833820842,0.132448672321779,0.29441732180861,0.768439032279882,0.997047509569893,"ABCA7"
383.66526959156,0.148102253760694,0.095946822061891,1.54358685965815,0.122688450364423,0.997047509569893,"ABCB10"
15.946508691609,0.18926592853616,0.347898350576124,0.544026518730925,0.58642322431378,0.997047509569893,"ABCB11"
431.712810432181,0.0689986095576283,0.0969404019544788,0.711763188170281,0.476611431594991,0.997047509569893,"ABCB6"
1674.04983122342,-0.0510697943539985,0.0598999343387387,-0.852585147509426,0.39388940191967,0.997047509569893,"ABCB7"
223.854062051806,-0.0692894576180547,0.130181815182262,-0.532251432514177,0.594551865115761,0.997047509569893,"ABCB8"
177.705784638634,0.0551267985545768,0.11454312264429,0.481275499409699,0.63032070780053,0.997047509569893,"ABCB9"
444.926672627146,0.024345421521844,0.117117525783013,0.207871719958886,0.835329131036824,0.997047509569893,"ABCC10"
135.544826203477,-0.245482673492985,0.280668915953652,-0.874634345092645,0.381772894022306,0.997047509569893,"ABCC2"
104.288811116046,-0.182125656994246,0.14972007266007,-1.21644114752569,0.223816917344053,0.997047509569893,"ABCC3"
364.897930459649,-0.146158664835133,0.0968196970151608,-1.50959638731617,0.131146443758937,0.997047509569893,"ABCC4"
6772.22532268622,-0.139741438931282,0.0903415312823633,-1.54681282182963,0.121908387503298,0.997047509569893,"ABCC5"
316.795439474223,-0.0267941817293521,0.130682651753587,-0.205032430623422,0.837546787260198,0.997047509569893,"ABCC8"
290.155623537265,0.101205329564125,0.118981150003693,0.850599692144377,0.394991760522095,0.997047509569893,"ABCC9"
1835.97306326543,-0.0698956576973571,0.0546077393368194,-1.27995882170185,0.20055961848638,0.997047509569893,"ABCD2"
1470.24654130704,-0.129518066268538,0.0618225623840486,-2.09499673378075,0.0361712828305915,0.96838403770045,"ABCD3"
488.304557725573,-0.12846404048222,0.104318253851795,-1.2314627185452,0.218149852050526,0.997047509569893,"ABCD4"
1388.36308330514,-0.0677349422109444,0.0539120717020572,-1.25639657450522,0.208972222984125,0.997047509569893,"ABCE1"
1550.88482221639,0.00878207602837983,0.0685882740940847,0.128040487158682,0.898116932599607,0.997047509569893,"ABCF2"
1700.3664295091,0.0610134617883813,0.0453747604990194,1.34465639305578,0.178736222959906,0.997047509569893,"ABCF3"
1589.38617916757,-0.133757996119226,0.0777581348852385,-1.72018009841204,0.0853997094516096,0.997047509569893,"ABCG1"
