"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"4602","IGF2BP3",47.5573052073253,-1.12924498034764,0.24293305355253,-4.6483793120538,3.34553275473739e-06,0.00452803605834366,"IGF2BP3","IGF2BP3","VMH","~ Batch + Year + mean_T","yes"
"7757","LOC113997521",137.088270247136,2.79272944568091,0.592056293533803,4.71699984643683,2.39347871199673e-06,0.00452803605834366,"UCN3","LOC113997521 (UCN3)","VMH","~ Batch + Year + mean_T","yes"
"8190","LOC114000366",31.2076851204038,-2.14470781434393,0.459633721494492,-4.66612372862994,3.06934920751144e-06,0.00452803605834366,"KRT75","LOC114000366 (KRT75)","VMH","~ Batch + Year + mean_T","yes"
"5215","LCAT",141.592905705257,-1.08725155778967,0.246922681214988,-4.40320651160854,1.06662545374122e-05,0.0123313861295565,"LCAT","LCAT","VMH","~ Batch + Year + mean_T","yes"
"2204","CTBS",899.874614061411,-0.332962644552546,0.0794505230484149,-4.1908175274019,2.7795113321481e-05,0.028612139111146,"CTBS","CTBS","VMH","~ Batch + Year + mean_T","yes"
"8441","LOC114001898",519.964560138323,-0.612753781419935,0.153469597730446,-3.99267210236765,6.5332882748868e-05,0.0604584570773354,"AKR1B10","LOC114001898 (AKR1B10)","VMH","~ Batch + Year + mean_T","yes"
"9761","MZT1",908.272231301249,-0.303775450577755,0.0766370674843605,-3.9638188222657,7.37602410400797e-05,0.0604584570773354,"MZT1","MZT1","VMH","~ Batch + Year + mean_T","yes"
"10957","PLIN1",16.5329484723077,1.85302394821022,0.474970934565677,3.90134177348065,9.56609793153759e-05,0.0706169219528735,"PLIN1","PLIN1","VMH","~ Batch + Year + mean_T","yes"
"9316","MFRP",22.6783945540559,-1.87779658851284,0.485116531692926,-3.87081549655675,0.000108471869934375,0.0721755351244028,"MFRP","MFRP","VMH","~ Batch + Year + mean_T","yes"
"4192","GSC",6.32117621555731,3.42831266538091,0.907880833008605,3.77617033065882,0.00015925810481622,0.0907024747902694,"GSC","GSC","VMH","~ Batch + Year + mean_T","yes"
"14658","VIT",200.681668237044,-0.51186751348161,0.135572982167178,-3.7755864428092,0.000159631651969999,0.0907024747902694,"VIT","VIT","VMH","~ Batch + Year + mean_T","yes"
"3377","FAM19A1",313.375210315627,-0.345974152574887,0.0942032332307561,-3.67263564858123,0.00024006164646836,0.120738104049454,"FAM19A1","FAM19A1","VMH","~ Batch + Year + mean_T","yes"
"6819","LOC113991532",130.403587599372,-0.476551975861949,0.129752087220264,-3.6727885159409,0.000239918032699702,0.120738104049454,"NQO2","LOC113991532 (NQO2)","VMH","~ Batch + Year + mean_T","yes"
"8488","LOC114002160",100.888871082194,0.513394979958715,0.141606770354221,3.62549741565667,0.000288405781001343,0.128280853395586,"TESC","LOC114002160 (TESC)","VMH","~ Batch + Year + mean_T","yes"
"13283","STC2",714.39144692164,1.0798843204411,0.297137525645019,3.63429128682724,0.000278745800015795,0.128280853395586,"STC2","STC2","VMH","~ Batch + Year + mean_T","yes"
"4102","GPR17",16.8095381448126,-1.42303740862643,0.398337949064942,-3.57243745409362,0.000353673970204037,0.150829690638517,"GPR17","GPR17","VMH","~ Batch + Year + mean_T","yes"
"2907","ECH1",203.324905045361,0.457939834072307,0.130700767730737,3.50372719321535,0.000458795106521669,0.189494201038571,"ECH1","ECH1","VMH","~ Batch + Year + mean_T","yes"
"11804","RFC3",608.795646164772,-0.318397867098835,0.0917394280710963,-3.47067639065815,0.000519149243659806,0.20527545219425,"RFC3","RFC3","VMH","~ Batch + Year + mean_T","yes"
"2027","COL9A1",199.107511387299,-0.461251184892549,0.134081777605716,-3.44007361126219,0.000581555990489878,0.220577597263039,"COL9A1","COL9A1","VMH","~ Batch + Year + mean_T","yes"
"8361","LOC114001445",91.5815556628059,1.11153160681582,0.324939587909934,3.42073310908461,0.000624525878302246,0.226796522354124,"LOC114001445","LOC114001445","VMH","~ Batch + Year + mean_T","yes"
"6364","LOC113988681",12.7319275035196,1.71583555001368,0.503936793962051,3.40486261485976,0.000661973481734781,0.230413061248983,NA,"LOC113988681","VMH","~ Batch + Year + mean_T","yes"
"12634","SLC17A8",279.974680751941,-0.415259341004554,0.122439625748675,-3.3915436972744,0.000695000796583325,0.232147083858682,"SLC17A8","SLC17A8","VMH","~ Batch + Year + mean_T","yes"
"4601","IGF2BP2",698.547675186279,0.33831464568772,0.100511585162427,3.36592687440958,0.000762869289795743,0.235975420488416,"IGF2BP2","IGF2BP2","VMH","~ Batch + Year + mean_T","yes"
"5639","LOC113984020",778.384616616111,-0.643391530837686,0.190667208327674,-3.37442151946745,0.000739710046441824,0.235975420488416,NA,"LOC113984020","VMH","~ Batch + Year + mean_T","yes"
"2071","CORIN",199.980847741842,0.537104006572816,0.160148889932794,3.35377914138656,0.000797159628313101,0.237859861120612,"CORIN","CORIN","VMH","~ Batch + Year + mean_T","yes"
"651","ARHGEF3",1085.46875260589,-0.150139590353933,0.0456258095761451,-3.29067235734994,0.000999482514259287,0.254740680120706,"ARHGEF3","ARHGEF3","VMH","~ Batch + Year + mean_T","yes"
"1149","BTBD3",3132.0306160213,-0.18637116069297,0.0563673443045578,-3.30636759620943,0.000945140062277094,0.254740680120706,"BTBD3","BTBD3","VMH","~ Batch + Year + mean_T","yes"
"2001","COL1A1",12.1970771665028,-3.59536233759388,1.08615545878316,-3.31017287490487,0.000932383661290982,0.254740680120706,"COL1A1","COL1A1","VMH","~ Batch + Year + mean_T","yes"
