,PFT1_AH_run2,PFT10_AH_run2,PFT11_AH_run2,PFT12_AH_run2,PFT2_AH_run2,PFT3_AH_run2,PFT4_AH_run2,PFT5_AH_run2,PFT7_AH_run2,PFT8_AH_run2,PFT9_AH_run2
GRIN2C,141.677260494312,136.03768783425,103.3652989154,257.555984038446,238.763248053182,162.340043753839,246.017339367012,259.231450452227,278.784807329109,211.034028261548,273.289754815918
TMEM104,443.743872491619,414.250102051665,394.475732595507,442.218765047143,513.948008521256,454.334216411751,518.127426848707,456.11609636531,511.105480103366,432.567261909242,422.996274917284
NAT9,119.400961674452,72.6216228288103,58.0111371463981,153.561681049338,152.970352142547,124.206476429112,115.553598793596,98.4423229565418,85.5362477032492,109.191736015925,109.516850275496
SLC9A3R1,351.965521353794,298.669209380459,387.092496958693,475.263683753963,523.660411831894,427.095954036946,396.050641026439,398.144506179791,453.025311909801,475.614003992443,412.948857460817
RAB37,93.5604550434137,168.768560095123,127.624501722076,206.044787230757,230.66957862765,152.534269298909,242.289803922057,161.882931084091,185.856538219406,238.331962265529,206.976799603232
LOC114003132,6.23736366956091,7.15987830706581,22.1497069104429,11.6629124847598,17.8060727361695,23.9696708898286,8.38695475114813,21.8760717681204,27.4560795096849,6.29952323168799,9.04267571082081
XYLT2,684.327899746112,599.384098277223,615.972801699936,823.207239549297,813.413777265924,593.794119770754,694.253476622817,628.937063333462,701.186030555031,737.044218107495,626.958849283576
LOC114003170,52.5720652148706,41.9364300842426,68.5586166275614,55.3988343026092,32.3746777021263,40.3126283147117,41.002889894502,50.3149650666769,46.4641345548514,34.6473777742839,26.1232853868157
MRPL27,314.541339336429,364.130953902204,383.928253114344,351.831193290255,352.883986953177,346.470697407523,325.2274675723,351.110951878332,437.185266038829,329.675049125005,335.583743046017
EME1,155.043039786228,172.859919127732,199.347362193986,125.376309211168,144.067315774462,148.17614731894,113.689831071119,127.975019843504,128.832373083906,110.24165655454,110.521592021143
LRRC59,662.942652879046,670.982881347882,668.710199105753,648.2635522779,740.57075243614,598.152241750723,747.370856713422,683.627242753763,815.23436082603,639.401608016331,710.352414172257
ACSF2,10.692623433533,22.5024746793497,11.6022274292796,16.5224593534097,13.7592380234037,10.8953049499221,16.7739095022963,38.2831255942107,24.2880703354905,11.5491259247613,13.0616426934078
LOC114003116,463.347015453097,662.800163282663,324.862368019829,660.89837413639,412.777140702111,485.930600766525,596.405671192756,589.560134150845,522.721513742079,522.860428230103,389.839797310941
EPN3,1356.1810721531,1394.13059036153,1235.10984724422,1627.94820099773,1919.81838773609,1285.64598409081,1541.33590648878,1514.91796994234,1809.98924152308,1562.28176145862,1352.38238964053
SPATA20,620.172159144914,401.976024953838,430.337162831462,597.724264843941,840.122886370179,414.02158809704,619.702767723723,511.900079374017,460.417333316255,564.85724977469,466.200169980095
CACNA1G,3298.67432924493,2386.28515576922,3389.95990524588,2470.59362802162,2271.08364080416,3019.08900162341,2157.31113876755,1602.42225701482,2217.60642193609,2283.5771714869,2358.12887703294
ABCC3,44.5525976397208,53.1876674239174,79.1060961087247,79.6965686458588,64.7493554042527,51.2079332646338,82.0057797890039,59.0653937739251,118.272342503258,62.9952323168799,99.4694328190289
ANKRD40,118.509909721657,220.933387760888,84.3798358493063,182.718962261237,227.432110857438,195.025958603605,202.218797888794,234.073967918888,241.82470029684,122.840703017916,91.4314988538548
LUC7L3,4015.97115124443,4304.1097023047,4430.9961300367,3930.40150736406,3604.92036213177,4335.241839574,3903.66149472883,4242.86411942695,3740.36283166554,4346.67102986471,4370.62659356339
LOC114003188,1534.39146271199,1792.01525628276,1278.35451311699,1386.91467631269,1417.20151641058,1599.43076664856,2008.20972096936,1771.96181321775,2033.86188983282,1527.63438368434,1730.16528600371
TOB1,1654.68347633923,1269.34413986695,1503.01582606577,1238.212542132,1343.54912463824,1600.52029714356,833.104171947381,1324.59614555969,1389.70002441328,1332.34916350201,1246.88450634762
SPAG9,5693.82197835632,7227.38573110386,6125.97608265964,5878.10789231895,6232.12545765932,6220.12959591052,6704.90438161231,7866.6354078161,5541.9040487241,6660.69589697144,6664.45199887493
LOC114003020,270.879793649503,175.928438402188,255.249003444152,148.702134180688,145.686049659569,252.771074838193,149.101417798189,98.4423229565418,157.344455651656,195.285220182328,194.919898655471
LOC114003019,2007.54004964582,2213.42523664149,1986.09038630305,2403.53188123425,2240.32769698714,1964.42348247095,2007.27783710812,2074.94540720622,2404.51896321356,1978.05029475003,2017.52142525869
MBTD1,1806.16230831428,1303.09785188598,1820.49495844878,1303.33047017191,1108.02334435527,1721.45818208769,1286.93161237062,1390.22436086405,1035.93899996157,1446.79050221101,1488.02252530285
UTP18,459.782807641919,455.163692377755,529.483469954397,397.510933855564,441.104983691471,418.379710077008,442.644834088373,472.523150191401,412.897195703339,481.913527224131,451.129043795393
CA10,2792.5568200577,3755.86759193509,2814.06752557437,3010.97523981549,2894.2961865701,2685.6926701558,2459.24150980888,2782.63632890492,2490.05521091681,3319.84874309957,2946.90753998194
TOM1L1,56.1362730260482,19.4339554048929,36.9161781840715,15.5505499796798,23.4716413340416,45.7602807896728,36.3434705883086,15.3132502376843,26.4000764516201,31.4976161584399,28.1327688781092
LOC114003129,556.90747049651,540.059392304392,565.344900190352,432.499671309843,502.616871325512,785.551486889383,566.585387633118,506.431061431987,496.321437290459,526.010189845947,562.655377562183
STXBP4,278.899261224652,187.179675741863,246.811019859221,257.555984038446,207.197937293609,247.323422363232,212.469520362419,188.134217205835,230.208666658128,223.633074724924,382.806605091414
HLF,1443.50416352695,840.774281201156,1318.43493514541,943.724001891816,908.919076487197,1303.07847201068,826.58098491871,968.016175739328,825.794391406678,1445.74058167239,746.52311701554
MMD,3207.7870300599,3185.12300688613,3401.56213267516,2977.93032110867,2376.30134333607,3248.97993606677,2736.01101659677,2837.32650832522,3339.08166960091,2343.42264218793,2724.859614194
TMEM100,37.4241820173655,38.8679108097858,53.7921453539328,53.4550155551492,56.6556859787211,49.0288722746494,52.1854962293661,50.3149650666769,48.576140670981,75.5942787802559,44.2086368084573
PCTP,318.996599100401,302.760568413068,341.738335189691,261.443621533366,216.910340604247,282.188398202982,282.36080995532,271.263289924693,244.992709471035,277.179022194272,248.171211174749
