,PFT1_PIT_run1,PFT10_PIT_run2,PFT11_PIT_run2,PFT12_PIT_run1,PFT2_PIT_run1,PFT3_PIT_run2,PFT4_PIT_run1,PFT5_PIT_run1,PFT6_PIT_run1,PFT7_PIT_run1,PFT8_PIT_run2,PFT9_PIT_run1
LOC113985449,6.09938258164402,6.19274029481716,6.67786551785654,6.70406121174896,6.43838898577636,8.11609780562527,6.64188183796111,7.93228281818765,6.92437769028989,6.42061856382583,7.83831971518444,7.21792041652651
RANBP10,10.2215590430866,9.80423450400546,9.82160671021759,9.89132253170918,9.91497031712605,10.0434586970769,9.9028586831493,10.1091372246992,9.95694381845644,10.0177288694643,9.29166106677881,10.1990119528653
CENPT,10.5984968353132,10.5707183186693,10.6287321665474,10.5331999367496,10.397778725131,10.1323941639962,10.2241510873139,10.5019496980476,10.5571079097236,10.578658536805,10.0544845503732,10.7984156014425
THAP11,9.635247550264,9.63705253464395,9.89910316624423,9.73407479020872,10.0617835284726,9.90580153540547,9.77752043979316,9.72789791905661,9.4098905840129,9.6500295879312,10.3542954960386,9.82668881933558
PLLP,6.2126686391267,6.26289085583646,8.68490390701622,6.27435956229413,7.91528050160426,6.58102494272504,6.25044612705459,7.68188976229247,5.91380383809551,6.28132863799838,6.97995807328939,9.23334309699807
ARL2BP,8.58178837331756,8.74263062629989,8.67305355596466,8.65462746694685,8.60017632304862,8.53220522316446,8.33178026411696,8.10012933465713,8.40425519428454,8.15302776697011,8.85873328919211,8.57752006302407
RSPRY1,9.0728316507191,9.05307737767511,9.21891614766947,8.8713515257347,8.64089700367536,9.06320046913657,8.90478727756457,8.78173103954145,9.16640339511341,8.96920957781887,9.00627413894043,9.14345973648691
FAM192A,10.6955836191977,10.619729739214,10.6477837414143,10.6474330103221,10.8079468128263,10.782972689113,10.3607846141958,10.5069375202966,10.0154216298897,10.4549305387187,10.8439102671166,10.6754121829614
CPNE2,7.18393152805513,8.16172007530477,7.39944186227272,7.57711432667865,7.6817387557354,8.17553924609398,7.80822285874413,7.75440974064924,7.14339251918985,7.82660844952131,7.98210640881978,7.58078260094046
NLRC5,6.36377773462244,6.73691270862969,7.12280338895226,6.54985754582164,6.77434284769634,7.17018008277841,6.78544334194426,6.20843035506171,6.20825187099647,6.42061856382583,7.01031429955281,6.94990756648502
CETP,10.8618646944325,11.0875139595935,10.2393410268064,9.61442297563042,11.212532158078,12.2264001124266,11.4413209745512,8.74120925524549,10.3106809249665,9.67393899622111,11.6094003413114,10.4588943056354
HERPUD1,9.82088585328186,10.3701634814151,9.51936377414888,10.0551182082447,9.73291963782431,10.0879302482749,9.36208199820688,9.67735487470487,9.27038377164512,10.2195931640489,9.63586877760516,9.58346369168076
PARD6A,7.23926678021412,6.85662818166262,7.0830969164896,6.85166711025221,7.21579089404652,7.03462104002859,7.42156013346836,7.20726772765425,7.03411882991057,7.40056743923698,6.93275209507803,7.09190511640165
ENKD1,11.5413387590115,11.4817856634988,11.6885237715217,11.269985921987,11.5758026619122,11.3195187754381,11.4657410976865,11.5151148219337,11.3825372094953,11.4929976745058,11.3879981955994,11.8686051142012
GFOD2,9.40024251499158,9.21382374542799,9.17509582711864,9.46122904035863,9.06791383635184,8.82918614988028,9.00761698060032,9.03962326496065,9.22333429733297,9.04489079445197,8.77683692329665,9.23334309699807
LOC113985480,6.13986830203734,6.01721775843944,6.07515835759827,6.13741131555617,6.1055460593793,5.7991161927316,6.56061800328158,6.43500715652161,6.7482361924044,6.8792104808883,6.03277420327772,6.52617480250717
LOC113985482,6.17745547378008,6.97815990734963,6.12113944676134,6.86679127475049,6.39985617628671,7.6598318403783,6.86544873821078,6.50445887196126,6.11807362881456,6.18082383608081,6.67798687124187,6.60835057453066
LOC113985481,6.85704612835111,6.41088928087962,6.16330590161717,6.5285055412811,6.82413410588768,6.92439344972178,7.21671457599501,7.43585559710856,6.9127559223596,7.2259925932155,5.97358685847763,6.66527285270877
MAN1A1,9.17612955403288,9.141247485599,9.57717800449949,9.27316087865663,9.00953432246016,9.23205292125893,9.18817047511413,8.92409125475134,9.65073282172358,9.25038220503382,9.80746809547283,9.60973048692894
FAM184A,8.76057953185263,9.13017343794584,8.98808703477382,8.66556845277184,8.86071236433448,8.61544072351674,8.56597914847925,8.82757874351042,9.36187568508079,9.05618377252298,9.10689133358987,8.58136352441426
MCM9,7.56849607079322,7.59659111103266,7.41985710834463,7.45778489949287,7.24094069638642,7.67532100754202,7.5211194837433,7.41760284545351,7.56878493014197,7.82660844952131,7.68548776539196,7.531427599886
ASF1A,9.17357251463816,9.18202371591774,9.33539075481976,9.34690130966141,9.38384953936545,9.29054266932562,8.86663304045279,8.69948544336826,9.30843894663462,8.76013847249834,9.86038914504794,9.08021794429997
CEP85L,9.38045810503143,9.58950477850437,9.05319882432968,9.40843913662864,9.09102636215474,9.50517615435684,9.10348949157967,9.31603167584933,9.9747385224745,9.33143939135998,9.54280822621446,9.09895601285557
LOC113985488,6.3361905613274,6.35542644796405,6.45056579654144,6.36036316337383,6.77434284769634,6.90977768989058,6.62225987917302,6.48198091606733,7.14339251918985,6.1023146620906,6.59063310289055,6.27263152064278
SLC35F1,9.23860673145234,9.34874384280694,9.67648405178321,9.43613316159163,9.11786498822026,8.73346486561815,8.86985220829414,9.2385948245258,9.43244552337017,9.16443384023619,9.14876490897193,9.10161281546937
NUS1,10.030935313351,10.2721652725207,10.2681563606202,10.1233390195287,10.2045812713275,10.116384171371,9.69705841016018,9.82713277171332,9.87969990391345,9.82771632180866,10.5807248327875,9.92249087008636
GOPC,9.60529936025741,9.58748893897999,9.72461636933381,9.54574983547573,9.81808754367043,9.67543337155472,9.45666011794821,9.29068391082924,9.66104014943075,9.63698805773976,10.4261617419919,9.34499308585885
DCBLD1,7.4288193690316,7.23347498975468,7.19829350570451,7.45778489949287,7.19008813760839,7.30187292945693,7.44026533870148,7.12791310893028,7.71350495642895,7.90633158745113,6.65693114155274,7.45356166156524
VGLL2,7.51792350928602,8.27877643183838,7.48876634084291,7.30564940354869,8.99399828155914,6.93880881904079,6.75153786440826,7.85616587369483,6.82752692921181,7.88684560581034,7.80759273990235,6.48183273061288
LOC113985501,7.52649432956054,7.22197672743688,6.92390688977465,7.04582118338626,7.33652077058477,7.09826628387148,7.086734477576,7.35149040317497,7.47188899914126,6.81677357164271,6.73843259818395,6.87858184856924
