"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"LOC113996378",2745.22602968493,-0.666689499232515,0.160408566727046,17.4413494840521,2.9630961663478e-05,0.0132728256315373,"LOC113996378","LOC113996378","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"SPHKAP",3805.04274468864,1.00405443822219,0.242227990009225,16.7556458809434,4.25155670650198e-05,0.0181065297016506,"SPHKAP","SPHKAP","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"WFDC1",277.178549410732,0.961778592073392,0.240181050919305,16.0651639299575,6.11995610374072e-05,0.0250612202448182,"WFDC1","WFDC1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"GPSM1",451.026635564084,-1.09764590091738,0.269740557581522,15.6092494989354,7.78727317130111e-05,0.030707813872164,"GPSM1","GPSM1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"NRP2",2191.31201020886,0.94211011894582,0.243832885875548,15.4374216116836,8.52826622329763e-05,0.0313105001653275,"NRP2","NRP2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"PIP4K2B",1904.19513184607,0.498693120180376,0.126792801877013,15.4385490921344,8.52317985439274e-05,0.0313105001653275,"PIP4K2B","PIP4K2B","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ATP8A1",2084.51862002823,0.953575836249224,0.248158548708811,15.2922730153461,9.20924488289545e-05,0.0326836100893959,"ATP8A1","ATP8A1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"FNDC3B",605.443537409428,0.938300693723262,0.244941372958476,15.0290235244355,0.000105870401187803,0.0363613600466625,"FNDC3B","FNDC3B","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"SERTAD2",368.031079075674,0.841443160996038,0.217053710332515,14.6781184762852,0.000127518099802206,0.0424276627685652,"SERTAD2","SERTAD2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC114000362",1416.52549528215,0.759978175281897,0.198269646648444,14.5071520369209,0.000139628424634696,0.0450492071844124,"SRCIN1","LOC114000362 (SRCIN1)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"CSNK1G1",1171.07948652992,0.579747996864133,0.158919523547782,13.6059138879308,0.000225474112359754,0.0685892249798372,"CSNK1G1","CSNK1G1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"IGSF9B",3103.95060943095,0.778388969769134,0.212597523625692,13.6540367607323,0.000219768336285016,0.0685892249798372,"IGSF9B","IGSF9B","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"PCDH19",2234.22380895552,0.53682998272239,0.146779225756829,13.4676568768559,0.000242711225121617,0.0717818448297182,"PCDH19","PCDH19","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113999601",4710.16345149618,-0.477580517700014,0.130350121383075,13.2429514636717,0.000273606758562453,0.0787321934706606,"CST3","LOC113999601 (CST3)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113996085",548.955258898168,-0.878594590831694,0.244436600964801,13.0733110670927,0.000299533179008474,0.083924467286927,"FABP3","LOC113996085 (FABP3)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"MDK",256.544843567127,0.868587352351732,0.243554372422869,12.8318487967757,0.00034076887930661,0.0930299040507047,"MDK","MDK","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"HOOK3",2187.05701733994,0.380228675066939,0.107147070294019,12.6915194255631,0.000367317675849359,0.0977707823692032,"HOOK3","HOOK3","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"ETNPPL",549.234905791238,-0.984790255121314,0.27306889624897,12.5818825361922,0.000389504194872063,0.098739313400068,"ETNPPL","ETNPPL","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"GMDS",550.053316076112,-0.513253244057111,0.144676291725253,12.6077288206007,0.000384154996486419,0.098739313400068,"GMDS","GMDS","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"MFHAS1",1195.50965548002,0.449935340356219,0.127083532313645,12.4902568883354,0.000409079937084202,0.10129009511943,"MFHAS1","MFHAS1","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113992309",105.337827966723,-1.51287166385325,0.425888904058828,12.390973918629,0.000431414178532435,0.104392426337155,"SCNM1","LOC113992309 (SCNM1)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"TMEM201",905.505157722562,1.27131973433996,0.35038392967527,12.3466926836074,0.000441768410166555,0.104522405845407,"TMEM201","TMEM201","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"INF2",1999.39733500253,0.772765290193866,0.219802515927047,12.150302647624,0.000490798995046723,0.113598628266575,"INF2","INF2","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
"LOC113985522",267.591896554724,-0.756776545891536,0.219006663696414,12.0901426271912,0.000506890966213497,0.114826981218619,"MOCS2","LOC113985522 (MOCS2)","TNA",975,42,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no"
