,PFT1_LS_run2,PFT10_LS_run2,PFT11_LS_run2,PFT12_LS_run2,PFT2_LS_run2,PFT3_LS_run2,PFT4_LS_run2,PFT5_LS_run2,PFT6_LS_run2,PFT7_LS_run2,PFT8_LS_run2,PFT9_LS_run2
REV3L,1145.06188612494,1330.24156821755,1294.27740857543,1695.42718061223,1406.93916854685,1203.53260327465,1183.20891466695,1363.03402379174,1621.26075565649,1331.42378944999,1323.20258776435,1144.67352293145
MFSD4B,448.06769457063,452.123094919373,452.551473388656,437.68823516893,349.60950638362,441.386672271568,388.925152506268,452.870486814646,438.151484367276,425.569247769404,432.167063417802,379.400623501661
SLC16A10,93.2150286577198,122.686668973096,100.016846416311,141.388053495581,100.951073271866,73.1075233576097,110.469350829245,116.755672381901,144.379436496311,94.2331905775108,143.396394040232,126.197222316117
RPF2,221.385693062084,209.021732324534,214.887679924154,224.991424258186,206.152718049916,187.338028603875,199.940395302518,193.708274633608,257.677188746888,210.758103657228,226.467408518711,218.41826939328
GTF3C6,118.637309200734,153.35833621637,110.909770283434,118.028288135442,96.7005017656822,101.436688658683,114.121230195501,59.2623488605103,121.318832055928,127.670774330821,121.639699772059,132.668874742585
AMD1,3572.88967798283,4080.46773103112,3989.78093278533,4247.78891154116,3168.80105786005,3405.89674442264,3766.9135662931,4139.51929354012,4576.02602895251,4763.33579467611,3751.05187996276,3777.01814739713
LOC113999001,22.2444954751377,13.6318521081218,13.8637212854293,12.2946133474419,28.6913576667409,5.48306425182072,49.3003714444565,13.2676900433978,24.0632394160518,4.0530404549467,23.7345755652798,35.5940883455716
CDK19,239.393141780053,285.132906594881,225.780603791277,303.676949681814,325.168720223063,276.894744716947,270.239073102946,217.590116711724,295.777317822303,349.574739239153,228.445289815818,351.087144135865
AAK1,6487.97784691515,6870.45346249338,7028.90669171265,6768.18464776674,6264.27975723842,7323.54615234855,6498.51933225261,7009.76290626185,6661.50677834366,7461.64747755688,7038.290595754,5812.35283552117
NFU1,1134.46926923202,890.614337730623,970.46048998005,923.325462392883,1466.44716963342,1082.90518973459,1090.08599082743,962.349784481122,1028.70348503621,1012.24685362294,833.676966730452,1094.51821662633
LOC113999007,501.030779035244,540.730133622164,493.152371438842,603.665515359395,585.516224976823,616.844728329831,446.4422525248,562.550057840068,597.570445498619,613.022368810688,447.990113794655,521.776976883947
LOC113999008,111.222477375688,56.7993837838408,70.3088722332485,86.062293432093,55.2574295803898,54.8306425182072,73.9505571666847,69.8765008952286,115.303022201915,80.0475489851973,95.9272429096724,50.964262858432
LOC113999023,1.05926168929227,6.81592605406089,0.990265806102092,7.37676800846511,11.6890716420055,4.5692202098506,8.21672857407608,2.65353800867957,5.01317487834412,2.02652022747335,1.97788129710665,12.1343482996267
LOC113999026,5.29630844646135,24.9917288648899,8.91239225491883,15.9829973516744,6.37585725927575,16.4491927554622,12.7815777818961,17.6902533911971,7.01844482968176,11.1458612511034,10.8783471340866,17.7970441727858
MARCH2,581.534667421456,529.370256865396,637.731179129747,527.438912605256,586.578867853369,518.149571797058,495.742623969257,564.319083179188,554.457141544859,524.868738915598,600.286973671867,601.054719108174
RAB11B,12337.2208951871,12454.9688761206,12924.9493012445,11261.8658262567,10232.188258261,10715.7352361416,12524.1202865751,12474.2821788026,11665.6579419068,11336.3541524859,12723.7103842871,12459.5488340567
ANGPTL4,50.844561086029,55.663396108164,45.5522270806962,81.1444480931163,93.5125731360443,72.1936793156395,75.7764968498127,45.1101461475526,59.1554635644606,73.9679883027773,57.3585576160928,67.9523504779093
RPS28,581.534667421456,503.242540324829,578.315230763622,485.637227223953,577.015081964455,625.983168749533,505.785292226461,531.592114405473,531.396537104476,575.531744602432,520.182781139048,791.968465688967
LOC113999018,271.170992458821,203.34179394615,305.001868279444,224.991424258186,300.727934062506,338.122295528945,316.800535022711,312.232972354629,283.745698114277,265.474149799009,255.146687326757,376.973753841735
NDUFA7,363.326759427249,285.132906594881,411.95057533847,336.872405719907,335.795148988523,361.882240620168,296.715198508303,430.757670075649,297.782587773641,359.70734037652,381.731090341583,390.726015247979
CD320,332.608170437773,313.532598486801,526.821408846313,195.484352224326,256.096933247576,281.463964926797,321.365384230531,324.616149728467,256.674553771219,264.460889685272,302.615838457317,343.806535156089
POLE4,213.970861237039,234.013461189424,287.177083769607,317.201024364,248.658433111754,227.54716645056,274.803922310767,212.283040694365,226.595504501154,324.243236395736,262.069271866631,261.292966718628
ELAVL1,2620.61341930908,3273.91648130058,2710.35751130143,2816.69591789893,2484.45904536445,2289.17932513515,2681.39242467349,2865.82104937393,2698.0907195248,3030.6610001864,2835.29283940238,2277.21269756327
MATK,44.4889909502753,38.6235809730117,32.678771601369,68.8498347456744,37.1925006791085,27.4153212591036,41.9966127119444,18.574766060757,20.0526995133765,54.7160461417805,32.6350414022597,42.8746973253476
LOC113999033,8.47409351433816,17.0398151351522,17.8247845098377,17.2124586864186,12.7517145185515,10.0522844616713,15.5204873065881,7.9606140260387,10.0263497566882,6.07956068242005,23.7345755652798,8.89852208639289
MRPL54,210.793076169162,239.693399567808,198.053161220418,194.254890889581,192.338360654818,246.737891331933,209.070093718158,216.705604042165,196.516455231089,196.572462064915,187.898723225131,262.101923271936
APBA3,130.289187782949,152.222348540693,143.588541884803,115.569365465953,165.772288741169,126.110477791877,147.901114333369,134.445925773098,126.332006934272,105.379051828614,128.562284311932,165.027136874923
TJP3,56.1408695324903,77.2471619460235,53.474353529513,59.0141440677209,62.6959297162115,57.5721746441176,75.7764968498127,67.222962886549,39.1027640510841,85.1138495538807,41.5355072392396,42.8746973253476
PIP5K1C,1706.47058144985,1952.76281448845,1913.19353738924,1836.81523410781,1942.51117832601,1953.79856173212,1791.24682914858,1839.7863526845,1887.96165918439,2101.50147588986,1782.07104869309,1795.88354834475
CACTIN,910.965052791352,897.430263784684,902.132149359006,779.478486227814,943.626874372811,1097.52669440611,902.01420346524,935.814404394327,893.347763320921,926.119743955321,893.013405643651,944.052297710955
HMG20B,425.823199095492,358.972105513874,406.99924630796,345.478635063116,565.32601032245,484.337342244164,478.39619697954,503.287708979558,587.54409574193,378.959282537517,447.990113794655,439.263408446485
MFSD12,269.052469080237,204.477781621827,210.926616699746,276.628800317442,296.477362556322,264.100928129365,204.505244510338,210.514015355246,219.577059671472,235.076346386909,209.655417493305,227.316791479673
