"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"LOC113997371",459.393921020454,1.86874896742967,0.501205298395482,12.8048984431018,0.000345712981798473,0.199307488783457,"HIST1H110","LOC113997371 (HIST1H110)","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113999026",114.826862389243,-3.29587794220077,0.93119248227305,12.7152076664492,0.000362694013051344,0.199307488783457,"LOC113999026","LOC113999026","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC114000290",637.278505599446,-1.79190065692313,0.52276420441531,12.6761528990004,0.00037034878582817,0.199307488783457,"CDH3","LOC114000290 (CDH3)","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC114003417",18.8413969499792,-7.02472044504442,1.88478591999108,12.6440506848665,0.000376762738721091,0.199307488783457,"ATP2A3","LOC114003417 (ATP2A3)","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"TFRC",679.424192095854,-2.16122744441364,0.623224060465936,12.6688357341269,0.000371800980912254,0.199307488783457,"TFRC","TFRC","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"ALB",48.9432041999713,-3.77095817518864,1.03163279080099,12.4825424932091,0.000410772740022359,0.202812194173706,"ALB","ALB","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"NFE2L3",31.8447242274573,-3.04589572194817,0.886580758933902,12.3559794517622,0.000439576313953302,0.210032398783107,"NFE2L3","NFE2L3","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"ARRDC2",429.291628939854,-2.02806224073652,0.596361931824933,12.1079452591023,0.000502074301226063,0.213370232073078,"ARRDC2","ARRDC2","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"CHAC1",325.071931176687,-3.29141160653839,0.885757831216439,11.9965425039001,0.000532993423352948,0.213370232073078,"CHAC1","CHAC1","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"FBLN5",131.631848122267,-1.97776068350698,0.586978739784709,12.2037564944233,0.00047693382224909,0.213370232073078,"FBLN5","FBLN5","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113987026",146.118921764211,-2.09585225460664,0.583110765553496,12.0789535003523,0.000509942129553818,0.213370232073078,"LOC113987026","LOC113987026","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113988218",88.6597802608513,-3.21625545794615,0.942229289966692,12.0378702642872,0.000521304994445285,0.213370232073078,"RHOBTB2","LOC113988218 (RHOBTB2)","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113995160",37.3318785815854,3.16326664514056,0.887066953582017,12.0811554941478,0.00050934020614775,0.213370232073078,"LOC113995160","LOC113995160","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
"LOC113985978",78.2400812788226,2.23694559075333,0.64093591438612,11.9261260220709,0.000553521605584514,0.215756895313627,NA,"LOC113985978","PIT",603,16,"LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","yes"
