,PFT1_POM_run1,PFT10_POM_run1,PFT11_POM_run1,PFT12_POM_run1,PFT3_POM_run1,PFT4_POM_run1,PFT5_POM_run1,PFT6_POM_run1,PFT7_POM_run1,PFT8_POM_run1,PFT9_POM_run1
SLC41A3,417.430333482693,507.468988358819,443.032852649097,505.309631865914,391.945312340441,425.148257907509,533.74413542108,494.646951545438,372.796535840894,327.697826304878,500.620737656906
KLF15,388.522415651481,456.722089522937,439.30204967942,374.840341671026,429.911524931823,327.825162723862,545.122401873855,444.027784152098,605.907751683009,478.723781036691,415.769765172685
LOC113981955,99.4432373393672,94.3892318347403,78.3468623632087,105.617996824433,85.9823049863646,144.447962325202,96.1980709189155,47.9550006884266,80.7272303889039,65.5395652609756,131.990401642122
ZXDC,396.61663264422,323.765214572926,362.82058880105,384.159576684947,424.328258374267,412.854814305364,340.313605723905,401.401116873497,413.613674801575,366.641625952704,390.314473427418
UROC1,4.62526685299382,5.07468988358819,8.39430668177236,7.24829389971598,12.2831864266235,2.04890726702414,8.27510287474542,2.66416670491259,3.62819012983838,9.49848771898197,5.65673149894809
LOC113998275,65.910052655162,49.7319608591642,11.1924089090298,46.5961750696027,17.8664529841796,59.4183107437001,26.8940843429226,30.1938893223427,17.2339031167323,23.7462192974549,21.6841374126343
LOC113991891,145.695905869305,102.508735648481,141.770512847711,119.079114066763,112.781984462634,77.8584761469173,165.502057494908,136.760557518846,124.265511946964,126.32988666246,113.134629978962
LOC113990825,308.736562437338,710.456583702346,582.937964011969,572.615218077562,460.061164342626,608.52545830617,344.451157161278,507.96778507,536.97213921608,474.924385949099,421.426496671633
LOC113989756,681.07054410334,1218.94051003788,854.353880055942,1029.25773375967,692.325053136961,906.641465658182,701.314968634675,849.869178867116,1169.18426934042,862.462684883563,699.549128703247
SH3BP5L,3073.4898238144,3554.31279446517,3370.78048310281,3756.68718116708,3526.39115775246,3295.66733900833,3294.52533200802,3378.16338182916,3426.82557763235,3742.4041612789,3221.50858865094
GABBR1,14835.5434309777,16982.9571644162,18034.7015554167,15963.8495788459,14223.92988203,18152.2939322004,16081.6280492084,16397.0580131687,17896.9548629603,17057.3842457478,15165.6971486798
RPS5,1651.22026651879,1685.811979328,1509.10980123419,1667.10759693468,1757.61231231867,1400.428117011,1476.07147528271,1437.76196508449,1634.49965349219,1643.23837538388,1736.61657017706
LOC113994545,64.7537359419135,136.001688880163,58.7601467724065,89.0504679107963,113.898637774145,71.7117543458449,81.716640888111,57.7236119397728,100.682276103015,153.875501047508,93.3360697326435
LOC113995158,98.2869206261187,176.599207948869,124.981899484166,86.9795267965917,107.198717905078,75.8095688798932,100.335622356288,63.9400009179022,81.6342779213635,78.8374480675504,114.07741856212
BRD2,1558.71492945892,1552.85510437799,1602.3798754761,1715.77471311848,1365.66699997823,1870.65233479304,1500.89678390695,1567.41807805691,1675.31679245287,1851.25525642959,1655.53675202547
