,PFT1_BSTm_run2,PFT10_BSTm_run2,PFT11_BSTm_run2,PFT12_BSTm_run2,PFT2_BSTm_run2,PFT3_BSTm_run2,PFT4_BSTm_run2,PFT5_BSTm_run2,PFT6_BSTm_run2,PFT7_BSTm_run2,PFT8_BSTm_run2,PFT9_BSTm_run2
LOC114003347,30.7894724173747,54.2781646412501,63.8069024989162,40.670982965774,29.211861197364,25.2470512897343,43.5156034667495,35.6860374820797,10.3212685022435,54.1711272322005,12.9262976494362,64.8391574043739
THADA,485.789453696356,308.108405169449,496.047209749639,440.602315462551,415.35615140002,405.100413876191,392.46148032276,456.348721740535,442.09433417943,377.994087798021,424.144141622126,488.99531209132
ZFP36L2,642.017517443775,494.889148199634,821.256583776373,813.419659315479,617.100567794315,889.384761342912,567.344943311772,632.616119000504,623.576638677211,757.191978423425,461.307247364255,791.578046645065
LOC114003369,11.4035083027314,9.57849964257355,10.291435886922,18.3987780083263,14.605930598682,1.14759324044247,13.9578350742404,16.2209261282181,8.60105708520292,13.2418311012046,1.61578720617953,8.10489467554674
MTA3,996.66662565872,977.80517184605,973.569834902818,1026.45814151715,763.159873781135,745.935606287603,1050.9428761781,1135.46482897526,1346.06543383426,1132.77846056668,1001.78806783131,1096.86241275733
KCNG3,372.894721499315,383.93819400649,482.66834309664,395.089548810376,313.114637209246,362.63946397982,305.430273389261,594.767291367996,464.457082600957,346.695214286083,340.93110050388,425.506970466204
LOC114003365,407.105246407509,356.799111685865,335.500809913656,423.171894191505,359.671040992544,338.540005930528,305.430273389261,349.290609294296,378.446511748928,346.695214286083,323.157441235905,359.316997282572
EML4,672.80698986115,704.019723729156,750.245676156611,770.811962875144,640.835205017173,678.227605101498,760.291486985096,740.755626521958,731.089852242248,740.338738840073,822.43568794538,691.617678979988
PKDCC,106.052627215402,86.206496783162,129.672092175217,122.012948897322,129.627634063303,95.2502389567248,134.652056010319,89.7557912428066,110.093530690597,170.940001488277,118.760359654195,97.2587361065608
BICRAL,931.666628333152,760.69251328105,832.577163251987,810.514589103638,876.355835920921,776.92062377955,853.891086894708,1026.2439263786,937.515222287118,847.477190477092,902.417154651266,905.046572102719
TBCC,266.842094283914,269.794406599155,281.985343301662,271.139886438493,215.43747633056,226.075868367166,224.146410309861,303.872016135285,269.213086766851,285.301270089589,247.215442545468,314.740076567065
PRPH2,11.4035083027314,41.5068317844854,11.3205794756142,10.6519241100837,10.9544479490115,14.9187121257521,30.3788175145233,22.7092965795053,24.0829598385682,25.2798593750269,22.6210208865134,10.8065262340623
UBR2,1741.31571782708,1605.99510673817,1610.60971630329,1572.61134134326,1716.19684534514,1575.64551912751,1720.09791061963,1733.4763055689,1702.14919716166,1823.76128348408,1704.6555025194,1710.13277654036
LOC114003359,7.98245581191195,5.58745812483457,9.26229229822977,5.81014042368199,3.6514826496705,3.4427797213274,6.56839297611314,7.56976552650176,6.02073995964204,6.01901413691117,5.65525522162835,4.05244733777337
TRERF1,362.631564026857,347.220612043291,349.908820155347,316.652653090669,476.518485782001,378.705769346014,444.187575009651,322.255732413932,365.544926121124,353.918031250377,445.95726890555,314.740076567065
LOC114003358,139.122801293323,71.0405390157539,160.546399835983,73.5951120333052,141.494952674732,121.644883486901,3.28419648805657,51.9069636102978,0.860105708520292,113.15746577393,159.962933411773,47.2785522740226
LOC114003386,286.228058398557,242.65532427853,196.566425440209,212.070125464393,208.134511031219,191.648071153892,314.461813731416,258.453422976274,285.555095228737,238.352959821682,222.978634452775,218.832156239762
CELF4,2377.63148111949,1976.36375958434,2187.95926955961,2388.93607087058,1895.11949517899,1823.52565906308,2130.6224716267,2413.67380787885,2233.6945250272,2482.24143006216,2037.50766699238,2386.89148194851
LOC114003393,134.56139797223,420.655775969689,312.859650962428,345.703355209079,174.358296521767,323.621293804776,127.262613912192,316.84875703786,189.223255874464,290.116481399118,166.426082236491,291.776208319683
TINF2,76.4035056283001,113.345579103787,136.876097296062,117.17116521092,94.0256782290154,99.8406119184946,155.999333182687,121.116248424028,130.736067695084,122.787888392988,98.5630195769512,106.714446561365
FKBP15,5.70175415136568,0.798208303547796,1.0291435886922,5.81014042368199,15.5188012610996,16.0663053661945,2.46314736604243,5.40697537607269,4.30052854260146,4.81521130952893,4.03946801544882,2.70163155851558
SLC31A1,1109.56135785576,1145.42891559109,1108.3876450215,1422.51604706481,1309.05652990688,1436.78673703397,1169.17394974814,1308.48804100959,1097.49488407189,1117.12902381071,1171.44572448016,1240.04888535865
LOC114003398,10.2631574724582,0.798208303547796,2.05828717738439,3.87342694912133,7.302965299341,8.03315268309727,4.92629473208485,3.24418522564361,5.16063425112175,6.01901413691117,4.84736161853858,9.45571045480453
CDC26,54.7368398531105,63.8566642838237,50.4280358459176,61.0064744486609,39.2534384839579,68.855594426548,51.726094686891,64.8837045128723,67.0882452645827,51.763521577436,45.2420417730268,76.996499417694
PRPF4,295.350865040742,305.713780258806,305.655645841582,304.064015506024,292.11861197364,314.440547881236,331.703845293713,274.674349104493,324.25985211215,311.784932291998,338.507419694611,351.212102607025
WDR31,20.5263149449164,6.38566642838237,9.26229229822977,67.7849716096233,56.5979810698928,52.7892890603535,14.7788841962546,24.8720867299344,14.621797044845,20.464648065498,20.1973400772441,9.45571045480453
HDHD3,171.05262454097,207.534158922427,227.440733100975,211.101768727112,281.164164024629,238.699394012033,220.862213821804,476.895228169611,252.871078304966,186.589438244246,239.13650651457,226.937050915309
ALAD,172.192975371243,166.825535441489,164.662974190751,160.747218388535,238.259242891,200.828817077432,179.809757721097,423.906869484099,149.658393282531,193.81225520854,208.436549597159,171.553603965739
POLE3,42.192980720106,52.6817480341545,42.19488713638,47.4494801267363,44.7306624584637,35.5753904537165,53.3681929309192,38.9302227077234,49.0260253856566,31.2988735119381,28.2762761081417,27.0163155851558
LOC114003420,9.12280664218508,4.78924982128678,7.20400512084537,10.6519241100837,6.39009463692338,9.18074592353974,6.56839297611314,8.6511606017163,7.74095137668262,4.81521130952893,8.8868296339874,5.40326311703116
LOC114003415,18.2456132843702,26.3408740170773,10.291435886922,30.9874155929706,30.1247318597816,28.6898310110617,35.3051122466081,36.7674325572943,18.0622198789261,36.114084821467,36.3552121390394,25.665499805898
