,PFT1_TNA_run2,PFT10_TNA_run1,PFT11_TNA_run1,PFT12_TNA_run1,PFT2_TNA_run1,PFT3_TNA_run1,PFT4_TNA_run1,PFT5_TNA_run1,PFT6_TNA_run1,PFT7_TNA_run1,PFT8_TNA_run2,PFT9_TNA_run2
SLC41A3,551.465931785639,528.683834811532,581.466407360035,536.742932480458,465.425408458716,515.838131106995,381.563235255428,475.994774439956,614.761949199868,290.273903469156,520.813858912447,470.790116510139
KLF15,336.717383680078,453.920464232124,382.495871091523,333.678591104771,296.995228523977,409.537431638092,274.909415280417,359.981711135594,380.400352634342,360.114241145946,359.463683014081,241.375071282335
LOC113981955,9.38221812111672,6.40828890680645,3.63416504600022,3.06127147802543,0.996628283637507,11.1895473125162,20.2274486159504,5.11822338107479,4.37241784637175,2.18251055239967,6.12722186955819,8.69820076693098
ZXDC,305.443323276356,415.470730791285,326.166312878519,266.330618588212,307.95813964399,360.30342346302,331.914043198095,357.422599445056,349.79342770974,340.471646174349,290.021835159088,359.888056731769
UROC1,35.4439351242187,18.1568185692849,10.9024951380007,24.4901718242034,19.9325656727501,5.59477365625808,1.8388589650864,13.6485956828661,6.9958685541948,0,3.0636109347791,3.26182528759912
LOC113998275,44.8261532453355,50.1982631033172,10.9024951380007,55.1028866044577,27.9055919418502,22.3790946250323,35.8577498191848,46.0640104296731,24.4855399396818,16.3688291429975,23.4876838333064,6.52365057519824
LOC113991891,185.559425062086,88.6479965441559,91.7626674115055,97.9606872968136,80.7268909746381,100.705925812645,57.9240574002216,55.4474199616436,90.9462912045324,78.5703798863881,84.7599025288884,89.1565578610426
LOC113990825,658.840205838419,594.902820181866,495.15498751753,462.251993181839,361.776066960415,431.916526263124,495.572491090785,504.145003035867,378.651385495794,500.886171775724,402.354236100988,414.251811525088
LOC113989756,869.418879223483,1097.95349936617,752.272164522045,904.095509843509,645.815127797105,612.068237994634,798.064790847498,723.375571191904,735.440681759729,1019.23242797065,794.496435752713,789.361719598987
SH3BP5L,4561.84294422298,3224.43736827478,3642.34191735372,3510.25796146915,3174.26108338546,3033.48627642313,3077.33047807209,3457.35989391602,3307.29685899559,3283.5871260853,4255.35558840817,3769.58275736871
GABBR1,22334.8914716584,22439.6916553339,26364.9588674701,20727.8691777102,21481.3260255228,19581.7077969033,21290.3090977704,21839.4591670461,18941.3141104824,21332.9493944306,24777.4640368484,24282.1147159837
RPS5,1929.60952690967,1623.4331897243,1550.87993338059,1574.51396353108,1481.98625776897,1412.12087083954,1365.35278157665,1390.45068519198,1348.45366382105,1531.03115250837,1452.15158308529,1467.8213794196
LOC113994545,79.2276196894301,61.9467927657957,57.2380994745034,94.8994158187882,39.8651313455003,62.6614649500905,62.5212048129376,71.6551273350471,38.4772770480714,60.0190401909909,105.183975427416,65.2365057519824
LOC113995158,67.7604642080652,54.4704557078548,59.9637232590036,67.3479725165594,37.8718747782253,43.639234518813,62.5212048129376,72.5081645652262,36.7283099095227,34.9201688383947,38.8057385072019,52.1892046015859
BRD2,2278.83653475124,1636.24976753791,1567.23367608759,1818.3952579471,1710.21413472196,1370.71954578323,1864.60299059761,1734.22468895417,1345.83021311323,1560.49504496576,2017.8984023745,1795.09118327538
LOC113999578,6.25481208074448,9.61243336020968,2.72562378450016,12.2450859121017,9.96628283637507,8.95163785001293,2.7582884476296,11.9425212225078,6.9958685541948,9.82129748579852,4.08481457970546,2.17455019173275
LOC114000840,397.180567127275,1055.2315733208,1199.27446518007,848.992623239051,1000.61479677206,944.397793176364,753.012746202881,876.069235393968,945.316738385573,901.376858141064,814.92050865124,998.11853800533
LOC114001480,31.2740604037224,7.47633705794086,0.908541261500054,26.5310194762204,11.9595394036501,11.1895473125162,0,11.9425212225078,15.7407042469383,0,0,0
LOC114002103,134.478459736006,92.9201891486936,155.360555716509,148.981878597237,156.470640531089,109.657563662658,122.284121178246,152.693664202065,84.824906219612,104.760506515184,163.392583188219,134.82211188743
LOC114003348,572.31530538812,642.964986982914,691.399900001541,548.98801839256,602.960111600692,515.838131106995,684.974964494684,638.071848173991,487.961831655088,552.175169757117,805.729675846903,593.652202343039
LOC114002770,230.385578307422,309.733963828979,268.928213404016,304.086300150526,260.119982029389,257.359588187872,285.023139588392,247.380796751948,279.834742167792,222.616076344766,271.640169550413,266.382398487261
LOC113982360,251.234951909903,385.565382559522,378.861706045523,351.025796146915,379.71537606589,294.285094319175,308.008876651972,347.186152682907,490.585282362911,293.547669297756,409.502661615473,331.618904239244
TNFRSF21,10093.1817609613,10796.8987598177,10551.7982110616,10862.4116278602,10106.807424368,7974.79036963027,8783.3098467352,9202.56563917247,10164.997009245,9533.20609288176,7857.14084406346,9544.10079151502
ADGRF5,60.4631834471967,131.369922589532,102.665162549506,112.246620860932,102.652713214663,133.155613018942,128.720127556048,117.71913776472,127.674601114055,84.0266562673873,104.162771782489,97.8547586279735
ANKRD66,40.6562785248391,19.2248667204194,18.1708252300011,31.6331386062627,20.9291939563877,32.4496872062969,32.180031889012,22.1789679846574,20.1131220933101,49.1064874289926,34.7209239274964,67.4110559437151
PLA2G7,968.453403835271,1055.2315733208,1024.83454297206,1139.81341365147,925.867675499244,1172.66455835169,1116.18739180745,1120.89092045538,1205.03835846005,1131.63172141923,1167.23576615084,1020.95131501852
IMP3,535.828901583777,479.55361985935,546.033298161533,559.192256652644,565.088236822467,518.076040569498,493.733632125699,516.940561488554,445.986620329919,470.331024042129,392.142199651724,492.535618427467
