"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","n_p005","n_q01","Test","fdrtool"
"PLEKHD1",510.952026319277,-1.26879312350064,0.27137082335576,22.0173085069871,2.70202778688934e-06,0.00163461422657693,"PLEKHD1","PLEKHD1","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"ZBTB16",858.952748993079,-1.27824251957926,0.26754151707351,22.0420012656827,2.66748955670727e-06,0.00163461422657693,"ZBTB16","ZBTB16","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"RAB31",375.73874332832,1.06438186394172,0.230865407480414,21.8703700321853,2.91703464564808e-06,0.00167437993086529,"RAB31","RAB31","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"SYT2",9094.17467965273,-0.869978308835121,0.182042560854961,21.8175766007237,2.998407480026e-06,0.00167437993086529,"SYT2","SYT2","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"KIAA0040",919.107720925464,-1.02199410902918,0.218617418748869,21.5932492798979,3.370360191435e-06,0.00168867950417208,"KIAA0040","KIAA0040","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"LOC113998650",193.957376610283,-1.90715228963132,0.418079787359988,21.6356801856724,3.29661941681963e-06,0.00168867950417208,"LOC113998650","LOC113998650","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"LOC114001648",23.8335608983426,3.38918609444561,0.75541936489623,21.5917821603449,3.37293929478548e-06,0.00168867950417208,"CHIA","LOC114001648 (CHIA)","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"STEAP1",78.5851518665309,2.63176199080528,0.557790197235676,20.9731544749855,4.65764302354409e-06,0.00225414396862789,"STEAP1","STEAP1","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"GPR157",192.369362672942,-1.16793477360128,0.2577580817507,20.8389876196385,4.99556250328342e-06,0.00233969587048942,"GPR157","GPR157","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"SEMA7A",1554.67606711611,-0.605002819120501,0.133950156312611,20.3280611011953,6.52367882211568e-06,0.0029599154005718,"SEMA7A","SEMA7A","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"NR2F2",3889.14868897225,0.716630738038455,0.158940760432022,20.1909509814445,7.00836805120735e-06,0.0030834695677418,"NR2F2","NR2F2","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"NPY",113.690927922739,2.01083486124772,0.445426243649789,19.6192696784108,9.45111807320732e-06,0.00399690781395947,"NPY","NPY","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
"SH3D19",1426.43714313343,0.649308788677513,0.147117247125721,19.5824374938285,9.63508323497359e-06,0.00399690781395947,"SH3D19","SH3D19","GCT","~ Batch + Status + mean_T + Status:mean_T",1904,395,"LRT_full_interaction","no"
