"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"GNRH1",40.9445428258065,7.8539770043726,2.42102611106881,15.156796292566,9.89415258416656e-05,0.0635526633970121,"GNRH1","GNRH1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"IPP",792.258489758287,0.844670490257389,0.214404169048397,14.8735335332771,0.000114964714752674,0.0670421155800019,"IPP","IPP",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CELSR1",873.182798273385,0.846895716253919,0.219912290564542,14.7055947887025,0.000125672923083559,0.0705723281404784,"CELSR1","CELSR1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"SLC32A1",3925.40863284897,1.04562914936181,0.279845881101646,14.0639685463185,0.000176696543862379,0.0956811785014781,"SLC32A1","SLC32A1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"ARRDC2",251.831044721886,-1.14642372054205,0.312600298915795,13.4161021069342,0.000249473547763405,0.122016707457702,"ARRDC2","ARRDC2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113991511",1220.79239703968,-0.777702335654627,0.214697670884447,13.4172257303756,0.000249324159306857,0.122016707457702,"SAT1","LOC113991511 (SAT1)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"GNRH2",44.2084451833287,4.21214293001838,1.18659597452669,13.2914747771302,0.000266615676870218,0.12632584039707,NA,"GNRH2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"ALAD",279.157648294643,-1.13925448236851,0.329646206175918,12.1977500898757,0.000478471876311636,0.207274016818201,"ALAD","ALAD",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"NEUROD6",138.392190596628,3.42875243566332,0.980272290757961,12.2209194891506,0.000472566353518104,0.207274016818201,"NEUROD6","NEUROD6",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"NFKBIA",408.230149765603,-1.01230161880752,0.28593243170277,12.2116175354125,0.000474928389001022,0.207274016818201,"NFKBIA","NFKBIA",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"AKAIN1",277.504737906866,1.23455245415764,0.361711949694334,11.7076013951621,0.000622453020881144,0.214491652331816,"AKAIN1","AKAIN1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"ARL4A",565.599440240243,-0.982229027596405,0.288357246532615,11.9520909632671,0.000545860867466896,0.214491652331816,"ARL4A","ARL4A",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CEBPB",119.572562464554,-2.54232470366157,0.714211348587301,12.0508909272823,0.000517676321523487,0.214491652331816,"CEBPB","CEBPB",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113988444",76.9610436221484,-2.9914821363757,0.891242120392009,11.7491839388802,0.000608699208742185,0.214491652331816,"LOC113988444","LOC113988444",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113992824",11.9127312181613,11.6539437680386,2.85992574917628,11.7099001410387,0.000621684558074869,0.214491652331816,"LOC113992824","LOC113992824",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC114000615",16.41951549293,-5.19052487166895,1.54059066882977,11.7218593772372,0.000617702057355557,0.214491652331816,"LOC114000615","LOC114000615",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"SEMA3C",131.131832204401,2.14053585410236,0.616721626609114,12.0089190131584,0.000529465581083482,0.214491652331816,"SEMA3C","SEMA3C",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"SLC6A6",2164.17304573257,-0.523609409575667,0.152360219472668,11.8753518976194,0.000568817214949984,0.214491652331816,"SLC6A6","SLC6A6",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"VWA1",1280.58358718643,0.979412724861558,0.283946719982078,11.5816818552037,0.000666046744173968,0.224413349670349,"VWA1","VWA1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"KIAA1217",416.095304266559,1.09114497519584,0.316168767644755,11.4736930644235,0.000705882697870513,0.232665075328537,"KIAA1217","KIAA1217",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"THBS4",79.0737234960419,1.9480054433473,0.589789236629361,11.2793486997583,0.000783740476886799,0.252831342777822,"THBS4","THBS4",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DLX6",146.286530750843,1.29535423664831,0.393774259429403,11.0406379393768,0.000891361840108094,0.259612505099618,"DLX6","DLX6",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LITAF",114.676387415517,-1.73125733892943,0.527564797295709,10.9727406836002,0.000924619131735877,0.259612505099618,"LITAF","LITAF",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113994007",90.974004433955,-2.94162675708167,0.836911371144902,10.9902380505701,0.000915930453838382,0.259612505099618,"LOC113994007","LOC113994007",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113997204",11.6819947126589,5.91830352285796,1.89649118955999,11.0783102652225,0.000873433556534925,0.259612505099618,NA,"LOC113997204",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"STEAP3",382.774670568768,1.55601413142308,0.457333944806039,11.0618741311355,0.000881210261401369,0.259612505099618,"STEAP3","STEAP3",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"TNFRSF8",93.7843960252501,-2.02192439123627,0.636587195863284,11.1442810064281,0.00084291137311048,0.259612505099618,"TNFRSF8","TNFRSF8",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"VAV2",1111.69694068751,0.672744327252939,0.19889192595357,11.0491763482862,0.000887266072889735,0.259612505099618,"VAV2","VAV2",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC114001738",51.7583136985686,-2.85048387460396,0.865234511866331,10.8679066273769,0.000978450649137619,0.269732158949538,"PIF1","LOC114001738 (PIF1)",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"CENPI",179.006577177635,2.12398773427893,0.624580953931351,10.7267867762429,0.00105595653782105,0.285518692197856,"CENPI","CENPI",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"GADD45B",631.252153691324,-1.3947083955149,0.416618993043894,10.6965095549373,0.0010733785420972,0.285518692197856,"GADD45B","GADD45B",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC114000398",12.5049354244746,-5.37274942508483,1.55359860170006,10.6512775690202,0.00109994899665139,0.287541839434971,NA,"LOC114000398",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"DUSP7",568.293649354491,-1.2025686245345,0.359758674331932,10.4539751973867,0.00122385792379672,0.302847718887319,"DUSP7","DUSP7",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"LOC113985705",5923.72066952068,-1.25415482685446,0.384185924287236,10.4321635274594,0.00123839589572707,0.302847718887319,"LOC113985705","LOC113985705",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
"NMRAL1",463.49830930075,-1.18047541745318,0.370531741841292,10.4630205609244,0.00121787975838274,0.302847718887319,"NMRAL1","NMRAL1",714,26,"LRT_full_interaction","VMH","~ Batch + Year + Status + mean_T + Status:mean_T","no"
