,PFT1_AI_run1,PFT10_AI_run1,PFT11_AI_run1,PFT12_AI_run1,PFT2_AI_run1,PFT4_AI_run1,PFT5_AI_run1,PFT6_AI_run1,PFT7_AI_run1,PFT8_AI_run1,PFT9_AI_run1
LOC113982429,3677.32844659439,2879.86293337793,3400.55533927715,3491.14463522966,2962.49641221492,3233.97892569399,3195.59472958985,3170.88790912967,3634.91458966458,2954.08221617164,2524.8955132483
PDYN,18.9597435727857,9.42843448541337,15.608424139889,22.2029186371359,33.872795813335,31.3302586988654,14.5822445287672,12.0299256748517,13.9661165074203,13.8339585051266,22.9327476226003
STK35,311.112155898892,312.185941850354,296.560058657891,382.736026030629,350.629210716413,355.076265253808,358.306579849709,336.837918895849,231.837534023176,307.539539075506,260.286685516514
HELZ2,197.353694462178,182.283066717992,198.747267381253,229.430159250405,222.461875206497,286.323753109075,201.026656718005,223.556118790995,117.31537866233,252.203705055,167.409057644982
GMEB2,219.760664139107,253.520127274449,219.558499567772,231.544722930132,249.926304244336,274.139763615072,222.900023511156,231.576069240896,243.010427229112,223.471637390506,255.700135991994
STMN3,34689.4362859895,31191.3564854109,36238.5986063849,32457.4952019731,31791.9075732347,30162.3362773688,36338.9533656879,31173.5473987658,32855.7546209231,33435.6135562367,29050.058050929
LOC113982411,44.8139393538571,28.2853034562401,42.6630259823632,42.2912735945446,24.7179861340552,37.422253445867,29.1644890575344,41.1022460557435,34.4497540516366,26.6037663560126,41.2789457206806
RTEL1,417.114358601285,325.804791662618,299.681743485868,382.736026030629,510.838380103808,372.481964530955,258.314045938162,299.745648065056,213.216045346616,382.030084872341,395.589896489856
ARFRP1,317.144801581142,350.94728362372,316.330729235083,304.497169880721,357.037577491909,324.6162915188,336.433213056558,295.735672840105,394.775559943079,320.309346926392,322.205104097535
ZGPAT,995.386537571248,977.414374987853,896.964107238953,1006.53231155016,1081.18302312293,1187.06869070145,1022.84029480353,913.271857482495,996.249644195978,1122.67894022373,1005.60098325102
SLC2A4RG,34.4722610414285,14.6664536439764,26.0140402331483,20.0883549574087,19.2251003264874,32.2005436627228,14.5822445287672,19.0473823185153,29.7943818824965,19.1547117763291,13.7596485735602
ZBTB46,686.859801250463,730.17987070368,726.312003309501,678.774941192441,554.781466564351,577.869216001295,712.44680411977,749.865367065759,726.238058385853,601.245119645885,577.905240089528
