"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","n_p005","n_q01","Test","design","fdrtool"
"BTBD1",891.021543627997,0.599277923792116,0.258665965330877,5.38918624667501,0.0202619177147922,1.08272797065791e-14,"BTBD1","BTBD1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CACNA1S",487.681573473376,-0.848885934124622,0.354046624226297,5.90979977399486,0.0150568831449016,1.08272797065791e-14,"CACNA1S","CACNA1S","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CAV1",210.323202090527,1.21260931987103,0.425645577442058,7.80059072119511,0.00522291568932401,1.08272797065791e-14,"CAV1","CAV1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CCDC27",18.204954931144,-7.01389821536956,2.08656273641511,8.64859865825764,0.00327313004109729,1.08272797065791e-14,"CCDC27","CCDC27","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CCDC73",69.4323103272885,-3.90876754042422,0.992166085637499,12.4982470321435,0.000407334044454767,1.08272797065791e-14,"CCDC73","CCDC73","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CCKBR",475.173050173993,-1.31031450918335,0.537797785692299,6.56096294427209,0.0104239943704528,1.08272797065791e-14,"CCKBR","CCKBR","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CCN1",280.647705851003,-2.03748528968562,0.758887730093223,6.56019478439389,0.0104284950595106,1.08272797065791e-14,"CCN1","CCN1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CD244",26.9188619852772,-3.09066401810825,1.23752566217516,6.29751607333958,0.012090727497434,1.08272797065791e-14,"CD244","CD244","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CDC20",170.238524778565,1.57587221130482,0.719919558952737,5.20237738973496,0.0225560182510368,1.08272797065791e-14,"CDC20","CDC20","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CDH13",5734.1378824195,0.681154375615086,0.279318957214828,6.15994270874864,0.0130675440746809,1.08272797065791e-14,"CDH13","CDH13","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CEBPB",94.4060387293393,-2.65241274738416,0.679521213877347,14.4012675511625,0.000147702855276034,1.08272797065791e-14,"CEBPB","CEBPB","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CENPI",197.910446345962,2.01009888905158,0.74148194342673,7.77051938366155,0.00531057772802383,1.08272797065791e-14,"CENPI","CENPI","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CHRNA10",94.3688269422099,-2.33544784848748,0.697358759146953,10.8866605846516,0.00096859301803068,1.08272797065791e-14,"CHRNA10","CHRNA10","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CHRNB3",29.4469967388347,2.87136899472982,1.14997676021699,5.40710048315412,0.020055000624482,1.08272797065791e-14,"CHRNB3","CHRNB3","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CLDN11",1056.53499997625,0.76796827150085,0.339496425728039,5.30897359006653,0.0212158521326948,1.08272797065791e-14,"CLDN11","CLDN11","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CNTNAP2",5221.0495974976,0.82436117899473,0.260811344848576,9.76885849293197,0.00177492619932697,1.08272797065791e-14,"CNTNAP2","CNTNAP2","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"COL27A1",707.734523808252,-1.44859123824295,0.518183216402321,8.40173392580465,0.00374863281657029,1.08272797065791e-14,"COL27A1","COL27A1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"COL4A5",144.313219078912,-1.60011421947632,0.623797705462474,6.12266638866041,0.0133459344877592,1.08272797065791e-14,"COL4A5","COL4A5","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"COL4A6",51.1398109688847,-2.98138356589223,1.08652613310092,5.95264958328349,0.0146951823089838,1.08272797065791e-14,"COL4A2","COL4A6","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"COL5A1",101.162256855817,-2.43086861365637,0.908032214060226,6.46124610610907,0.0110252301684709,1.08272797065791e-14,"COL5A1","COL5A1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"COL6A3",81.4941435574415,-1.78796595613734,0.684169444338323,7.33373111409831,0.00676724339130784,1.08272797065791e-14,"COL6A3","COL6A3","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CPAMD8",857.469527724308,-1.78008854727235,0.602891260262604,7.46552436772978,0.006289170983215,1.08272797065791e-14,"CPAMD8","CPAMD8","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CPSF4",949.08565109541,-1.21020888470444,0.392125717139893,10.4307035038882,0.00123937525252123,1.08272797065791e-14,"CPSF4","CPSF4","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CRYBB2",38.2991448018954,-2.5768480203057,1.0713335686868,5.64415307840045,0.0175136735160735,1.08272797065791e-14,"CRYBB2","CRYBB2","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CTH",294.272181612712,1.00755526996843,0.451642149976858,5.23217207604991,0.0221728264443556,1.08272797065791e-14,"CTH","CTH","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"CUNH4orf50",611.558860571373,0.961643139026935,0.372860933128569,6.57700949004145,0.010330430793355,1.08272797065791e-14,"CUNH4orf50","CUNH4orf50","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"DAAM2",2826.90718243695,0.881218584612668,0.355206337778679,6.24988219858835,0.0124201566231859,1.08272797065791e-14,"DAAM2","DAAM2","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"DNALI1",129.893713478746,-2.52643814723395,0.911217889224141,5.93907775928238,0.014808765510096,1.08272797065791e-14,"DNALI1","DNALI1","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"DNM1L",3414.70603196457,0.546198253467929,0.232827072152749,5.43987740679455,0.0196820508379455,1.08272797065791e-14,"DNM1L","DNM1L","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"DOC2B",3042.59237012525,-0.821055415296495,0.241251686951467,11.5420406450667,0.000680399170311068,1.08272797065791e-14,"DOC2B","DOC2B","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"DOCK11",330.780711512956,1.91099958553662,0.46209882879747,17.91529433758,2.30957621574681e-05,1.08272797065791e-14,"DOCK11","DOCK11","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
"DSP",48.024433854711,-2.91511233461571,1.0660001514897,6.53024059736403,0.0106055610592385,1.08272797065791e-14,"DSP","DSP","ICO",579,2280,"LRT_full_interaction","~ Batch + Year + Status + mean_T + Status:mean_T","yes"
