,PFT1_GCT_run2,PFT10_GCT_run1,PFT11_GCT_run1,PFT12_GCT_run1,PFT2_GCT_run1,PFT3_GCT_run2,PFT4_GCT_run1,PFT5_GCT_run1,PFT6_GCT_run1,PFT7_GCT_run2,PFT8_GCT_run1,PFT9_GCT_run2
SLC41A3,344.791556124126,372.063915114892,310.52451778085,350.1946582649,269.962153630172,238.751955371311,296.926744826784,304.017527531132,359.081067727217,181.469446082819,314.942492595473,258.234057305759
KLF15,434.559771919757,600.575611012228,588.158588195503,467.248673872781,566.143653116511,471.608800733453,397.970472917093,550.016442938002,519.025732113087,569.252369557415,534.077236634394,584.663728336629
LOC113981955,90.7883091569445,14.6481856344446,68.6829930294091,50.3042050546265,32.0458671575384,3.93007333944544,56.7263034892961,40.6130284869832,29.6586132636049,87.4941972185021,33.6346351315553,256.415507606422
ZXDC,324.389688897847,303.705715487484,327.937107562953,317.303447267644,323.371932226069,326.196087173972,277.427078002338,312.140133228528,261.631338432515,364.019067439941,325.134806271702,360.072840468593
LOC113998275,132.612136970818,72.2643824632599,15.4778575840922,95.7714673155389,57.2941261301444,53.0559900825135,73.5669248376808,66.1412178216584,55.0802817752663,22.6836807603524,46.8846429106529,20.9133215423678
LOC113991891,119.350923273736,87.8891138066675,146.07228094987,66.7498105532544,81.5712982191886,106.111980165027,96.6119856302073,138.084296855743,116.515980678448,173.908219162702,129.442383688107,152.758174744252
LOC113990825,492.705093514654,599.599065303265,472.074656314812,515.618101809921,388.434753424708,527.612345820551,504.332291959523,524.488253603326,466.063922713792,465.555543224376,418.904092093007,352.798641671248
LOC113989756,612.05601678839,816.392212693045,654.906849026901,715.867533469685,522.444743356232,605.231294274598,649.693444650844,581.346493485103,685.325813626871,841.456538681644,507.577221076199,527.379412807535
SH3BP5L,3729.46132896392,3311.46649909344,3102.34307951148,3240.75167178844,3117.18889623328,3266.87346341403,3039.28897913744,3397.56992599677,3314.35003220785,3134.66864602584,3835.36763636493,3318.8532012888
GABBR1,12466.5609686182,13684.3350196981,14502.7525562944,12227.7913825092,10929.5828744877,11316.6461809332,13056.7996359503,14647.3788168911,12880.3120459084,12479.2649440167,13232.680845848,9789.25303152745
RPS5,1883.09234498561,1604.46459982616,1572.93727698337,1844.80998152255,1546.9414055139,1567.11674410387,1511.22417889453,1601.31369462962,1459.62746704456,1436.63311482232,2050.69351165725,1986.76554652494
LOC113994545,130.57195024819,172.848590486446,156.713308038933,168.32560922125,99.0508621233004,162.115525252125,117.884349438693,125.320202188405,114.397508302476,132.861558739207,192.634728480726,132.754128051552
LOC113995158,150.97381747447,142.575673508594,167.354335127997,129.630066871537,113.617165376727,161.133006917263,187.019531816273,167.093602917874,135.582232062194,117.739104898972,130.46161505573,178.21787053496
