,PFT1_ICO_run2,PFT10_ICO_run1,PFT11_ICO_run2,PFT12_ICO_run1,PFT2_ICO_run1,PFT3_ICO_run2,PFT4_ICO_run1,PFT5_ICO_run2,PFT6_ICO_run1,PFT7_ICO_run1,PFT8_ICO_run2
SLC41A3,340.214274434874,387.056177679934,305.050847279865,310.264347970965,374.414052220018,332.805699651628,300.329188510856,295.41434911409,319.138372564289,263.211049895946,331.804593953034
KLF15,329.549250157919,483.348202371039,471.861129327162,443.772037097865,442.399761702074,433.836001331586,312.923638351634,448.460337209342,410.922231692277,517.345856692033,387.105359611873
LOC113981955,2.13300485539106,33.0413810214578,1.84320753643423,119.404764219129,3.9412005496844,62.9953645769152,4.84401916952994,37.9648962716903,3.36821501387112,115.974217387103,2.96254101743781
ZXDC,263.426099640796,318.14129726375,319.796507571339,290.520253100085,285.737039852119,354.200351772089,331.330911195848,341.684066445213,264.404878588883,329.770165961588,316.004375193366
LOC113998275,102.384233058771,54.7542885498443,15.6672640596909,83.6773544527753,39.412005496844,58.2409974390348,72.6602875429491,52.2017323735742,38.7344726595179,27.2287292995807,34.5629785367744
LOC113991891,107.716745197249,63.2506436696477,112.435659722488,80.8567694712211,118.236016490532,103.407485248899,64.9098568717012,84.2346136028129,95.994127895327,120.008103209263,104.676449282802
LOC113990825,401.00491281352,693.869001450613,416.564903234136,449.413207060973,358.649250021281,433.836001331586,568.687850502815,412.868246954632,448.814650598327,467.930755370572,355.504922092537
LOC113989756,644.167466328101,1041.2755219048,741.891033414777,710.787415351664,687.739495919929,650.159706105144,713.039621754807,702.350581026271,666.906572746482,920.734438908043,641.883887111524
SH3BP5L,3146.18216170182,3185.18913046853,2880.01177567848,3122.38757458053,2990.38591707304,3017.83454076958,2888.00422887375,3043.12371677768,2935.39938458868,3026.42283807561,3322.98350789274
GABBR1,15246.7187063353,14124.7183669443,14030.4957673373,11416.7878103376,13052.2709204173,14364.1317153211,14804.2913859174,13241.4439777605,12683.8556884852,12765.2316842256,13773.8407037408
RPS5,1518.69945703844,1441.54825199331,1081.04122011867,1487.38848027293,1783.39324873219,1446.51620170011,1470.64421986929,1295.55208527143,1263.92268395514,1623.63904341944,1270.93009648082
LOC113994545,201.568958834455,229.401588234692,179.712734802337,158.892953960888,192.133526797115,197.306236222036,191.823159113386,162.537212163174,179.357449488637,191.609576552605,257.741068517089
LOC113995158,164.241373865112,161.430747276265,188.928772484508,145.730224046968,266.031037103697,131.933688076181,266.421054324147,189.824481358452,170.094858200492,109.923388653863,159.977214941641
BRD2,1983.69451551369,1689.83062938313,1416.5049917497,1546.62076488557,1651.36303031777,1761.49302458469,1717.68919751532,1625.37212163174,1423.07084336055,1434.04640977792,1612.60982715865
LOC113999578,78.9211796494693,31.1533021059459,17.5104715961252,42.3087747233134,66.0151092072138,42.7893042409235,29.0641150171796,18.9824481358452,39.5765264129857,27.2287292995807,42.4630879166085
LOC114000840,546.049242980112,569.255793026829,522.549336579104,439.071062128608,322.1931449367,569.335464761177,627.78488437108,436.596307124438,529.651810931234,546.591528902694,476.969103807487
LOC114001480,11.7315267046508,8.49635511980343,0,23.5048748462852,18.7207026110009,8.32014249129069,0,2.37280601698064,13.4728600554845,0,0
LOC114002103,145.044330166592,109.508577099689,143.77018784187,145.730224046968,219.721930644906,148.573973058762,193.760766781198,122.199509874503,134.728600554845,88.7454880875222,137.264400474618
LOC114003348,954.519672787501,961.976207453299,808.246504726409,718.308975302476,796.12251103625,801.110862732846,923.270053712406,804.381239756438,810.055710836005,746.268877099618,861.111922401922
LOC114002770,412.736439518171,445.586624060802,347.444620617852,291.460448093936,322.1931449367,344.691617496329,413.679237077857,304.905573182013,357.872845223807,245.058563696226,362.417517799892
LOC113982360,619.637910491104,688.204764704077,799.030467044238,620.528695941929,644.3862898734,612.124769002101,537.686127817823,691.672953949858,700.588722885193,647.438674456696,671.509297285903
TNFRSF21,7998.76820771648,7622.17458192143,7214.31429760357,6604.86983180614,7530.64895030948,7567.76389172112,8315.24330641509,6421.99948495811,7190.29700086138,6184.95543682697,7403.39000257708
ADGRF5,101.317730631075,128.389366254807,117.965282331791,98.7204743543978,61.0886085201083,137.876646998531,162.759044096206,166.096421188645,143.149138089523,110.931860109403,143.189482509494
ANKRD66,15.997536415433,65.1387225851596,8.29443391395403,241.630113419812,37.4414052220018,142.631014136412,25.1888996815557,74.7433895348903,25.2616126040334,353.973480894549,28.6378965018988
PLA2G7,1327.79552248094,1627.52402517123,1637.68989612181,2344.84631466541,1280.89017864743,1879.16361124723,1545.24211508005,1795.02775184586,1622.63758293241,2079.46814132353,1767.64947373789
IMP3,639.901456617319,492.788596948599,440.526601207781,603.605186052604,717.298500042562,538.432078364955,603.56478852343,546.931786914038,478.286531969699,449.778269170851,436.481043235837
SLC25A27,177.039402997458,181.25557588914,164.967074510863,251.972258352177,204.942428583589,199.683419790977,164.696651764018,215.925347545239,204.619062092671,303.549908117547,114.551586007595
LOC113986146,55.4581262401676,77.4112355359868,58.9826411658953,128.806714157643,50.2503070084762,269.810335074712,172.447082435266,91.3530316537548,99.3623429091981,219.846777307725,240.953336084941
RCAN2,3423.47279290266,4014.999813836,4470.69987962122,4896.53552797813,3091.87183122741,5074.09832790285,4914.74184940508,4714.76555574054,4457.83257085843,4833.60368640334,4791.41633886941
ENPP5,1947.43343297204,1985.31497966073,2179.59291183347,2098.51522627634,2033.65948363715,2108.56182564995,2118.7739847524,2165.18549049484,2342.59354214737,2000.80736779141,2196.23040759389
ENPP4,348.746293856439,378.55982256013,385.230375114754,448.473012067122,392.149454693598,382.726554599372,316.798853687258,409.309037929161,476.602424462764,493.142541759072,395.005468991707
CLIC5,62.9236432340363,29.265223190434,59.9042449341124,55.4715046372331,21.6766030232642,41.6007124564534,31.9705265188976,28.4736722037677,50.5232252080668,46.3896869548411,40.48806057165
RUNX2,24.5295558369972,16.0486707818509,9.21603768217114,12.2225349200683,12.8089017864743,22.5832439049319,27.1265073493677,20.1688511443355,21.8933975901623,9.07624309986022,10.862650397272
SUPT3H,375.408854548827,464.467413215921,495.822827300807,412.745602300768,338.943247272859,401.744023150893,348.769380206156,457.951561277264,422.710984240826,373.134438549809,419.693310803689
LOC113989421,28.7955655477793,31.1533021059459,21.1968866689936,42.3087747233134,55.1768076955817,39.2235288875132,30.0329188510856,28.4736722037677,26.1036663575012,31.2626151217408,34.5629785367744
TINAG,109.84975005264,89.6837484868139,94.0035843581456,80.8567694712211,61.0886085201083,54.6752220856245,65.8786607056072,86.6074196197935,65.6801927704869,44.3727440437611,76.0385527809037
LRRC1,281.55664091162,233.177746065716,291.226790756608,248.211478376772,214.7954299578,200.872011575447,236.388135473061,340.497663436722,293.034706206788,279.346593184587,260.703609534527
LOC113990102,4.26600971078213,13.2165524085831,0.921603768217114,7.52155995081126,4.92650068710551,4.75436713788039,5.81282300343593,7.11841805094193,4.2102687673389,12.1016574664803,6.91259570735488
KLHL31,43.7265995355168,56.6423674653562,20.2752829007765,75.2155995081126,13.7942019238954,86.7672002663172,16.4696651764018,72.3705835179096,36.2083113991146,16.1355432886404,64.1883887111524
GCLC,1378.98763901032,1352.80854296426,1677.31885815515,1386.78761593083,1328.18458524364,1527.34044304408,1341.79330995979,1600.45765845344,1390.23074697531,1376.56353681213,1529.65867867039
ELOVL5,1397.11818028115,1265.01287339295,2027.52829007765,1683.88923398787,1401.09679541281,1470.28803738951,1304.97876427137,2295.68982142877,1465.17353103394,1922.14659425929,1692.59843462947
FBXO9,3276.29545788067,2824.56605760576,3475.36780994674,2844.08985640051,3468.25648372228,3198.50049200904,3118.57954134337,3329.04684182384,3183.80524186168,2903.38932049973,2941.80323031574
ICK,443.665009921341,511.669386103717,598.120845572907,532.150366519897,428.605559778179,549.129404425185,500.871582129396,537.440562846116,495.127607039055,651.472560278856,450.306234650546
LOC113990605,2050.88416845851,1587.87436794548,1710.49659381096,2096.63483628864,1366.61129060307,1179.08305019434,1032.74488694378,1959.93777002601,1728.73635586935,2016.94291108005,2418.42098390173
LOC113990970,57.5911310955587,71.7469987894511,96.768395662797,141.969444071563,138.927319376375,99.8417098954883,38.7521533562395,42.7105083056516,76.626891565568,123.033517575883,114.551586007595
LOC113990865,114.115759763422,45.3138939722849,15.6672640596909,151.371394010077,70.9416098943193,23.771835689402,84.2859335498209,86.6074196197935,64.8381390170191,33.2795580328208,70.1134707460281
LOC113990807,24.5295558369972,14.160591866339,35.9425469604674,116.584179237575,43.3532060465284,26.1490192583422,46.5025840274874,42.7105083056516,30.3139351248401,55.4659300547014,37.5255195542122
LOC113990707,1365.12310745028,648.555107478328,1160.29914418535,88.3783294220324,2234.66071167106,713.155070682059,1122.84364349704,43.8969113141419,876.577957359959,678.701289578437,1526.69613765295
CUNH3orf18,640.967959045014,499.39687315289,406.427261783747,438.130867134756,489.694168298287,538.432078364955,687.850722073251,443.71472517538,566.702176083816,497.176427581232,426.605906511044
HEMK1,191.970436985196,180.311536431384,94.0035843581456,248.211478376772,92.6182129175835,97.4645263265481,220.887274130565,118.640300849032,169.252804447024,179.507919086124,141.214455164535
MAPKAPK3,367.943337554958,424.817755990171,408.270469320182,500.183736728949,425.649659365916,389.858105306192,414.648040911763,398.631410852748,474.07626320236,441.710497526531,357.479949437495
CISH,388.206883681173,596.632937301752,431.310563525609,487.021006815029,375.39935235744,455.230653452048,349.738184040062,463.883576319716,416.816607966551,474.990055559352,600.408312867395
DOCK3,6568.58845217678,6899.98439673814,7320.29873094854,7383.35128671511,4562.92493639712,7277.74749631041,6935.66664693297,6959.44004780423,8100.55710836005,7269.0622515325,7038.00994375975
MANF,478.859590035294,764.671960782308,681.065184712447,798.225549779845,713.357299492877,536.054894796014,628.753688204986,507.780487633858,746.059625572453,767.446777665959,558.932738623266
RBM15B,285.822650622402,320.973415637018,250.676224955055,263.254598278394,248.295634630117,292.393578979644,257.701819818993,259.82225885938,239.14326598485,249.092449518386,241.940849757421
DCAF1,730.554162971439,762.783881866796,685.673203553533,691.043320480785,673.945293996033,707.212111759709,759.542205782294,724.892238187587,771.321238176487,756.353591655019,665.584215251027
RAD54L2,1640.28073379573,1729.48028660887,1528.94065147219,1649.10201921537,1310.44918277006,1722.26949569717,1720.59560901703,1421.31080417141,1594.84980906798,1529.85119805422,1539.53381539518
LOC113991453,21.3300485539106,22.6569469861425,12.9024527550396,12.2225349200683,17.7354024735798,7.13155070682059,21.3136843459317,13.0504330933935,10.9466987950811,12.1016574664803,11.8501640697512
RBM6,619.637910491104,568.311753569074,466.33150671786,548.133681415371,605.959584513977,646.593930751734,522.185266475327,511.339696659329,457.235188133005,502.218784858932,642.871400784004
MON1A,924.657604812026,888.341129748336,743.734240951211,835.833349533902,1012.88854126889,906.895531550685,975.58546074333,666.758490771561,886.682602401573,835.014365187141,788.035910638456
CAMKV,3510.92599197369,3264.48844492003,3315.00875427696,3336.75203317865,4141.21647758089,3626.39353441827,2976.16537775919,2954.1434911409,2823.40623537747,2847.92339044503,3193.61921679795
TRAIP,83.1871893602514,72.6910382472071,79.2579240666718,90.2587194097352,111.338915528584,64.1839563613853,84.2859335498209,74.7433895348903,65.6801927704869,51.4320442325413,84.9261758332171
