"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","n_p005","n_q01","Test","Tissue","design","fdrtool"
"BTBD17",481.820667098497,-0.77038150730545,0.394011356129384,3.91602383183672,0.0478278745481825,1.1523109218653e-14,"BTBD17","BTBD17",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"C8B",32.6853643720687,1.57104432739794,0.644860072419143,5.86890327548274,0.0154106497295699,1.1523109218653e-14,"C8B","C8B",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CAPN10",642.255749696745,0.462742055875196,0.241510178422761,3.67724212822255,0.0551600174549826,1.1523109218653e-14,"CAPN10","CAPN10",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CARTPT",1450.45943845578,-1.0773893926542,0.539959331352266,4.01968517080186,0.044972107806563,1.1523109218653e-14,"CARTPT","CARTPT",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CASP9",187.361087650436,-0.880852226076171,0.3220968128122,7.23222620318748,0.00716063575524676,1.1523109218653e-14,"CASP9","CASP9",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CAVIN2",550.550334641903,0.741294015385169,0.354902631485693,4.13458147531739,0.0420154558056413,1.1523109218653e-14,"CAVIN2","CAVIN2",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CCDC146",29.0060213991872,-1.47754363768917,0.578328457486016,6.44143116337759,0.0111488790060168,1.1523109218653e-14,"CCDC146","CCDC146",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CCDC83",303.971028195987,-0.579994841935949,0.257444611805246,4.80441837549921,0.0283868472752429,1.1523109218653e-14,"CCDC83","CCDC83",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CCDC90B",527.653289889864,-0.417015784431874,0.213390145471583,3.78813069690298,0.0516172638819776,1.1523109218653e-14,"CCDC90B","CCDC90B",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
"CCND3",52.5093758841294,-1.72373082848913,0.666941642243245,5.56415107050196,0.0183318969039854,1.1523109218653e-14,"CCND3","CCND3",211,2560,"LRT_full_interaction","AH","~ Status + mean_T + Status:mean_T","yes"
