"colorID","status","sac_date","studyyear","last_behav","diff","final_corrected_T","mean_T","effort.all_study","strength.all_study","degree.all_study","ndays.all_study","effort.sac_year","strength.sac_year","degree.sac_year","ndays.sac_year","effort.last_day","strength.last_day","degree.last_day","ndays.last_day","ADJ_effort.all_study","ADJ_strength.all_study","ADJ_degree.all_study","ADJ_effort.sac_year","ADJ_strength.sac_year","ADJ_degree.sac_year","ADJ_effort.last_day","ADJ_strength.last_day","ADJ_degree.last_day"
"YMBX","terr",2018-01-06,"17-18",2017-12-28,9,1.02104012890766,0.325258885186894,1150.85714285714,1.42857142857143,0.714285714285714,7,1150.85714285714,1.42857142857143,0.714285714285714,7,1266,2,1,1,1.67160442802549,-0.863019402264028,-0.507236967246941,1.67160442802549,-0.863019402264028,-0.507236967246941,1.88508829062303,-0.41568836426108,-0.240791257725297
"PPPX","floa",2018-01-09,"17-18",2017-12-24,16,-0.376892240375122,-0.611515453521025,98.7,6.03333333333333,2.93333333333333,30,295,11.3333333333333,4.33333333333333,6,425,6,3,1,-1.75406450012009,-0.680949520982209,-0.161888921540179,0.265339440446586,0.780225729973358,0.635092904088641,0.709486032182239,0.345379603200627,0.401775753236238
"OMGX","terr",2018-01-09,"17-18",2018-01-02,7,0.27536000650136,0.258093891432987,906.788461538462,6.30769230769231,2,52,1253.16666666667,7.5,2.83333333333333,6,1349,1,1,1,1.3023967902553,-0.270447835862289,-0.182548550729951,1.7480696399212,0.310877012760674,0.288519313808669,1.86451571946558,-0.90738336529474,-0.291371427323707
"YXPW","floa",2018-01-13,"17-18",2018-01-12,1,0.238548087978323,-0.147280827004919,157.64,8.84,3.28,50,20.2727272727273,1.27272727272727,0.909090909090909,11,87,1,1,1,-1.33041606436022,-0.487317420376179,-0.136846486945498,-2.71996496769497,-0.819471339522412,-0.368775339582263,-0.725362133697642,-0.752169558028847,-0.20032712204657
"YOGX","terr",2018-01-17,"17-18",2018-01-15,2,1.42185292339437,1.17933307992844,631.435897435897,14.1025641025641,2.30769230769231,39,503.777777777778,10.3888888888889,1.33333333333333,18,939,24,4,1,0.637847007317559,0.16864733763648,-0.188290700858588,0.227585357520602,0.105233585424061,-0.276308583334182,1.63112554027975,1.75056444816594,0.702475564601343
"OXYP","terr",2017-01-07,"16-17",2016-12-19,19,1.39559659004823,-0.114928605326275,486.571428571429,14.2857142857143,3,7,486.571428571429,14.2857142857143,3,7,562,17,3,1,0.624687640331021,0.166255065306213,-0.124047996424044,0.624687640331021,0.166255065306213,-0.124047996424044,0.717285058824727,0.331935258162949,-0.135423682122628
"BROX","terr",2017-01-08,"16-17",2016-12-19,20,0.770150879794537,0.178708969842524,953,36,5.71428571428571,7,953,36,5.71428571428571,7,930,29,5,1,1.30247165857287,1.10212552933238,0.4128504186454,1.30247165857287,1.10212552933238,0.4128504186454,1.22096779507834,0.84276088192894,0.270041425985536
"MXGP","floa",2017-01-08,"16-17",2016-12-19,20,0.702031770078126,0.745203217208622,1615.14285714286,51.8571428571429,6.28571428571429,7,1615.14285714286,51.8571428571429,6.28571428571429,7,1844,45,5,1,1.82747160595487,1.46482684345055,0.495045296488766,1.82747160595487,1.46482684345055,0.495045296488766,1.90547561304758,1.27020489675588,0.270041425985536
"OOWX","terr",2017-01-12,"16-17",2017-01-01,11,1.00238110887844,1.49671489568953,805.666666666667,30.5,3.5,6,805.666666666667,30.5,3.5,6,718,27,4,1,1.15237294808052,0.961837870626654,0.0125401884964762,1.15237294808052,0.961837870626654,0.0125401884964762,1.09116597579292,0.905987179594416,0.165276129242477
"MGYX","floa",2017-01-12,"16-17",2017-01-01,11,-0.529893711836889,0.503881417009707,492.333333333333,29.1666666666667,4.33333333333333,6,492.333333333333,29.1666666666667,4.33333333333333,6,443,27,5,1,0.644377189625785,0.917969667971145,0.195642236607828,0.644377189625785,0.917969667971145,0.195642236607828,0.608266176789836,0.905987179594416,0.347597686036431
"OBWX","floa",2017-01-14,"16-17",2016-12-31,14,1.24397873970555,-0.413899430972554,120.038461538462,11.1923076923077,3.73076923076923,26,230.5,19.75,5.41666666666667,12,143,16,6,1,-1.1328382975799,0.172653998235158,0.254058762232997,-0.523600837203328,0.338858573921765,0.311312715775895,-0.455199903266525,0.475979927815825,0.542212501542418
"WOPX","terr",2017-01-16,"16-17",2017-01-07,9,1.29231903802861,0.649398271492339,631.090909090909,22.0454545454545,4.45454545454545,22,715.4,71.8,10.6,5,855,81,10,1,0.720193365680248,0.647112664425958,0.37523200318853,0.853546214459199,1.78285604667939,0.994451248470948,1.31624217047811,2.03223985243876,0.984081591365793
"GXMW","terr",2015-12-20,"15-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GWOX","terr",2015-12-22,"15-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
