"","ID","logT","studyyear","T.doy.adj","time.of.day","T.tElap","Tresid","Status","ID_year","ID_year_Tday","meanT","correctedT","relativeT"
"299","PWBX",-1.42711635564015,"16-17",-17,603,16.0261780104712,-0.752221546645994,"floa","PWBX_16-17","PWBX_16-17_-17",-1.21369567570598,-0.752221546645994,0.461474129059985
"300","PWBX",-1.77195684193188,"17-18",-29,406,25,-1.321629442603,"terr","PWBX_17-18","PWBX_17-18_-29",-1.21369567570598,-1.321629442603,-0.107933766897019
"301","PWGX",-0.579818495252942,"17-18",-14,422,39,0.123313111709328,"floa","PWGX_17-18","PWGX_17-18_-14",0.123313111709328,0.123313111709328,0
"302","PWRX",-2.40794560865187,"17-18",24,558,23,-2.02730388354127,"floa","PWRX_17-18","PWRX_17-18_24",-2.02730388354127,-2.02730388354127,0
"303","PXG",-0.653926467406664,"15-16",3,663,11,-0.894051137787486,"terr","PXG_15-16","PXG_15-16_3",-0.633119692746278,-0.894051137787486,-0.260931445041208
"304","PXG",-0.328504066972036,"15-16",58,446,29,-0.372188247705069,"terr","PXG_15-16","PXG_15-16_58",-0.633119692746278,-0.372188247705069,0.260931445041208
"305","PXLO",0.662687973075237,"15-16",30,546,17.398773006135,0.468643928970232,"floa","PXLO_15-16","PXLO_15-16_30",0.0539802040301379,0.468643928970232,0.414663724940095
"306","PXLO",-0.994252273343867,"15-16",-16,460,23,-1.0386846769531,"floa","PXLO_15-16","PXLO_15-16_-16",0.0539802040301379,-1.0386846769531,-1.09266488098324
"307","PXLO",0.500775287912489,"17-18",-17,441,14,0.73198136007328,"terr","PXLO_17-18","PXLO_17-18_-17",0.0539802040301379,0.73198136007328,0.678001156043142
"308","PXOP",-1.02165124753198,"15-16",-19,437,29,-0.953099616498911,"floa","PXOP_15-16","PXOP_15-16_-19",-0.673614357009284,-0.953099616498911,-0.279485259489627
"309","PXOP",-2.12026353620009,"17-18",-31,449,18.9785714285714,-1.76952866920595,"terr","PXOP_17-18","PXOP_17-18_-31",-0.673614357009284,-1.76952866920595,-1.09591431219666
"310","PXOP",0.746687947487975,"17-18",31,405,4,0.701785214677006,"terr","PXOP_17-18","PXOP_17-18_31",-0.673614357009284,0.701785214677006,1.37539957168629
"311","PXP",0.350656871613169,"16-17",-17,593,19,1.07977151780753,"terr","PXP_16-17","PXP_16-17_-17",0.943165756734441,1.07977151780753,0.136605761073091
"312","PXP",0.482426149244293,"17-18",40,516,22,0.80655999566135,"terr","PXP_17-18","PXP_17-18_40",0.943165756734441,0.80655999566135,-0.136605761073091
"313","PXPM",-1.89711998488588,"16-17",-17,400,2,-1.55715741942218,"floa","PXPM_16-17","PXPM_16-17_-17",-1.8207156537663,-1.55715741942218,0.263558234344121
"314","PXPM",-2.12026353620009,"16-17",0,505,16,-1.50230883297475,"floa","PXPM_16-17","PXPM_16-17_0",-1.8207156537663,-1.50230883297475,0.318406820791545
"315","PXPM",-1.89711998488588,"17-18",40,449,8,-1.86435599843416,"floa","PXPM_17-18","PXPM_17-18_40",-1.8207156537663,-1.86435599843416,-0.0436403446678595
"316","PXPM",-2.40794560865187,"17-18",-29,479,3,-2.3590403642341,"floa","PXPM_17-18","PXPM_17-18_-29",-1.8207156537663,-2.3590403642341,-0.538324710467806
"317","PXRM",0.53062825106217,"15-16",64,648,30,0.561226027931485,"terr","PXRM_15-16","PXRM_15-16_64",1.46413621569341,0.561226027931485,-0.902910187761923
"318","PXRM",1.88251383249652,"15-16",-19,902,7,1.67374943289287,"terr","PXRM_15-16","PXRM_15-16_-19",1.46413621569341,1.67374943289287,0.209613217199462
"319","PXRM",1.32175583998232,"17-18",44,419,23,1.62849829015506,"terr","PXRM_17-18","PXRM_17-18_44",1.46413621569341,1.62849829015506,0.164362074461654
