studyyear,date,doy,doy.adj,mean.temp,ID1,Status,ID_date,ID_year,Tmanip,timesincemanip,pings,num.terr.ping,num.int,num.part,pings_terr,num.int_terr,num.part_terr,weight,mean.stab,pingsL,num.intL,num.partL,pings_terrL,num.int_terrL,num.part_terrL
16-17,2/17/17,48,48,25.5,BWOX,terr,BWOX_2017-02-17,BWOX_16-17,none,NA,1514,4,35,4,1452,15,2,8.75,0.463945578,7.322510434,3.583518938,1.609437912,7.281385664,2.772588722,1.098612289
17-18,12/26/17,360,-5,27.9,BWOX,terr,BWOX_2017-12-26,BWOX_17-18,pre,-12,799,3,14,6,757,2,2,2.333333333,0.35455708,6.683360946,2.708050201,1.945910149,6.630683386,1.098612289,1.098612289
17-18,12/28/17,362,-3,24.8,BWOX,terr,BWOX_2017-12-28,BWOX_17-18,pre,-10,822,2,9,3,773,4,2,3,0.824074074,6.711740395,2.302585093,1.386294361,6.651571874,1.609437912,1.098612289
17-18,12/23/17,357,-8,27.6,BWOX,terr,BWOX_2017-12-23,BWOX_17-18,pre,-15,965,3,10,3,932,4,2,3.333333333,0.372916667,6.872128101,2.397895273,1.386294361,6.838405201,1.609437912,1.098612289
17-18,12/22/17,356,-9,27.1,BWOX,terr,BWOX_2017-12-22,BWOX_17-18,pre,-16,985,3,6,3,970,1,1,2,0.318518519,6.892641641,1.945910149,1.386294361,6.878326468,0.693147181,0.693147181
17-18,1/1/18,1,1,21.7,BWOX,terr,BWOX_2018-01-01,BWOX_17-18,pre,-6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17-18,12/24/17,358,-7,26.3,BWOX,terr,BWOX_2017-12-24,BWOX_17-18,pre,-14,980,3,5,3,971,0,0,1.666666667,0.413571429,6.887552572,1.791759469,1.386294361,6.879355804,0,0
17-18,12/25/17,359,-6,27.9,BWOX,terr,BWOX_2017-12-25,BWOX_17-18,pre,-13,974,3,16,4,923,3,1,4,0.342066103,6.881411304,2.833213344,1.609437912,6.828712072,1.386294361,0.693147181
17-18,12/27/17,361,-4,26.2,BWOX,terr,BWOX_2017-12-27,BWOX_17-18,pre,-11,724,3,11,4,683,2,1,2.75,0.466666667,6.584791392,2.48490665,1.609437912,6.527957918,1.098612289,0.693147181
17-18,3/1/18,60,60,24,BWOX,terr,BWOX_2018-03-01,BWOX_17-18,Tplus,53,505,2,3,3,503,1,1,1,0.270833333,6.224558429,1.386294361,1.386294361,6.222576268,0.693147181,0.693147181
17-18,2/27/18,58,58,24.8,BWOX,terr,BWOX_2018-02-27,BWOX_17-18,Tplus,51,447,4,10,5,411,1,1,2,0.225535714,6.102558595,2.397895273,1.791759469,6.021023349,0.693147181,0.693147181
17-18,3/4/18,63,63,26.2,BWOX,terr,BWOX_2018-03-04,BWOX_17-18,Tplus,56,491,4,0,0,486,0,0,0,0,6.196444128,0,0,6.188264123,0,0
17-18,3/3/18,62,62,24.6,BWOX,terr,BWOX_2018-03-03,BWOX_17-18,Tplus,55,726,3,4,2,714,1,1,2,0.461904762,6.587550015,1.609437912,1.098612289,6.572282543,0.693147181,0.693147181
17-18,2/14/18,45,45,25.8,BWOX,terr,BWOX_2018-02-14,BWOX_17-18,Tplus,38,3,1,1,1,0,0,0,1,0.090909091,1.098612289,0.693147181,0.693147181,0,0,0
17-18,2/28/18,59,59,22.8,BWOX,terr,BWOX_2018-02-28,BWOX_17-18,Tplus,52,19,3,3,2,13,0,0,1.5,0.240740741,2.944438979,1.386294361,1.098612289,2.63905733,0,0
