"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","n_p005","n_q01","Tissue","Test","design","gene","fdrtool","n"
1361.74881276698,-0.291601046016405,0.13982724329229,4.47428048202516,0.106763385779819,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","VIPR2","no",11
134.346724991534,0.691529982874384,0.444296354893003,4.17420043311859,0.124046322255477,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","AVPR1A","no",11
125.046464083176,-0.156715820390691,0.363531989180418,1.65889597011122,0.436290058492881,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","SRD5A2","no",11
240.279873901275,-0.227555046065259,0.281889744329151,3.18763354460992,0.203148757587854,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","AR","no",11
261.802258932353,0.12594257337889,0.575880055424782,0.310231966497071,0.856315853429308,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","CYP19A1","no",11
251.547584519035,0.249637158869862,0.18844855189719,6.99014886150732,0.0303464896404664,0.815120437633811,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","VIP","no",11
103.219311990877,0.111857507250492,0.3574171268173,0.430070381578545,0.806513057846867,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","ESR1","no",11
71.329193455087,-0.0251194109857651,0.196318637273339,7.55437859344349,0.0228869294734563,0.757443448727872,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","VIPR1","no",11
28.9894458540833,-0.329935305761685,0.291386326887682,6.32644931424143,0.0422891529557274,0.878449219626306,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","PGR","no",11
213.598462732152,-0.231865988334188,0.191932154438997,1.87458932259383,0.391686046724692,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","PRLR","no",11
21.6433605176619,-0.634532484390964,0.446734430827649,2.48819521683384,0.288200860854626,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","OXTR","no",11
8.31337713322927,-0.873871598663228,0.535754799034172,2.78773916770341,0.248113349238867,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","AVPR2","no",11
136.394501321646,0.648957320086655,0.399842529095955,4.59173259671905,0.100674141637041,0.999550015006145,803,33,"AI","LRT_minimal_interaction","~ Status:mean_T","AVP","no",11
71.329193455087,0.997012003263881,0.480263755269495,4.32376596880997,0.0375836566659941,0.827734912996445,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","VIPR1","no",11
136.394501321646,2.06324415267417,0.955278528839372,4.16468674025325,0.0412750448945687,0.833513794884008,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","AVP","no",11
134.346724991534,2.24687338120268,1.0132279753196,3.27134635376964,0.0704997430268212,0.903038739926743,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","AVPR1A","no",11
1361.74881276698,-0.495606803128291,0.335273629524713,2.07369956281204,0.149857618768433,0.940581899594587,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","VIPR2","no",11
125.046464083176,-1.1296507933634,0.822194099014158,1.56187401127613,0.211391039829269,0.950727877144271,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","SRD5A2","no",11
251.547584519035,-0.541222006812915,0.457084298156969,1.36565627206025,0.242559600535847,0.964271373681369,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","VIP","no",11
103.219311990877,0.770518097713092,0.700531917474581,1.22578680710627,0.268227971199566,0.973065401596672,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","ESR1","no",11
28.9894458540833,0.746734889778124,0.674474921437706,1.14483884994453,0.284632171162061,0.97662910982165,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","PGR","no",11
8.31337713322927,-0.880371792754439,1.19713079220953,0.510592245294347,0.474882589970396,0.992181634526878,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","AVPR2","no",11
261.802258932353,0.738017076419867,1.37570880489525,0.322619970377474,0.570037376572613,0.996843065175943,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","CYP19A1","no",11
213.598462732152,-0.0898252666377957,0.436666065955266,0.0419390366971584,0.837736023639195,0.999173581454587,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","PRLR","no",11
240.279873901275,-1.24863778557089,0.672496414979752,2.95066117461488,NA,NA,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","AR","no",11
21.6433605176619,-1.42194119616649,1.05337208860497,1.53826456818493,NA,NA,817,7,"AI","LRT_full_interaction","~ Status + mean_T + Status:mean_T","OXTR","no",11
