"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","n_p005","n_q01","Tissue","Test","design","gene","fdrtool","n"
86.2679317797347,-0.696132710729188,0.561510828429805,1.68590769636089,0.19414130449004,0.000904822735007292,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","SRD5A2","yes",11
33.3962821558667,-1.14407261460123,1.07316384625345,1.06311601552596,0.302505568519586,0.077158754831861,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","AVPR2","yes",11
2445.80388791191,1.21052680699938,1.35570171898464,0.957399018370438,0.327843064362747,0.134672790995248,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","OXT","yes",11
2131.09324645501,-1.52318724969375,1.80421532011543,0.776881689626634,0.378096529785831,0.299704195082847,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","CYP19A1","yes",11
177.134902048797,-0.530699194120575,0.652341279219279,0.704847045782216,0.401159793844289,0.391207869736148,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","PGR","yes",11
335.783987643595,-0.81873438664822,1.06616596999322,0.675648279341146,0.411089263337127,0.429694973695678,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","ESR1","yes",11
73.4332313264927,0.492143126259075,0.70168105217146,0.498551451335771,0.480137294278852,0.726188064018403,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","AVPR1A","yes",11
5.33368831612488,-1.25291172536593,1.80542613852228,0.462847066454053,0.49629639022911,0.789592258463615,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","GNRH1","yes",11
9.39040890190134,0.88261595269623,1.31919214965406,0.383955879044251,0.535493683691556,0.933053689634652,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","OXTR","yes",11
1329.54479933469,0.0829294599756896,0.337284556614621,0.0635287007685861,0.801003185947261,0.999999999836541,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","VIPR2","yes",11
568.546528302894,-0.285766727138738,1.04349923346492,0.0734120707413695,0.786432088244877,0.999999999836541,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","AR","yes",11
4139.63731154671,0.272771290402781,1.05971316427496,0.0673133076013244,0.795289534792606,0.999999999836541,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","VIP","yes",11
624.758599750593,-0.127918780293509,0.331946629376579,0.145983493588034,0.702403611022192,0.999999999836541,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","VIPR1","yes",11
2105.93324300174,-0.117311934990168,0.521711806292234,0.0525451797423386,0.818692213256078,0.999999999836541,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","PRLR","yes",11
3039.3384801419,0.204507880267153,0.901754921686622,0.0472975125726975,0.827834359470047,0.999999999836541,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","AVP","yes",11
394.315432597891,-0.321086159709984,1.20596727305596,0.0728454472170768,0.787237989278651,0.999999999836541,211,2560,"AH","LRT_minimal_interaction","~ Status:mean_T","ESR2","yes",11
86.2679317797347,-0.696132710729188,0.561510828429805,1.68590769636089,0.19414130449004,0.000904822735007292,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","SRD5A2","yes",11
33.3962821558667,-1.14407261460123,1.07316384625345,1.06311601552596,0.302505568519586,0.077158754831861,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","AVPR2","yes",11
2445.80388791191,1.21052680699938,1.35570171898464,0.957399018370438,0.327843064362747,0.134672790995248,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","OXT","yes",11
2131.09324645501,-1.52318724969375,1.80421532011543,0.776881689626634,0.378096529785831,0.299704195082847,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","CYP19A1","yes",11
177.134902048797,-0.530699194120575,0.652341279219279,0.704847045782216,0.401159793844289,0.391207869736148,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","PGR","yes",11
335.783987643595,-0.81873438664822,1.06616596999322,0.675648279341146,0.411089263337127,0.429694973695678,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","ESR1","yes",11
73.4332313264927,0.492143126259075,0.70168105217146,0.498551451335771,0.480137294278852,0.726188064018403,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","AVPR1A","yes",11
5.33368831612488,-1.25291172536593,1.80542613852228,0.462847066454053,0.49629639022911,0.789592258463615,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","GNRH1","yes",11
9.39040890190134,0.88261595269623,1.31919214965406,0.383955879044251,0.535493683691556,0.933053689634652,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","OXTR","yes",11
568.546528302894,-0.285766727138738,1.04349923346492,0.0734120707413695,0.786432088244877,0.999999999836541,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","AR","yes",11
3039.3384801419,0.204507880267153,0.901754921686622,0.0472975125726975,0.827834359470047,0.999999999836541,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","AVP","yes",11
394.315432597891,-0.321086159709984,1.20596727305596,0.0728454472170768,0.787237989278651,0.999999999836541,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","ESR2","yes",11
2105.93324300174,-0.117311934990168,0.521711806292234,0.0525451797423386,0.818692213256078,0.999999999836541,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","PRLR","yes",11
4139.63731154671,0.272771290402781,1.05971316427496,0.0673133076013244,0.795289534792606,0.999999999836541,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","VIP","yes",11
624.758599750593,-0.127918780293509,0.331946629376579,0.145983493588034,0.702403611022192,0.999999999836541,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","VIPR1","yes",11
1329.54479933469,0.0829294599756896,0.337284556614621,0.0635287007685861,0.801003185947261,0.999999999836541,211,2560,"AH","LRT_full_interaction","~ Status + mean_T + Status:mean_T","VIPR2","yes",11
