"","Tissue","gene","Test","design","fdrtool","baseMean","log2FoldChange","pvalue","padj","keep","lm_model","lm_p","rsq"
"TNA.446","TNA","CYP19A1","LRT_full_interaction","~ Batch + Status + mean_T + Status:mean_T","no",1146.07299023579,-0.780233060172745,0.047570712910626,0.679221846086385,"no"," ~ Status + mean_T + Status:mean_T",0.128352822555168,0.385414163902265
"TNA.TNA_Status.579","TNA","AR","Status","~ Batch + Status","no",604.215837384966,-0.419778870611413,0.0229511734259625,0.521397414218721,"no"," ~ Status",0.210973398861523,NA
"TNA.TNA_mean_T.1482","TNA","AVP","mean T","~ Batch + mean_T","no",65.3014575703014,0.83528620524021,0.049705891667838,0.479653486599407,"no"," ~ mean_T",0.0865279181873142,0.27
"TNA.TNA_Status.972","TNA","AVP","Status","~ Batch + Status","no",67.9032985567876,0.831219113001664,0.043455579482613,0.591884118015545,"no"," ~ Batch + Status",0.177798280975478,NA
"TNA.TNA_Strength.971","TNA","AVPR1A","Strength","~ Batch + strength.all_study","no",172.359930693418,-0.707519379347239,0.0428812743129026,0.605351650915683,"no"," ~ strength.all_study",0.175222642968251,0.18
"TNA.TNA_mean_T.196","TNA","ESR2","mean T","~ Batch + mean_T","no",182.461842967203,0.809562756522595,0.00107877166304752,0.0790337161697048,"yes"," ~ mean_T",0.0340258632536492,0.38
"TNA.TNA_Strength.946","TNA","PGR","Strength","~ Batch + strength.all_study","no",27.859303587739,-0.352852583749281,0.0410275167110874,0.595050305596846,"no"," ~ strength.all_study",0.357921870797868,0.085
"AI.46","AI","VIPR1","LRT_full_interaction","~ Status + mean_T + Status:mean_T","no",71.329193455087,0.997012003263881,0.0375836566659941,0.827734912996445,"no"," ~ Status + mean_T + Status:mean_T",0.0313361468983982,0.647593361819498
"AI.47","AI","AVP","LRT_full_interaction","~ Status + mean_T + Status:mean_T","no",136.394501321646,2.06324415267417,0.0412750448945687,0.833513794884008,"no"," ~ Status + mean_T + Status:mean_T",0.169063555047194,0.272747508497591
"AI.AI_mean_T.349","AI","PGR","mean T","~ mean_T","yes",28.9894458540833,-0.530420667092436,0.025274670189589,0.499166970147541,"yes"," ~ mean_T",0.0184682068924405,0.48
"AI.AI_Status.420","AI","PRLR","Status","~ Batch + Status","yes",259.390769247173,-0.423057334956306,0.0338626794109935,0.591693878295759,"no"," ~ Year + Status",0.167063877308688,NA
"AI.AI_mean_T.278","AI","VIP","mean T","~ mean_T","yes",251.547584519035,0.372574429560752,0.0185178534763711,0.427401366269712,"yes"," ~ mean_T",0.0312956662640882,0.42
"AI.AI_Strength.194","AI","VIP","Strength","~ strength.all_study","yes",251.547584519035,0.229069711899704,0.0265363479530046,0.427285723802194,"yes"," ~ strength.all_study",0.0473452777477211,0.37
"LS.270","LS","AR","LRT_full_interaction","~ Status + mean_T + Status:mean_T","no",357.891930087483,-1.08264454474512,0.00455548559850205,0.279479855546633,"no"," ~ Status + mean_T + Status:mean_T",0.0444352159924091,0.478060880974951
"LS.LS_Status.700","LS","GNRH1","Status","~ Batch + Status","no",22.0894999409382,1.38331287935244,0.0437142738024576,0.92729210013513,"no"," ~ Status",0.291103363089506,NA
"LS.LS_Strength.9488","LS","GNRH1","Strength","~ strength.all_study","no",23.0671766417794,1.12554459268162,0.000887636387326774,NA,"no"," ~ strength.all_study",0.106770051612637,0.24
"LS.LS_Status.22","LS","SRD5A2","Status","~ Batch + Status","no",83.9434932900251,0.669754278829394,0.000479601736186777,0.364748839454094,"yes"," ~ Status",0.00863012847293494,NA
"LS.LS_Status.574","LS","VIP","Status","~ Batch + Status","no",19.078375735401,-1.43996398436733,0.0343600515514419,0.895319887892596,"no"," ~ Status",0.202526896387439,NA
"BSTm.75","BSTm","ESR2","LRT_full_interaction","~ Status + mean_T + Status:mean_T","no",381.35272802002,1.29607185744435,0.00607602891307624,0.601913960670287,"yes"," ~ Status + mean_T + Status:mean_T",0.048214442966458,0.529296657559716
"BSTm.76","BSTm","ESR1","LRT_full_interaction","~ Status + mean_T + Status:mean_T","no",731.750913628764,0.862270325692089,0.0411354629652235,0.880263389210236,"no"," ~ Status + mean_T + Status:mean_T",0.101741777392718,0.433053581378931
"BSTm.BSTm_Status.52","BSTm","AR","Status","~ Batch + Status","no",691.963811817012,0.566986525562532,0.000726534303841954,0.209940470183254,"yes"," ~ Status",0.0153422814129315,NA
"BSTm.BSTm_Strength.1076","BSTm","ESR2","Strength","~ strength.all_study","no",381.35272802002,-0.298928800647778,0.0467526954650767,0.604206553532544,"no"," ~ strength.all_study",0.147965792962639,0.2
"BSTm.BSTm_Strength.46","BSTm","PGR","Strength","~ strength.all_study","no",174.573132506727,-0.333908622240475,0.000538902288747841,0.152222086354163,"yes"," ~ strength.all_study",0.0140858958917452,0.47
