"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","n_p005","n_q01","Tissue","Test","fdrtool","design","gene","n"
322.933962442738,0.796777627404991,0.534442085185354,0.316265704827913,0.573860509641179,0.743642937368709,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","VIPR2",12
47.1885404616107,2.0534681953265,0.946705399329207,1.14990044261658,0.283569991432124,0.491959274426943,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","AVPR1A",12
112.320647743248,-1.09502499520474,2.07170462012672,4.28153345739324,0.0385285735115591,0.143579738497836,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","AR",12
14.7323617427801,0.0749323216596685,1.14091569013277,0.628190671664086,0.428019765075615,0.6289001001967,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","CYP19A1",12
1725.1493493743,0.544994704240766,0.524084618761798,6.09505685983433,0.0135560563904769,0.0765155945413361,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","ESR1",12
918.678959629435,0.734455605545173,0.742561948365088,0.0634449637377656,0.801131625808721,0.896911719204953,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","VIPR1",12
467.462328288462,0.0587910761100216,0.637484657109237,0.0597092267664721,0.806956110977822,0.900517138366646,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","PGR",12
1732.1902601699,-0.774219330363891,0.409355713221374,50.8227446390846,1.01095396184402e-12,7.34154767091126e-09,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","AVPR1B",12
1122.37858483144,0.556935843416077,0.519732241244594,0.164975104439492,0.684616758694324,0.823399619350478,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","PRLR",12
370352.28248466,1.01826163666467,0.551090442925605,5.27271083339087,0.0216622535073669,0.101687967013897,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","PRL",12
107.249210260072,-4.84583407791004,3.32397743670502,4.31159177659973,0.0378535263405034,0.142578998072996,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","OXT",12
123.155916166431,-12.7641391976594,3.24909325736781,4.9044172552973,0.0267880889341933,0.115235174036286,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","AVP",12
14.9509795770537,1.5952642814609,1.20225154897074,2.12791671882745,0.144637217226568,0.32813354311132,4344,3055,"PIT","LRT_batch","no","~ Batch + Status + mean_T + Status:mean_T","ESR2",12
322.933962442738,0.679205642001317,0.501449739319713,1.62839975346287,0.2019245280645,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","VIPR2",12
47.1885404616107,1.55941204989732,0.896540435971283,3.34589758524135,0.0673727247931086,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","AVPR1A",12
112.320647743248,0.439150867286908,2.19323487562548,0.0361467239959268,0.849212811545615,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","AR",12
14.7323617427801,0.286622607304782,1.03126892613305,0.0797895600745022,0.777582795150929,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","CYP19A1",12
1725.1493493743,1.05675098327867,0.596167060746995,2.94899638581691,0.0859309071970513,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","ESR1",12
918.678959629435,0.795595762582689,0.715006649960796,1.17146168206676,0.279101107660563,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","VIPR1",12
467.462328288462,0.011142126742209,0.604201011078027,0.000296619213088434,0.986259003433343,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","PGR",12
1732.1902601699,0.00716378383287098,0.818988961434405,7.77031056315991e-05,0.992966789340029,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","AVPR1B",12
1122.37858483144,0.467886910842419,0.492233965307095,0.839918265628654,0.359420147935139,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","PRLR",12
370352.28248466,0.464527213558696,0.614243187017851,0.528795486029537,0.467113702780181,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","PRL",12
107.249210260072,-8.8667286219343,3.52677635848987,3.49803803371908,0.0614415779939551,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","OXT",12
123.155916166431,-11.5305256050087,3.44839762982391,4.80423730418828,0.0283898305747695,0.923543841427818,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","AVP",12
14.9509795770537,0.854480408239316,1.13327075724242,0.602607370531516,0.437584921836922,0.999592856159195,707,27,"PIT","LRT_reduced_interaction","no","~ Status + mean_T + Status:mean_T","ESR2",12
322.933962442738,-0.317774348354693,0.252945869799257,7.74550400992862,0.0208010460023596,0.78498456652578,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","VIPR2",12
47.1885404616107,0.220733906655019,0.4511097207702,4.95601544865353,0.0839102314889948,0.999980702706201,659,85,"PIT","LRT_minimal_interaction","no","~ Status:mean_T","AVPR1A",12
