"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","n_p005","n_q01","Tissue","Test","design","gene","fdrtool","n"
348.694962935663,0.519937253273192,0.346536059659746,0.393116108748188,0.530665973851599,0.743803285516591,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","VIPR2","no",12
79.9714382484059,0.0634681465079831,0.515779716533106,0.119581009543893,0.72948936342106,0.871181196484742,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","AVPR1A","no",12
116.626574041155,-0.258796627930678,0.353507823260305,4.38007221348728,0.0363614568753703,0.170447746533456,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","SRD5A2","no",12
149.977122689386,-0.1997234184533,0.42587651228486,4.89583114896362,0.0269216115539949,0.143892612533863,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","AR","no",12
17.7041519017197,-0.777413519893491,1.0170196237744,0.0855924749443062,0.769857026913957,NA,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","CYP19A1","no",12
1047.43041147031,1.5882953763776,0.562230872946139,2.39108512867918,0.122028897479345,0.33537102108661,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","VIP","no",12
76.6860560977758,1.10249201204522,0.544267711654495,0.0511365475296941,0.821097267319393,0.919744076823153,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","ESR1","no",12
667.694765317104,0.291182381472386,0.244756345672341,6.46213454783557,0.0110197192026016,0.086363845843645,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","VIPR1","no",12
36.8947474663608,1.86116475880259,0.638139016223475,0.108712047559223,0.741615242612834,NA,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","PGR","no",12
734.934611477132,0.702747511416907,0.271829862123932,2.08589923352102,0.148664656969601,0.374787627932463,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","PRLR","no",12
27.0556968601197,0.446993399870983,0.808053954247975,3.72807516063976,0.0535050185934892,NA,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","OXTR","no",12
21.0117918234202,-0.62680131154635,0.75923399675725,1.31273037148561,0.251900901171295,NA,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","AVPR2","no",12
8.9716310775261,2.16923855357519,1.94623430190817,2.10496638830402,0.146821569389115,NA,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","OXT","no",12
15.9025982670775,-0.0786855188886168,1.08780949030911,3.23110063096694,0.0722521141531743,NA,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","AVP","no",12
36.1420798424093,0.0677493921716329,0.635542890680247,3.6570772701902,0.0558314926364817,NA,3204,1776,"GCT","LRT_batch","~ Batch + Status + mean_T + Status:mean_T","ESR2","no",12
348.694962935663,0.560522759684877,0.341456038234729,2.65392559275568,0.103294528841756,0.739934392777416,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","VIPR2","no",12
79.9714382484059,0.0989970879329085,0.491799090058667,0.0363480758748267,0.848798471672453,0.991997702660595,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","AVPR1A","no",12
116.626574041155,-0.391454574278092,0.392305342905526,1.02271733412844,0.311875315907325,0.89059057081624,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","SRD5A2","no",12
149.977122689386,0.0386390680162632,0.477445318601057,0.00604522755436676,0.938026075854676,0.998477141970639,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","AR","no",12
17.7041519017197,-0.778035488427243,0.966018998648618,0.623480689142411,0.429756773400838,0.934057015595061,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","CYP19A1","no",12
1047.43041147031,1.72153062509902,0.592958407725262,7.28830341885228,0.00694049889937565,0.34962376791667,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","VIP","no",12
76.6860560977758,1.07912865707626,0.518926359592812,4.34279752245722,0.0371658086668122,0.579349370394425,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","ESR1","no",12
667.694765317104,0.434087797698397,0.293549499203079,2.10191802932712,0.14711449296047,0.792668218972417,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","VIPR1","no",12
36.8947474663608,1.88621311540709,0.604734680105318,8.95682458524406,0.00276434959085326,0.243684173128371,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","PGR","no",12
734.934611477132,0.628797487090218,0.286808768443629,4.70705271531844,0.0300391087957317,0.537607509904654,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","PRLR","no",12
27.0556968601197,0.534295213223384,0.853291223603341,0.370920432036641,0.542502980842112,0.956323136496711,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","OXTR","no",12
21.0117918234202,-0.842572053545798,0.744484559149299,1.26630893452338,0.260460265019326,0.871308325002801,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","AVPR2","no",12
8.9716310775261,3.49763508708515,2.11746024866395,2.30707622281428,0.128786093407945,0.771122317512225,1198,37,"GCT","LRT_reduced_interaction","~ Status + mean_T + Status:mean_T","OXT","no",12
