"gene","moduleColor","best_anno","most_freq_anno","anno_score","was_loc","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"ABCC5","orangered3","ABCC5","ABCC5",2,"N","ABCC5",-0.459078530406213,0.0986855170118385,-0.0277030174827948,0.925102900772113,-0.466378063787117,0.0927618451323713
"ABCC8","darkslateblue","ABCC8","ABCC8",2,"N","ABCC8",0.0322999188723612,0.91271495599914,0.185463683873643,0.525566655905753,0.157933960876783,0.589718553872433
"ABCC9","darkolivegreen","ABCC9","ABCC9",1,"N","ABCC9",0.017068308963721,0.953817980760072,-0.16655659535339,0.569291967707696,0.0173753871227849,0.952987942629436
"ABCD2","magenta","ABCD2","ABCD2",3,"N","ABCD2",-0.361887767724409,0.203568774737713,-0.432914238322713,0.122060631170022,-0.605737974043352,0.0216849404305212
"ABCD3","skyblue2","ABCD3","ABCD3",3,"N","ABCD3",-0.500664456238951,0.068229117886055,-0.916766220606875,4.00441493628239e-06,-0.517791791378659,0.0578899671183693
"ABCD4","magenta","ABCD4","ABCD4",2,"N","ABCD4",-0.123802079655569,0.673269184222759,0.189247581498546,0.516999484125801,-0.0072206364353528,0.980455209929702
"ABCE1","orange","ABCE1","ABCE1",3,"N","ABCE1",-0.0812316494167474,0.78250267005206,-0.188874184409324,0.517842092729358,-0.218147442177173,0.453719970514174
"ABCF2","antiquewhite2","ABCF2","ABCF2",3,"N","ABCF2",-0.148719862813731,0.611863483553164,0.0370823493578815,0.899846603599941,-0.135322796489112,0.644614804595969
"ABCF3","darkmagenta","ABCF3","ABCF3",3,"N","ABCF3",0.529476060903068,0.0515180378232636,0.693725793025373,0.00592547450815494,0.097817812974679,0.739378722793219
"ABCG1","magenta","ABCG1","ABCG1",1,"N","ABCG1",0.397606329375309,0.159174947407079,0.370729815938755,0.191922613734914,0.342818367264477,0.23017494637433
"ABCG4","darkgreen","ABCG4","ABCG4",2,"N","ABCG4",-0.334046204222658,0.243100645597288,0.387146952853644,0.17144836979628,0.343781497543013,0.228782178989613
"ABHD10","darkolivegreen","ABHD10","ABHD10",3,"N","ABHD10",0.398529887438219,0.158119744496729,0.182397958534514,0.532553672228453,0.106239219948926,0.717744418344986
"ABHD11","antiquewhite2","ABHD11","ABHD11",2,"N","ABHD11",0.248077972289091,0.392458609431435,0.0411931981268913,0.888803452662934,0.394143391864924,0.163172610098302
"ABHD12","plum","ABHD12","ABHD12",3,"N","ABHD12",-0.273415728136835,0.344228872889292,0.251823402920254,0.385115039274215,-0.146634636576298,0.616918994523518
"ABHD12B","indianred4","ABHD12","ABHD12",3,"N","ABHD12B/ABHD12",0.200935756872451,0.490940310997995,0.341194429956125,0.232535119416023,0.210915403958861,0.469188026869622
"ABHD13","honeydew1","ABHD13","ABHD13",3,"N","ABHD13",0.0584965814563932,0.84254732180919,-0.0034045529223319,0.99078394688642,0.5401272962885,0.0461673617820774
"ABHD14A","coral1","ABHD14A","ABHD14A",3,"N","ABHD14A",-0.167394107437002,0.567323710157438,-0.251607472264121,0.385536415025359,0.113111190237874,0.70023432392981
"ABHD15","darkgrey","ABHD15","ABHD15",2,"N","ABHD15",-0.136081262876879,0.64274382524776,0.00693478114815133,0.981228835299875,0.3630327850664,0.202036061583004
"ABHD17A","antiquewhite2","ABHD17A","ABHD17A",3,"N","ABHD17A",-0.403087010952913,0.152980389540571,-0.220832736397468,0.448041023502142,-0.100078946290063,0.733551610293473
"ABHD17B","mediumpurple2","ABHD17B","ABHD17B",3,"N","ABHD17B",0.0505043883047553,0.863862471895225,-0.463332107301691,0.0952027444959086,0.195628731762684,0.502695888649295
"ABHD17C","magenta","ABHD17C","ABHD17C",3,"N","ABHD17C",-0.10268015968981,0.726864559123729,-0.384849480909857,0.174224280267752,-0.246545277567971,0.395484823229077
"ABHD18","darkolivegreen","ABHD18","ABHD18",3,"N","ABHD18",-0.52554556973763,0.0536017080993008,-0.394929566730951,0.162259334626205,-0.268233678173001,0.353813625749092
"ABHD2","bisque4","ABHD2","ABHD2",2,"N","ABHD2",-0.307791286980879,0.284375144565817,-0.284142685185664,0.324852098626708,0.294163486599026,0.307321641380061
"ABHD3","darkslateblue","ABHD3","ABHD3",2,"N","ABHD3",-0.224143068480461,0.441088823759146,-0.122686481501424,0.676066651231695,-0.131644422116501,0.653716183579707
"ABHD5","magenta","ABHD5","ABHD5",2,"N","ABHD5",-0.0403415180081109,0.891089881602582,-0.477205085328001,0.0844385429133386,-0.361262878377417,0.204408337354363
"ABHD6","brown2","ABHD6","ABHD6",2,"N","ABHD6",-0.0800004998579662,0.785728529717779,0.189900116971619,0.515528453844954,-0.166878805219081,0.568534399387312
"ABHD8","orange","ABHD8","ABHD8",3,"N","ABHD8",-0.423120624768272,0.131699689794734,0.030704475598116,0.917012478560481,-0.436172246165559,0.118963121651065
"ABI1","antiquewhite4","ABI1","ABI1",3,"N","ABI1",0.0793626404653171,0.787401110837828,0.305217537241716,0.288629485345756,0.154115319378449,0.598857251005292
"ABI2","darkolivegreen","ABI2","ABI2",2,"N","ABI2",-0.310512312435008,0.279917670418501,-0.126086383974737,0.667553344815657,-0.256068285229851,0.376881187743504
"ABI3","orange","ABI3","ABI3",3,"N","ABI3",-0.273996460321957,0.343163805037055,-0.124248736595803,0.67215024753775,-0.486586329256279,0.0776627941204509
"ABI3BP","antiquewhite2","ABI3BP","ABI3BP",2,"N","ABI3BP",-0.492209092187027,0.073790916061987,-0.606650674832994,0.0214347775583947,-0.160440114824589,0.583751435364594
"ABL1","antiquewhite4","ABL1","ABL1",2,"N","ABL1",-0.596801415376073,0.0242521546789732,-0.382055834800141,0.177638716033137,-0.292453187294347,0.310274383170203
"ABL2","bisque4","ABL2","ABL2",1,"N","ABL2",0.176186372673512,0.5468340740517,0.192200015592718,0.510358822467447,0.243830726285947,0.400874456783756
"ABLIM1","darkgreen","ABLIM1","ABLIM1",3,"N","ABLIM1",-0.19800516520512,0.497415941981117,0.203072192640878,0.486244444934331,0.12259055284444,0.676307383410919
"ABLIM2","magenta","ABLIM2","ABLIM2",2,"N","ABLIM2",0.0161518263714617,0.956295506403622,0.0101621794853371,0.972495396788876,0.000182664761513228,0.999505520809808
"ABLIM3","honeydew1","ABLIM3","ABLIM3",2,"N","ABLIM3",0.300109530863013,0.297182453553171,0.457002843819449,0.100416679332973,0.466212893533179,0.0928930763022977
"ABR","honeydew1","ABR","ABR",2,"N","ABR",0.05967626967959,0.83940922782493,0.353846862188092,0.2145388885412,0.030613690923134,0.917257082648871
"ABRACL","darkgreen","ABRACL","ABRACL",3,"N","ABRACL",-0.0566989471404173,0.847333382563208,-0.378069746501012,0.182584943848848,-0.298170742960459,0.300466878640133
"ABRAXAS1","magenta","ABRAXAS1","ABRAXAS1",2,"N","ABRAXAS1",0.284423716591907,0.324352917467715,-0.110119593237643,0.707840612000444,-0.496692805712442,0.0708030329797795
"ABRAXAS2","indianred4","ABRAXAS2","ABRAXAS2",2,"N","ABRAXAS2",-0.193231504305956,0.508047956421736,-0.231240047026668,0.426367000075492,0.389885831510799,0.168176877600752
"ABTB1","indianred4","ABTB1","ABTB1",3,"N","ABTB1",0.174890429747447,0.54983403205869,0.466100563148705,0.0929823989060009,0.154900895453749,0.596972675254653
"ABTB2","darkgreen","ABTB2","ABTB2",3,"N","ABTB2",-0.238772171088489,0.411019405662312,-0.0636754551837359,0.82878772027397,-0.529265701133217,0.0516280432316568
"ACAA1","magenta","ACAA1","ACAA1",3,"N","ACAA1",-0.425520152496,0.129292209719706,-0.373972899002946,0.187760043946607,-0.381848339096788,0.1778940320336
"ACAA2","darkmagenta","ACAA2","ACAA2",3,"N","ACAA2",0.267173833313736,0.355791772021331,-0.0337303455593227,0.908863807082241,0.344091350087444,0.22833521596755
"ACACA","darkolivegreen","ACACA","ACACA",3,"N","ACACA",-0.0414648128041311,0.888074441370064,-0.0747115736217214,0.799622389206758,-0.00486011892178431,0.986844024129214
"ACAD10","antiquewhite4","ACAD10","ACAD10",2,"N","ACAD10",0.188507124094792,0.518671002614561,0.355473983368522,0.212289797862431,0.186587709566253,0.523015169226388
"ACAD11","honeydew","ACAD11","ACAD11",3,"N","ACAD11",-0.304291646488152,0.290169014086805,0.152861203756929,0.601870683256434,-0.132039080355868,0.652737510934868
"ACAD8","darkgrey","ACAD8","ACAD8",3,"N","ACAD8",0.0651821192298686,0.824793089865733,0.165934632334061,0.570755487338209,0.370664197546465,0.19200743898805
"ACAD9","darkslateblue","ACAD9","ACAD9",3,"N","ACAD9",-0.588282168580163,0.0269057297395106,-0.626979853315224,0.0164063976102721,-0.0857620369574564,0.770660448794726
"ACADL","darkmagenta","ACADL","ACADL",3,"N","ACADL",0.334452682097639,0.242492128165198,-0.0273304388910347,0.926107670041758,0.367712050762572,0.195848459426567
"ACADM","darkmagenta","ACADM","ACADM",2,"N","ACADM",0.461853362417424,0.096403685969696,0.142826535243057,0.626192217108418,0.0555727891939213,0.850334194127838
"ACADS","darkslateblue","ACADS","ACADS",3,"N","ACADS",0.385963234841272,0.172874979331782,-0.0252206471569707,0.931799243466058,0.497156738721486,0.0704988652285126
"ACADSB","magenta","ACADSB","ACADSB",3,"N","ACADSB",0.103606625848839,0.724487184695902,-0.383616360272208,0.175726132351316,-0.699333392760159,0.00537627331842938
"ACAN","magenta","ACAN","ACAN",3,"N","ACAN",0.609629672127759,0.0206333836990353,0.370553356620213,0.192150777988146,-0.341512033847748,0.232072357392604
"ACAP2","darkolivegreen","ACAP2","ACAP2",2,"N","ACAP2",-0.190364848808329,0.514481946908928,-0.144542158235716,0.622007992636871,-0.0114115401254247,0.969115307852039
"ACAP3","magenta","ACAP3","ACAP3",2,"N","ACAP3",-0.292742703880522,0.309773408688439,-0.208501709052126,0.474406159436428,-0.313252682017177,0.275470437127317
"ACAT1","coral1","ACAT1","ACAT1",3,"N","ACAT1",0.147991402911205,0.613627782832685,-0.139704168671864,0.633834159234065,0.129320706949396,0.659488978414299
"ACAT2","darkgreen","ACAT2","ACAT2",3,"N","ACAT2",-0.28793479696983,0.318152989104951,-0.471334467558962,0.0888837013373885,-0.026643834790944,0.927959569929382
"ACBD3","orange","ACBD3","ACBD3",3,"N","ACBD3",-0.283940900750566,0.325210785171842,-0.284683392579719,0.323892054528349,-0.383721540047689,0.175597705237244
"ACBD4","darkslateblue","ACBD5","ACBD5",2,"N","ACBD4/ACBD5",0.278673070042112,0.334653708478014,-0.0639079048043889,0.828171171370029,0.229299012349146,0.430368482367863
"ACBD5","antiquewhite2","ACBD5","ACBD5",3,"N","ACBD5",0.0509757637923996,0.862602785497872,-0.216202432463169,0.457855234352446,-0.254029541970144,0.380823921948464
"ACBD6","lightpink3","ACBD6","ACBD6",3,"N","ACBD6",0.0559397691398729,0.849356113920107,0.0632615684625586,0.829885739207015,0.334038446964275,0.243112267646522
"ACBD7","indianred4","ACBD7","ACBD7",2,"N","ACBD7",-0.0581753889698962,0.843402105674924,-0.0935080932845342,0.750521043409951,-0.172940177956662,0.554361862207205
"ACCS","darkmagenta","ACCS","ACCS",2,"N","ACCS",-0.0068211010920721,0.98153649798063,0.249027083998188,0.390590777702289,-0.186789489994147,0.522557722574798
"ACE","bisque4","ACE","ACE",3,"N","ACE",-0.0157923097766903,0.957267488262157,-0.415561344623574,0.139480452368884,-0.16850049712108,0.564727907835473
"ACER2","honeydew1","ACER2","ACER2",3,"N","ACER2",0.305528454646195,0.288113580348481,-0.0438492504197631,0.881678221870486,0.418599742031364,0.136317048336368
"ACER3","magenta","ACER3","ACER3",2,"N","ACER3",0.0623871695534006,0.832206418869637,-0.00817271543011032,0.977878666604023,0.258623680041103,0.371970329516944
"ACKR3","indianred4","ACKR3","ACKR3",2,"N","ACKR3",0.00108304727671463,0.997068162908409,-0.126757944157507,0.665876116808007,0.278799046884321,0.334426115085454
"ACKR4","magenta","ACKR4","ACKR4",3,"N","ACKR4",-0.0994766568223998,0.735102467504762,0.180334869312856,0.537278452225132,-0.252196564743506,0.384387412905352
"ACLY","darkgreen","ACLY","ACLY",3,"N","ACLY",-0.0932825535179635,0.75110541920932,0.437020180717701,0.118165809948798,0.253974391924805,0.380930881270943
"ACMSD","darkgreen","ACMSD","ACMSD",2,"N","ACMSD",-0.294906648859229,0.306043664079898,-0.0708528435897006,0.809794279426401,0.0929113866279513,0.752067386246361
"ACO1","darkgreen","ACO1","ACO1",3,"N","ACO1",0.246305805775605,0.395958748840148,-0.0729464855418297,0.804271722001783,0.0431357357031495,0.883591528926285
"ACO2","darkgreen","ACO2","ACO2",3,"N","ACO2",0.127143659442695,0.664913444523537,0.332131697462586,0.24597927250124,0.515974146635274,0.0589299494286734
"ACOT11","antiquewhite2","ACOT11","ACOT11",2,"N","ACOT11",0.188699044731721,0.518237525705877,0.27013420157077,0.350281554311596,0.186531502659315,0.523142624974937
"ACOT12","darkgreen","ACOT12","ACOT12",2,"N","ACOT12",-0.328064558641466,0.252163088530599,-0.224880342949287,0.439547785774662,0.565890168944123,0.0349138351899281
"ACOT13","darkmagenta","ACOT13","ACOT13",3,"N","ACOT13",0.39897214256096,0.157616081532001,0.220161576797318,0.449457115288244,0.0478136071420605,0.871058890432627
"ACOT7","antiquewhite4","ACOT7","ACOT7",1,"N","ACOT7",0.045903832107265,0.876172194285828,0.396995109258269,0.15987582750488,0.288555482421191,0.317064034979308
"ACOT8","darkmagenta","ACOT8","ACOT8",3,"N","ACOT8",-0.00980716259579815,0.973455959599374,0.141557955966068,0.629292893981491,0.212660522930526,0.465432538393197
